,0,1,2,3,4,5,6,7,8,9
2020-11-28,14,0,21,21,14,7,7,0,0,0
2020-11-29,14,0,21,21,14,7,7,7,7,0
2020-11-30,14,0,21,21,14,7,7,7,7,0
2020-12-01,14,0,42,28,21,14,7,7,7,0
2020-12-02,14,0,42,28,21,14,7,7,7,0
2020-12-03,14,0,42,28,21,14,7,7,7,0
2020-12-04,14,0,42,28,21,14,7,7,7,7
2020-12-05,14,0,42,28,21,14,7,7,7,7
2020-12-06,21,0,42,28,21,14,7,7,7,7
2020-12-07,21,0,49,28,21,14,7,14,7,7
2020-12-08,658,7,966,70,224,77,238,126,217,210
2020-12-09,1869,21,2856,133,490,196,700,385,560,553
2020-12-10,3115,56,5054,245,805,322,1155,623,847,840
2020-12-11,4431,70,7175,315,1113,448,1624,861,1148,1197
2020-12-12,5908,77,8575,378,1435,539,2065,1050,1470,1540
2020-12-13,7014,84,9772,413,1610,623,2373,1232,1708,1806
2020-12-14,8456,112,11977,504,1862,728,2786,1463,2044,2121
2020-12-15,10759,238,33614,721,2317,945,3465,1813,2604,2660
2020-12-16,13580,476,69363,1001,2751,1169,4361,2268,3360,3388
2020-12-17,16912,693,101213,1645,3290,1463,5439,2905,4249,4263
2020-12-18,20181,903,122038,2247,3850,1792,6482,3451,5075,5131
2020-12-19,22960,1043,146860,2996,4277,2107,7315,3983,5796,5803
2020-12-20,26691,1183,168700,3563,4781,2457,8407,4641,6846,6762
2020-12-21,31353,1309,181986,4242,5516,2884,9828,5495,8169,8057
2020-12-22,35595,1477,206703,4879,6230,3290,11200,6202,9240,9212
2020-12-23,41265,1939,224392,5593,7098,3808,12880,7168,10619,10563
2020-12-24,44156,2450,228333,5929,7525,4060,13643,7658,11277,11249
2020-12-25,44177,2450,228340,5929,7525,4060,13650,7658,11284,11256
2020-12-26,44359,2450,228347,5936,7539,4067,13678,7665,11305,11284
2020-12-27,45332,2457,228543,5957,7623,4130,13902,7798,11515,11480
2020-12-28,46977,2457,229019,6055,7805,4242,14252,8043,11788,11844
2020-12-29,51135,3332,236943,6482,8316,4571,15344,8638,12621,12775
2020-12-30,60298,7882,256494,8449,9716,5376,17913,10101,14721,14952
2020-12-31,69230,11319,270354,10486,11025,6188,20461,11431,16786,17059
2021-01-01,71652,11830,272986,11165,11361,6412,21182,11788,17304,17647
2021-01-02,74795,12068,275401,11914,11683,6594,21917,12180,17906,18312
2021-01-03,77532,12159,276934,12075,11914,6734,22533,12502,18354,18830
2021-01-04,82285,12320,278670,12299,12425,7021,23632,13104,19271,19796
2021-01-05,90797,12901,282121,12810,13349,7560,25676,14280,21105,21805
2021-01-06,102319,14126,289828,15554,14574,8400,28476,16051,23590,24388
2021-01-07,118685,17857,324786,25235,16499,9793,32879,18655,27370,28154
2021-01-08,136374,23023,366254,37968,18760,11361,37779,21294,31325,32228
2021-01-09,152117,26509,403312,48503,20888,12796,41923,23632,34888,35861
2021-01-10,162568,27412,420168,53046,21903,13496,44415,24899,36925,38101
2021-01-11,177618,30639,429016,56679,23681,14364,48083,26775,39998,41398
2021-01-12,196245,35644,454202,64148,25767,15596,52738,29113,43911,45514
2021-01-13,216559,40292,493101,80626,28014,17157,58002,31808,48209,50043
2021-01-14,238833,45752,532497,99498,30660,19012,63630,34909,52983,55020
2021-01-15,263711,53074,582113,122080,34363,21161,70189,38381,58275,60697
2021-01-16,285411,57869,640731,140350,37282,23016,75915,41363,62811,65457
2021-01-17,301063,59703,665889,148029,39011,24178,79562,43393,65912,68761
2021-01-18,319312,63406,680414,156576,41048,25452,83930,45717,69489,72611
2021-01-19,339815,66941,722526,192493,44408,27314,89089,48524,73542,76916
2021-01-20,362684,69951,767851,239484,48951,29582,94878,51499,78078,81473
2021-01-21,385882,74424,806855,293167,54936,32284,101080,54663,82642,86457
2021-01-22,411817,82250,857654,378021,63441,36148,108787,58373,87766,92092
2021-01-23,432936,84427,899339,484141,72177,39417,114800,61362,91910,96474
2021-01-24,445564,85211,911309,521619,76398,41335,118279,63308,94437,99148
2021-01-25,460887,85876,924000,554239,80388,43225,122346,65296,97475,102340
2021-01-26,478492,86723,939330,599837,86443,45570,127295,67662,100821,105938
2021-01-27,495061,87423,951727,646359,93373,48377,131971,69909,104020,109480
2021-01-28,512036,88200,967169,725557,105574,52185,137004,72254,107331,113050
2021-01-29,530194,89124,983129,846594,119630,56847,142688,75075,111020,116837
2021-01-30,544789,89544,994273,977095,137235,60592,147294,77294,114009,119903
2021-01-31,556038,89698,998774,1051918,147462,64428,150465,78995,116151,122234
2021-02-01,566580,90181,1004899,1115093,158683,70392,153657,80591,118174,124418
2021-02-02,577724,90671,1011318,1188502,173481,76573,157430,82481,120477,126847
2021-02-03,589995,91357,1017744,1282386,195503,84945,161763,84623,123067,129367
2021-02-04,603239,92099,1024142,1379644,221851,95550,167132,86919,125776,132244
2021-02-05,616028,92918,1030281,1470189,249270,107254,172354,89299,128464,135044
2021-02-06,627200,93310,1034271,1587278,291851,123655,177667,91504,130977,137578
2021-02-07,633857,93457,1036140,1645462,310786,133084,180523,92939,132538,139104
2021-02-08,640948,93884,1039969,1696387,330491,145614,183736,94234,133973,140658
2021-02-09,649698,94479,1044428,1758232,355089,174076,188482,96096,135898,142569
2021-02-10,659540,95375,1049524,1805265,380436,219576,195209,98987,138138,144690
2021-02-11,671230,96292,1054158,1849617,408114,284739,205135,103026,141148,147315
2021-02-12,684740,97265,1058477,1886409,432446,359387,219667,108227,144739,150738
2021-02-13,699342,97671,1061018,1917839,453824,445466,234871,113736,148197,154126
2021-02-14,707399,97748,1061970,1927009,460894,482832,243173,116522,150381,156184
2021-02-15,717136,98238,1063615,1935010,467670,524314,253148,119504,152705,158396
2021-02-16,730457,98665,1065169,1941982,477988,579019,284333,127134,157087,162085
2021-02-17,749077,99106,1066793,1948177,491442,639387,341978,138516,164241,167790
2021-02-18,768397,99589,1068277,1953154,504441,686497,397194,148617,171178,173453
2021-02-19,786303,100058,1069530,1956801,515956,723009,439698,157472,177135,178199
2021-02-20,804160,100191,1070209,1959874,526750,754327,482636,166411,182770,183127
2021-02-21,812553,100212,1070447,1960784,531265,766304,496139,170562,185192,185346
2021-02-22,822969,100324,1071077,1962548,537978,783321,513058,174986,188300,188272
2021-02-23,841092,100590,1072183,1965054,551047,802725,559195,184086,194768,193851
2021-02-24,864696,100891,1073331,1968498,568134,828499,621187,201537,202937,200823
2021-02-25,890939,101192,1074556,1971984,588441,852418,686462,224014,212667,208593
2021-02-26,919366,101444,1075697,1975211,608692,875854,753011,251132,223426,216650
2021-02-27,944489,101535,1076250,1977241,623945,891891,803740,273861,231546,223202
2021-02-28,956774,101577,1076411,1978032,629867,900361,819539,289828,235207,226415
2021-03-01,968093,101717,1076880,1979096,634893,906122,832734,306614,238371,229250
2021-03-02,979692,101906,1077552,1980412,640178,912128,848582,327978,242298,232715
2021-03-03,997549,102088,1078392,1981987,647829,919170,878052,355663,249193,237692
2021-03-04,1018661,102305,1079302,1984143,657748,928928,919121,393603,258139,244685
2021-03-05,1043189,102564,1080219,1986530,667065,938784,963795,430787,269794,251958
2021-03-06,1069187,102620,1080730,1988119,676375,947506,1011668,469987,282268,260064
2021-03-07,1077909,102627,1080842,1988504,679091,949620,1023120,489888,287119,262339
2021-03-08,1087282,102746,1081220,1989610,682528,953414,1037540,514045,294000,264768
2021-03-09,1098419,102893,1081829,1990800,686448,957110,1054123,535752,305529,268233
2021-03-10,1112006,103019,1082403,1991927,690214,960540,1073471,558313,321622,272405
2021-03-11,1124382,103138,1082949,1993166,693413,963816,1089655,580265,341782,278152
2021-03-12,1146082,103313,1083467,1994468,697760,968457,1118047,609126,373310,292082
2021-03-13,1176413,103348,1083838,1995623,702737,973938,1158178,645127,425544,323736
2021-03-14,1190112,103355,1083964,1996057,704844,976689,1175608,663908,453894,334992
2021-03-15,1208704,103418,1084356,1996925,708225,980728,1199373,684754,505932,350294
2021-03-16,1231832,103530,1084790,1997877,711116,984067,1225532,703003,565257,378511
2021-03-17,1259825,103642,1085168,1998794,714084,986818,1248828,718095,620004,422632
2021-03-18,1290814,103775,1085609,1999746,716842,989709,1273692,733320,673848,493955
2021-03-19,1328131,103901,1086022,2000628,720020,992271,1299578,749658,732396,568687
2021-03-20,1380491,103943,1086302,2001377,723282,995358,1332401,766913,799470,690886
2021-03-21,1407147,103950,1086400,2001671,724458,996240,1345365,774067,831460,735469
2021-03-22,1431381,103999,1086666,2002315,726194,997598,1359043,780577,859215,776349
2021-03-23,1460963,104090,1086967,2003008,728280,999145,1372406,786226,883792,817411
2021-03-24,1495865,104181,1087380,2003855,730597,1000573,1385041,791833,904645,855190
