,8,9,10,11,12
2020-11-28,1080793,1212757,880761,607264,586005
2020-11-29,1080793,1212757,880761,607264,586005
2020-11-30,1080793,1212750,880761,607264,586005
2020-12-01,1080786,1212750,880761,607250,585998
2020-12-02,1080786,1212750,880754,607250,585998
2020-12-03,1080786,1212750,880754,607250,585998
2020-12-04,1080786,1212750,880754,607250,585998
2020-12-05,1080786,1212750,880754,607250,585998
2020-12-06,1080786,1212750,880754,607250,585998
2020-12-07,1080786,1212750,880754,607250,585991
2020-12-08,1080723,1212722,880747,606788,585529
2020-12-09,1080604,1212673,880726,605738,584675
2020-12-10,1080478,1212603,880684,604499,583688
2020-12-11,1080352,1212554,880663,603295,582757
2020-12-12,1080261,1212512,880642,602504,582134
2020-12-13,1080177,1212484,880635,601853,581588
2020-12-14,1080072,1212435,880593,600628,580580
2020-12-15,1079855,1212344,880474,589092,570360
2020-12-16,1079624,1212218,880306,570458,553007
2020-12-17,1079330,1212043,879837,553896,537502
2020-12-18,1079001,1211882,879382,542745,527632
2020-12-19,1078686,1211700,878815,529466,515956
2020-12-20,1078336,1211476,878465,517986,505463
2020-12-21,1077909,1211231,878017,510797,499247
2020-12-22,1077503,1210979,877632,498029,487137
2020-12-23,1076971,1210601,877226,488887,478205
2020-12-24,1076712,1210433,876988,486780,475951
2020-12-25,1076705,1210426,876988,486773,475944
2020-12-26,1076698,1210426,876988,486773,475944
2020-12-27,1076642,1210405,876974,486661,475860
2020-12-28,1076530,1210349,876939,486388,475643
2020-12-29,1076173,1210097,876617,481992,471408
2020-12-30,1075179,1209208,874692,471373,458976
2020-12-31,1074234,1208410,872753,463708,450170
2021-01-01,1073989,1208186,872228,462371,448469
2021-01-02,1073793,1208053,871556,461034,447209
2021-01-03,1073653,1207969,871472,460194,446432
2021-01-04,1073359,1207815,871353,459221,445564
2021-01-05,1072806,1207556,871017,457394,443457
2021-01-06,1071910,1206800,868826,452949,439236
2021-01-07,1070405,1205386,859908,433377,420882
2021-01-08,1068648,1202929,848736,409990,398713
2021-01-09,1067101,1199716,840784,390397,378511
2021-01-10,1066373,1198890,836920,381101,370209
2021-01-11,1065400,1197805,833812,375781,364133
2021-01-12,1064014,1195831,827449,361781,348964
2021-01-13,1062271,1193073,812917,339857,328335
2021-01-14,1060213,1188908,797307,317086,307349
2021-01-15,1057735,1183966,778365,288792,280343
2021-01-16,1055684,1179731,763448,256690,250110
2021-01-17,1054452,1177645,757519,242879,237335
2021-01-18,1053017,1174922,751023,234521,228291
2021-01-19,1051022,1167348,722022,209860,208103
2021-01-20,1048593,1155581,686217,183085,187278
2021-01-21,1045674,1140867,646324,160489,167552
2021-01-22,1041432,1114512,586264,130725,140623
2021-01-23,1038037,1080023,514045,106015,122178
2021-01-24,1036070,1067325,489069,99169,116522
2021-01-25,1034138,1054865,468727,92981,109571
2021-01-26,1031751,1037281,440510,85288,101339
2021-01-27,1028888,1017688,413420,79128,94605
2021-01-28,1025024,983892,367794,71043,86758
2021-01-29,1020299,934668,295708,62636,78624
2021-01-30,1016526,870079,229607,56098,73808
2021-01-31,1012690,828800,195979,53396,71953
2021-02-01,1006698,790993,170436,50505,68439
2021-02-02,1000468,738703,149156,47789,64442
2021-02-03,992040,663901,129843,45101,60305
2021-02-04,981386,583499,112756,42385,56175
2021-02-05,969619,506541,98882,39718,52220
2021-02-06,953190,402066,86079,37737,50036
2021-02-07,943747,349174,80710,36841,49000
2021-02-08,931175,304066,74739,35266,46522
2021-02-09,902650,249032,67760,33376,43596
2021-02-10,857038,207368,62125,31269,40082
2021-02-11,791777,168483,56378,29218,36967
2021-02-12,717003,136339,51471,27384,33894
2021-02-13,630868,108514,47733,26243,32284
2021-02-14,593481,100548,46508,25830,31696
2021-02-15,551950,93870,45073,25102,30450
2021-02-16,497189,88312,43547,24402,29344
2021-02-17,436765,83573,41979,23667,28182
2021-02-18,389585,79863,40593,22974,27090
2021-02-19,353017,77161,39536,22400,26110
2021-02-20,321664,74858,38738,22071,25697
2021-02-21,309673,74179,38493,21952,25571
2021-02-22,292628,72877,37996,21679,25165
2021-02-23,273196,71099,37219,21147,24409
2021-02-24,247366,68572,36211,20615,23639
2021-02-25,223398,66115,35091,20034,22834
2021-02-26,199927,63798,34111,19481,22106
2021-02-27,183855,62342,33516,19187,21805
2021-02-28,175378,61747,33313,19096,21707
2021-03-01,169603,61026,32935,18879,21371
2021-03-02,163569,60165,32431,18578,20881
2021-03-03,156499,59073,31906,18200,20321
2021-03-04,146685,57610,31157,17731,19754
2021-03-05,136780,55986,30324,17304,19124
2021-03-06,128051,54873,29834,17045,18851
2021-03-07,125937,54614,29708,16996,18781
2021-03-08,122115,53907,29281,16779,18550
2021-03-09,118391,53116,28840,16499,18151
2021-03-10,114947,52374,28427,16205,17787
2021-03-11,111664,51562,27958,15918,17451
2021-03-12,106995,50680,27510,15666,17080
2021-03-13,101500,49882,27132,15449,16912
2021-03-14,98742,49588,27006,15379,16849
2021-03-15,94689,48965,26740,15183,16618
2021-03-16,91336,48300,26418,14952,16352
2021-03-17,88578,47663,26117,14742,16121
2021-03-18,85666,47040,25739,14518,15820
2021-03-19,83090,46445,25403,14280,15582
2021-03-20,79996,45927,25151,14119,15449
2021-03-21,79114,45738,25053,14077,15393
2021-03-22,77742,45290,24843,13930,15239
2021-03-23,76188,44828,24584,13769,15036
2021-03-24,74753,44282,24262,13545,14798
2021-03-25,73353,43764,23968,13349,14525
2021-03-26,71981,43302,23667,13160,14287
2021-03-27,70497,42840,23345,13013,14091
2021-03-28,69818,42637,23226,12950,14014
2021-03-29,68908,42301,23058,12817,13853
2021-03-30,67991,41888,22841,12670,13650
2021-03-31,67032,41468,22582,12509,13447
2021-04-01,66423,41062,22372,12383,13272
2021-04-02,66171,40915,22197,12271,13181
2021-04-03,65905,40803,22099,12194,13118
2021-04-04,65786,40747,22064,12173,13090
2021-04-05,65709,40705,22050,12152,13076
2021-04-06,65380,40537,21931,12096,12971
2021-04-07,64883,40285,21728,11963,12789
2021-04-08,64435,40026,21560,11858,12670
2021-04-09,63952,39732,21364,11732,12516
2021-04-10,63567,39515,21203,11627,12425
2021-04-11,63427,39424,21119,11592,12376
2021-04-12,63182,39256,21007,11522,12292
2021-04-13,62937,39095,20825,11452,12180
2021-04-14,62664,38913,20664,11368,12068
2021-04-15,62412,38717,20496,11291,11956
2021-04-16,62160,38486,20335,11207,11886
2021-04-17,61957,38339,20216,11158,11844
2021-04-18,61866,38269,20167,11130,11823
2021-04-19,61642,38143,20090,11081,11753
2021-04-20,61404,37996,19992,11025,11662
2021-04-21,61173,37814,19873,10962,11585
2021-04-22,60928,37646,19768,10906,11515
