,False
2020-11-29,0
2020-11-30,7
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,119
2020-12-09,378
2020-12-10,616
2020-12-11,847
2020-12-12,1043
2020-12-13,1225
2020-12-14,1456
2020-12-15,1806
2020-12-16,2261
2020-12-17,2891
2020-12-18,3444
2020-12-19,3969
2020-12-20,4634
2020-12-21,5481
2020-12-22,6188
2020-12-23,7147
2020-12-24,7637
2020-12-25,7637
2020-12-26,7644
2020-12-27,7784
2020-12-28,8029
2020-12-29,8617
2020-12-30,10080
2020-12-31,11410
2021-01-01,11760
2021-01-02,12152
2021-01-03,12474
2021-01-04,13069
2021-01-05,14245
2021-01-06,16016
2021-01-07,18620
2021-01-08,21252
2021-01-09,23590
2021-01-10,24864
2021-01-11,26733
2021-01-12,29064
2021-01-13,31759
2021-01-14,34867
2021-01-15,38332
2021-01-16,41307
2021-01-17,43337
2021-01-18,45661
2021-01-19,48468
2021-01-20,51443
2021-01-21,54600
2021-01-22,58310
2021-01-23,61299
2021-01-24,63245
2021-01-25,65226
2021-01-26,67585
2021-01-27,69825
2021-01-28,72163
2021-01-29,74977
2021-01-30,77189
2021-01-31,78890
2021-02-01,80465
2021-02-02,82348
2021-02-03,84483
2021-02-04,86772
2021-02-05,89138
2021-02-06,91336
2021-02-07,92771
2021-02-08,94031
2021-02-09,95865
2021-02-10,98693
2021-02-11,102676
2021-02-12,107807
2021-02-13,113295
2021-02-14,116074
2021-02-15,118951
2021-02-16,126427
2021-02-17,137683
2021-02-18,147595
2021-02-19,156359
2021-02-20,165277
2021-02-21,169428
2021-02-22,173754
2021-02-23,182728
2021-02-24,200053
2021-02-25,222355
2021-02-26,249368
2021-02-27,272083
2021-02-28,288050
2021-03-01,304661
2021-03-02,325808
2021-03-03,353052
2021-03-04,390614
2021-03-05,427539
2021-03-06,466697
2021-03-07,486577
2021-03-08,510384
2021-03-09,531608
2021-03-10,553385
2021-03-11,574665
2021-03-12,603057
2021-03-13,639030
2021-03-14,657790
2021-03-15,678167
2021-03-16,695793
2021-03-17,710402
2021-03-18,725186
2021-03-19,741125
2021-03-20,758324
2021-03-21,765478
2021-03-22,771554
2021-03-23,776671
2021-03-24,781900
2021-03-25,786688
2021-03-26,791707
2021-03-27,797636
2021-03-28,800415
2021-03-29,802879
2021-03-30,805098
2021-03-31,807023
2021-04-01,808213
2021-04-02,808920
2021-04-03,809795
2021-04-04,810180
2021-04-05,810397
2021-04-06,810824
2021-04-07,811566
2021-04-08,812308
2021-04-09,813085
2021-04-10,813743
2021-04-11,814016
2021-04-12,814268
2021-04-13,814534
2021-04-14,814765
2021-04-15,815010
2021-04-16,815269
2021-04-17,815563
2021-04-18,815682
2021-04-19,815843
2021-04-20,816004
2021-04-21,816200
2021-04-22,816375
2021-04-23,816585
2021-04-24,816816
2021-04-25,816956
2021-04-26,817089
2021-04-27,817243
2021-04-28,817390
2021-04-29,817565
2021-04-30,817733
2021-05-01,817859
2021-05-02,817936
2021-05-03,817985
2021-05-04,818069
2021-05-05,818202
2021-05-06,818370
2021-05-07,818552
2021-05-08,818748
2021-05-09,818839
2021-05-10,818937
2021-05-11,819084
2021-05-12,819301
2021-05-13,819546
2021-05-14,819805
2021-05-15,820057
2021-05-16,820190
2021-05-17,820344
2021-05-18,820512
2021-05-19,820764
total,915495
