,1,2,3,4,5,0
2020-11-28,14,21,21,21,14,0
2020-11-29,14,21,21,21,21,0
2020-11-30,14,28,28,21,21,0
2020-12-01,28,42,84,56,42,0
2020-12-02,35,42,91,56,42,0
2020-12-03,35,49,91,56,42,0
2020-12-04,35,49,98,56,42,0
2020-12-05,35,49,98,56,42,0
2020-12-06,35,49,105,56,42,0
2020-12-07,35,49,112,70,49,0
2020-12-08,420,378,504,588,581,21
2020-12-09,1064,994,1141,1253,1323,70
2020-12-10,1729,1862,1988,2359,2604,112
2020-12-11,2380,2639,2912,3479,3913,154
2020-12-12,2716,3101,3619,4291,4718,182
2020-12-13,2919,3346,4032,4697,5173,196
2020-12-14,3542,4242,5138,5957,6573,238
2020-12-15,9702,11956,15729,16737,17269,651
2020-12-16,19572,24927,32760,36267,38227,1274
2020-12-17,29148,37450,49378,54264,57561,1897
2020-12-18,37527,46690,61439,67627,71792,2373
2020-12-19,48377,58954,76118,83706,89348,3115
2020-12-20,55608,68474,87703,96313,103278,3654
2020-12-21,60256,74438,95046,105287,112084,3885
2020-12-22,68425,83944,107254,120169,128387,4368
2020-12-23,74935,91791,116844,132524,141974,4816
2020-12-24,76664,93604,119651,135597,145292,4935
2020-12-25,76671,93611,119693,135604,145299,4935
2020-12-26,76685,93625,119728,135639,145369,4935
2020-12-27,76762,93695,119819,135723,145516,4935
2020-12-28,76944,93898,120050,135982,145838,4935
2020-12-29,80332,98147,124516,141218,150738,5145
2020-12-30,89887,108633,136794,155638,165081,5733
2020-12-31,96215,115892,147112,166369,176169,6258
2021-01-01,97335,117516,149751,169162,179165,6461
2021-01-02,98917,119441,152684,172445,182917,6552
2021-01-03,99421,119931,153377,173376,184219,6566
2021-01-04,100191,120799,154329,174384,185388,6601
2021-01-05,102193,123410,157759,177450,189105,6671
2021-01-06,106666,128436,163667,184317,196637,6937
2021-01-07,122521,148757,188090,212709,227192,7756
2021-01-08,143955,175665,220066,249697,265797,8799
2021-01-09,161126,196665,247499,281197,301161,9961
2021-01-10,168959,205765,259224,294630,315686,10668
2021-01-11,175665,213150,267974,304171,327026,10822
2021-01-12,187285,227815,285579,324961,351526,11284
2021-01-13,208096,253092,316813,361193,390985,12495
2021-01-14,233436,283738,353283,402682,434623,13328
2021-01-15,261996,319438,397992,451164,487263,14798
2021-01-16,285999,352443,439607,493892,535003,16674
2021-01-17,296478,366492,458598,513030,554617,17297
2021-01-18,306733,377818,472983,528486,570808,17836
2021-01-19,332913,412363,514619,574189,619654,19201
2021-01-20,362061,448182,558376,620368,671132,20566
2021-01-21,395220,489601,610428,676361,726852,22309
2021-01-22,439355,546917,681695,753970,809193,24430
2021-01-23,479486,600033,756938,834687,894439,27020
2021-01-24,494739,619479,784175,863457,925505,28098
2021-01-25,509621,638673,808521,890120,953204,28924
2021-01-26,529032,662830,838292,921319,984991,29995
2021-01-27,549668,688289,867846,952259,1015630,31143
2021-01-28,580517,728791,916321,1004983,1068480,32592
2021-01-29,623693,786548,990808,1086694,1154013,34902
2021-01-30,664643,841806,1063972,1167341,1240274,38087
2021-01-31,686308,872830,1106434,1215018,1290961,39837
2021-02-01,710199,905002,1144836,1258033,1335901,41090
2021-02-02,735098,938511,1187620,1307425,1388366,42616
2021-02-03,767095,979930,1239462,1365413,1450743,44996
2021-02-04,803068,1025745,1296029,1426404,1511328,47544
2021-02-05,837319,1069929,1353905,1489096,1575413,49532
2021-02-06,874958,1120161,1421931,1560146,1650985,52115
2021-02-07,891667,1143779,1454670,1594817,1689345,53438
2021-02-08,911883,1172430,1487213,1630860,1728503,54558
2021-02-09,939260,1207241,1529325,1678110,1778469,56364
2021-02-10,970368,1245524,1576323,1727481,1831053,57995
2021-02-11,1007671,1289057,1629376,1786659,1892499,60508
2021-02-12,1045772,1336083,1686041,1848203,1956122,62993
2021-02-13,1081962,1379840,1745289,1907941,2020025,65268
2021-02-14,1093981,1395940,1767304,1931426,2045253,66150
2021-02-15,1108968,1415099,1790481,1957179,2073127,67025
2021-02-16,1128820,1439935,1819930,1989358,2105656,68145
2021-02-17,1149225,1465471,1850926,2023063,2140138,69496
2021-02-18,1166466,1487451,1876483,2051539,2170532,70609
2021-02-19,1179507,1503341,1895152,2071349,2190832,71491
2021-02-20,1190462,1516368,1912239,2087904,2207702,72296
2021-02-21,1194228,1521100,1918161,2093938,2213890,72555
2021-02-22,1200122,1528625,1926883,2102674,2222283,72968
2021-02-23,1207472,1537641,1937894,2113293,2232685,73563
2021-02-24,1217258,1548638,1951383,2126656,2245558,74172
2021-02-25,1227184,1559901,1964662,2140285,2258578,74725
2021-02-26,1236144,1570604,1976828,2152178,2270268,75215
2021-02-27,1242801,1577849,1985123,2160123,2277807,75593
2021-02-28,1245545,1581692,1989127,2163490,2280964,75789
2021-03-01,1248527,1585269,1992669,2166703,2283666,75943
2021-03-02,1251775,1589196,1996645,2170189,2286522,76202
2021-03-03,1255877,1593753,2001167,2174004,2289735,76510
2021-03-04,1261309,1599612,2006844,2178806,2293753,76874
2021-03-05,1266846,1605310,2012983,2184392,2298632,77168
2021-03-06,1271634,1609916,2017687,2188795,2302573,77378
2021-03-07,1273013,1611120,2018919,2189971,2303588,77427
2021-03-08,1275673,1613759,2021397,2192393,2305380,77546
