,8,9,10,11,12
2020-11-28,7,14,14,7,14
2020-11-29,7,14,14,7,14
2020-11-30,7,14,14,7,21
2020-12-01,7,14,14,21,28
2020-12-02,7,14,14,21,28
2020-12-03,7,21,14,21,28
2020-12-04,7,21,14,21,28
2020-12-05,7,21,14,21,28
2020-12-06,7,21,14,21,28
2020-12-07,7,21,14,28,42
2020-12-08,14,28,21,70,91
2020-12-09,21,28,21,168,217
2020-12-10,21,35,21,315,455
2020-12-11,28,42,21,525,714
2020-12-12,28,42,28,588,784
2020-12-13,28,42,28,609,805
2020-12-14,28,42,35,840,1050
2020-12-15,35,42,49,1092,1337
2020-12-16,35,49,49,1435,1708
2020-12-17,42,56,63,1743,2072
2020-12-18,42,56,77,2016,2366
2020-12-19,42,56,91,2065,2436
2020-12-20,42,56,98,2100,2471
2020-12-21,49,56,133,2254,2653
2020-12-22,56,70,147,2394,2821
2020-12-23,70,70,189,2548,3017
2020-12-24,77,84,203,2674,3185
2020-12-25,77,84,203,2674,3192
2020-12-26,77,84,210,2681,3192
2020-12-27,77,91,210,2688,3199
2020-12-28,77,91,210,2695,3206
2020-12-29,84,105,231,2786,3332
2020-12-30,98,112,266,2891,3479
2020-12-31,98,126,287,2996,3605
2021-01-01,133,168,329,3031,3640
2021-01-02,133,175,350,3073,3696
2021-01-03,133,175,364,3094,3710
2021-01-04,140,189,427,3381,4046
2021-01-05,147,210,588,3787,4613
2021-01-06,154,252,749,4200,5096
2021-01-07,168,308,966,4662,5558
2021-01-08,196,392,1141,5117,6062
2021-01-09,203,399,1190,5222,6237
2021-01-10,203,399,1211,5285,6286
2021-01-11,217,448,1456,5887,6972
2021-01-12,231,553,1792,6594,7728
2021-01-13,259,679,2191,7364,8561
2021-01-14,287,812,2730,8120,9331
2021-01-15,322,924,3213,8764,9975
2021-01-16,322,945,3339,8897,10122
2021-01-17,329,959,3395,8974,10199
2021-01-18,364,1260,4221,9898,11074
2021-01-19,406,1687,5271,10717,11928
2021-01-20,441,2219,6363,11382,12628
2021-01-21,539,2919,7413,11935,13279
2021-01-22,623,3542,8358,12446,13839
2021-01-23,658,3731,8561,12509,13923
2021-01-24,672,3843,8617,12558,13979
2021-01-25,749,4613,9688,13335,14805
2021-01-26,847,5635,11025,14196,15589
2021-01-27,1001,6790,12285,14882,16268
2021-01-28,1155,8176,13405,15400,16814
2021-01-29,1337,9800,14343,15827,17311
2021-01-30,1428,10178,14504,15876,17381
2021-01-31,1456,10325,14574,15918,17402
2021-02-01,1764,12194,15582,16408,18004
2021-02-02,2093,14532,16653,17080,18634
2021-02-03,2632,16849,17682,17626,19215
2021-02-04,3248,19432,18739,18144,19719
2021-02-05,3969,22029,19642,18662,20293
2021-02-06,4158,22477,19873,18760,20384
2021-02-07,4207,22645,19943,18788,20419
2021-02-08,5614,25781,21280,19537,21161
2021-02-09,7847,28735,22561,20237,21889
2021-02-10,10059,30849,23513,20811,22463
2021-02-11,12285,32396,24381,21308,22988
2021-02-12,14098,33712,25039,21686,23429
2021-02-13,14336,33866,25102,21707,23450
2021-02-14,14448,33950,25130,21728,23471
2021-02-15,15918,34741,25564,21987,23730
2021-02-16,17290,35441,25921,22190,23947
2021-02-17,18298,36036,26229,22386,24185
2021-02-18,19236,36582,26516,22568,24367
2021-02-19,19873,36960,26740,22694,24542
2021-02-20,19950,36988,26761,22694,24549
2021-02-21,19978,37002,26761,22701,24549
2021-02-22,20622,37478,26971,22841,24703
2021-02-23,21308,38024,27265,23002,24913
2021-02-24,22113,38521,27524,23114,25074
2021-02-25,22729,38871,27671,23198,25200
2021-02-26,23240,39158,27811,23296,25305
2021-02-27,23303,39207,27846,23303,25319
2021-02-28,23338,39235,27874,23310,25319
2021-03-01,24115,39620,28084,23436,25473
2021-03-02,24934,40033,28315,23597,25634
2021-03-03,25739,40446,28595,23744,25802
2021-03-04,26565,40859,28854,23905,25977
2021-03-05,27223,41209,29043,24010,26110
2021-03-06,27272,41251,29057,24031,26138
2021-03-07,27300,41272,29064,24038,26145
2021-03-08,28231,41741,29372,24171,26271
2021-03-09,29295,42294,29652,24325,26439
2021-03-10,30317,42735,29876,24458,26572
2021-03-11,31304,43302,30121,24612,26740
2021-03-12,32088,43638,30254,24703,26824
2021-03-13,32186,43673,30289,24710,26831
2021-03-14,32214,43694,30296,24717,26838
2021-03-15,33110,44058,30492,24829,26978
2021-03-16,34006,44436,30695,24955,27111
2021-03-17,34804,44779,30835,25067,27216
2021-03-18,35497,45150,31059,25165,27335
2021-03-19,36015,45416,31206,25277,27412
2021-03-20,36127,45479,31234,25291,27412
2021-03-21,36183,45500,31241,25291,27412
2021-03-22,36757,45815,31395,25410,27517
2021-03-23,37716,46186,31626,25529,27643
2021-03-24,38339,46543,31836,25662,27748
2021-03-25,38794,46858,31990,25767,27846
2021-03-26,39235,47026,32095,25809,27895
2021-03-27,39284,47082,32109,25823,27902
2021-03-28,39312,47096,32116,25823,27902
2021-03-29,39676,47264,32207,25865,27972
2021-03-30,39956,47460,32312,25949,28042
2021-03-31,40271,47656,32431,25998,28091
2021-04-01,40481,47894,32501,26047,28140
2021-04-02,40502,47901,32501,26047,28140
2021-04-03,40523,47915,32508,26047,28140
2021-04-04,40530,47915,32515,26047,28140
2021-04-05,40544,47929,32522,26054,28147
2021-04-06,40789,48048,32571,26082,28189
2021-04-07,41069,48153,32662,26124,28238
2021-04-08,41328,48293,32746,26173,28294
2021-04-09,41503,48454,32802,26208,28329
2021-04-10,41524,48468,32816,26229,28357
2021-04-11,41531,48475,32816,26229,28357
2021-04-12,41706,48566,32914,26292,28413
2021-04-13,41902,48713,32991,26362,28469
2021-04-14,42049,48832,33040,26383,28497
2021-04-15,42224,48944,33138,26418,28539
2021-04-16,42392,49112,33180,26439,28567
2021-04-17,42399,49119,33187,26439,28567
2021-04-18,42399,49119,33187,26439,28567
2021-04-19,42588,49175,33229,26460,28581
2021-04-20,42770,49266,33264,26474,28616
2021-04-21,42917,49364,33327,26502,28651
2021-04-22,43197,49448,33369,26530,28672
2021-04-23,43386,49595,33432,26565,28700
2021-04-24,43386,49595,33432,26565,28700
2021-04-25,43400,49602,33432,26572,28707
2021-04-26,43568,49672,33481,26600,28728
2021-04-27,43729,49770,33544,26628,28777
2021-04-28,43869,49826,33600,26670,28812
2021-04-29,43981,49896,33635,26691,28833
2021-04-30,44156,49994,33677,26726,28861
2021-05-01,44170,50001,33684,26726,28861
2021-05-02,44177,50008,33684,26726,28861
2021-05-03,44198,50008,33684,26726,28861
2021-05-04,44296,50057,33712,26747,28882
2021-05-05,44471,50148,33754,26761,28903
2021-05-06,44569,50239,33782,26782,28924
2021-05-07,44730,50337,33831,26810,28952
2021-05-08,44744,50344,33831,26810,28952
2021-05-09,44751,50351,33831,26817,28952
2021-05-10,44849,50428,33866,26831,28973
2021-05-11,45059,50596,33957,26880,29015
2021-05-12,45199,50708,34006,26901,29029
2021-05-13,45423,50785,34048,26922,29057
2021-05-14,45549,50855,34104,26950,29085
2021-05-15,45556,50862,34104,26950,29085
2021-05-16,45570,50869,34111,26950,29092
2021-05-17,45668,50918,34153,26971,29106
2021-05-18,45787,51002,34188,27013,29148
2021-05-19,45864,51079,34216,27034,29176
2021-05-20,45948,51128,34237,27048,29190
2021-05-21,46011,51163,34265,27069,29218
2021-05-22,46018,51163,34265,27069,29218
2021-05-23,46018,51163,34265,27069,29218
2021-05-24,46018,51163,34279,27069,29218
total,2517046,2783249,2023672,1408393,1357321
