,1,2,3,4,5,6
2020-11-28,6384189,40173,310170,119616,62559,3172771
2020-11-29,6384189,40173,310170,119616,62559,3172771
2020-11-30,6384182,40173,310170,119616,62559,3172764
2020-12-01,6384098,40173,310163,119602,62559,3172743
2020-12-02,6384084,40173,310163,119602,62559,3172743
2020-12-03,6384077,40173,310163,119602,62559,3172736
2020-12-04,6384070,40173,310163,119602,62559,3172736
2020-12-05,6384070,40173,310163,119602,62559,3172736
2020-12-06,6384070,40173,310163,119602,62559,3172729
2020-12-07,6384049,40173,310163,119602,62559,3172715
2020-12-08,6382642,40159,310114,119574,62552,3172043
2020-12-09,6380577,40145,310051,119532,62538,3170881
2020-12-10,6377714,40131,309946,119462,62524,3169152
2020-12-11,6374837,40110,309820,119392,62510,3167458
2020-12-12,6372800,40096,309736,119364,62496,3166457
2020-12-13,6371785,40096,309708,119357,62489,3165806
2020-12-14,6368579,40068,309554,119273,62468,3163958
2020-12-15,6340061,39963,308532,118909,62328,3147753
2020-12-16,6290438,39781,306523,118307,62083,3119431
2020-12-17,6244021,39599,304402,117684,61817,3092376
2020-12-18,6208580,39452,302806,117285,61607,3072398
2020-12-19,6163675,39270,301161,116921,61341,3047590
2020-12-20,6129053,39123,299719,116641,61145,3028858
2020-12-21,6106177,39025,298753,116417,61005,3017210
2020-12-22,6065451,38892,297717,116130,60837,2997995
2020-12-23,6031900,38815,297059,115955,60697,2982266
2020-12-24,6023556,38773,296716,115892,60655,2978248
2020-12-25,6023514,38773,296709,115892,60655,2978234
2020-12-26,6023423,38773,296695,115892,60655,2978185
2020-12-27,6023143,38773,296667,115885,60641,2978017
2020-12-28,6022450,38759,296632,115885,60634,2977583
2020-12-29,6008247,38675,295855,115710,60529,2970485
2020-12-30,5969544,38500,294441,115325,60291,2949709
2020-12-31,5941180,38402,293293,115045,60130,2933525
2021-01-01,5933977,38374,293118,114989,60095,2929654
2021-01-02,5925416,38339,292768,114919,60039,2925160
2021-01-03,5922931,38325,292705,114905,60032,2923788
2021-01-04,5920306,38304,292551,114807,60004,2921919
2021-01-05,5911122,38234,291963,114541,59906,2917236
2021-01-06,5892068,38108,290955,114114,59752,2907933
2021-01-07,5814221,37793,288169,113407,59318,2869657
2021-01-08,5713190,37331,284144,112168,58688,2820076
2021-01-09,5629806,36974,280532,111195,58212,2775255
2021-01-10,5594288,36806,278768,110712,58009,2756075
2021-01-11,5565861,36666,277501,110222,57827,2742705
2021-01-12,5509252,36421,275667,109522,57505,2712773
2021-01-13,5412141,35987,271537,108164,56910,2662156
2021-01-14,5299917,35322,265370,106113,56021,2605757
2021-01-15,5164943,34545,259546,103887,55104,2538907
2021-01-16,5046342,33922,254394,101934,54292,2475067
2021-01-17,4995088,33656,252105,101094,53844,2447277
2021-01-18,4952381,33404,250103,100261,53459,2425304
2021-01-19,4826829,32809,244762,98399,52591,2361247
2021-01-20,4694011,32158,238546,96264,51548,2296364
2021-01-21,4539262,31409,232414,94115,50491,2221128
2021-01-22,4323501,30352,224035,91567,48895,2115673
2021-01-23,4107320,29428,215586,89285,47271,2008090
2021-01-24,4029746,28994,211512,88249,46417,1969212
2021-01-25,3958199,28490,207410,86800,45787,1933827
2021-01-26,3871378,27951,202727,85008,44926,1891141
2021-01-27,3785404,27370,197400,83076,43960,1847538
2021-01-28,3638068,26565,190162,80647,42749,1779722
2021-01-29,3409763,25480,181531,77644,41181,1677326
2021-01-30,3185357,24437,172851,75313,39620,1575875
2021-01-31,3057243,23800,166712,74060,38563,1517810
2021-02-01,2936591,23163,161133,72555,37611,1463490
2021-02-02,2802093,22428,154840,70728,36484,1403381
2021-02-03,2638237,21693,148400,68768,35336,1329510
2021-02-04,2463650,20790,140644,66374,33810,1254204
2021-02-05,2285668,19824,133987,63896,32319,1178688
2021-02-06,2085440,18942,127386,62055,31003,1084454
2021-02-07,1989666,18515,123956,61320,30303,1038107
2021-02-08,1887963,17948,119434,59668,29323,989807
2021-02-09,1756601,17206,113883,57652,28140,927339
2021-02-10,1614417,16408,107555,55594,26915,859964
2021-02-11,1444485,15456,100296,53144,25536,784903
2021-02-12,1268057,14427,92806,50512,24157,704410
2021-02-13,1094044,13580,86590,48685,22855,623497
2021-02-14,1029294,13251,83440,47908,22267,593390
2021-02-15,957383,12852,80479,46837,21595,558586
2021-02-16,866831,12341,76356,45591,20727,515900
2021-02-17,773962,11788,72149,44219,19852,469280
2021-02-18,694806,11284,68446,42973,19012,429982
2021-02-19,639324,10906,65730,41958,18424,401597
2021-02-20,591402,10563,63273,41223,17934,378217
2021-02-21,574133,10458,62209,40992,17738,370188
2021-02-22,549598,10269,60802,40432,17423,357483
2021-02-23,519442,9989,58989,39655,16989,341978
2021-02-24,481551,9709,56938,38801,16520,322406
2021-02-25,443660,9415,54796,37947,16093,302330
2021-02-26,409703,9128,52899,37128,15715,283773
2021-02-27,386827,8946,51324,36596,15428,271166
2021-02-28,376530,8855,50708,36330,15295,265251
2021-03-01,367024,8778,50169,35973,15134,259721
2021-03-02,356685,8673,49546,35532,14938,253687
2021-03-03,344764,8554,48643,35028,14735,246813
2021-03-04,329406,8386,47537,34440,14525,238105
2021-03-05,312865,8211,46431,33768,14266,228718
2021-03-06,299894,8036,45367,33166,14035,221109
2021-03-07,296352,7994,44968,32991,13965,219275
2021-03-08,289380,7917,44408,32669,13853,215208
2021-03-09,282681,7826,43729,32263,13706,211141
2021-03-10,276087,7714,43050,31808,13573,207179
2021-03-11,269766,7616,42378,31353,13426,203231
2021-03-12,261863,7504,41776,30940,13258,198443
2021-03-13,252987,7399,40992,30597,13125,193823
2021-03-14,248885,7357,40684,30471,13055,191408
2021-03-15,242837,7273,40131,30149,12943,187565
2021-03-16,236782,7182,39578,29785,12817,184079
2021-03-17,231658,7098,38997,29414,12698,180964
2021-03-18,226163,7014,38430,29057,12558,177737
2021-03-19,220948,6923,37912,28707,12432,174615
2021-03-20,215908,6846,37415,28413,12313,171689
2021-03-21,214256,6811,37205,28315,12257,170618
2021-03-22,211386,6762,36876,28077,12166,168833
2021-03-23,208019,6685,36526,27692,12068,166740
2021-03-24,204715,6615,36092,27377,11963,164682
2021-03-25,201061,6531,35644,26978,11844,162547
2021-03-26,197743,6475,35210,26670,11746,160524
2021-03-27,194642,6412,34783,26348,11655,158529
2021-03-28,193389,6384,34552,26229,11613,157675
2021-03-29,191191,6321,34279,26005,11550,156254
2021-03-30,188727,6279,33943,25774,11473,154833
2021-03-31,186172,6223,33600,25522,11389,153293
2021-04-01,184226,6188,33355,25375,11319,152159
2021-04-02,183491,6181,33264,25312,11298,151627
2021-04-03,182749,6160,33124,25242,11277,151179
2021-04-04,182518,6153,33054,25228,11270,151039
2021-04-05,182329,6146,32998,25200,11263,150920
2021-04-06,181188,6118,32809,25130,11214,150304
2021-04-07,179704,6083,32543,24997,11172,149436
