,F,M
2020-11-28,7,0
2020-11-29,7,0
2020-11-30,7,0
2020-12-01,14,0
2020-12-02,14,0
2020-12-03,14,7
2020-12-04,14,7
2020-12-05,14,7
2020-12-06,14,7
2020-12-07,14,7
2020-12-08,14,7
2020-12-09,21,28
2020-12-10,21,28
2020-12-11,21,28
2020-12-12,21,28
2020-12-13,21,28
2020-12-14,35,28
2020-12-15,35,28
2020-12-16,42,28
2020-12-17,49,35
2020-12-18,49,42
2020-12-19,49,42
2020-12-20,49,42
2020-12-21,56,56
2020-12-22,70,63
2020-12-23,77,70
2020-12-24,84,77
2020-12-25,84,77
2020-12-26,84,77
2020-12-27,84,77
2020-12-28,84,77
2020-12-29,98,91
2020-12-30,105,98
2020-12-31,119,105
2021-01-01,133,147
2021-01-02,140,154
2021-01-03,140,154
2021-01-04,154,175
2021-01-05,168,189
2021-01-06,196,224
2021-01-07,217,238
2021-01-08,252,273
2021-01-09,259,280
2021-01-10,259,287
2021-01-11,280,308
2021-01-12,322,357
2021-01-13,364,399
2021-01-14,448,476
2021-01-15,525,532
2021-01-16,539,539
2021-01-17,553,546
2021-01-18,658,630
2021-01-19,798,756
2021-01-20,966,896
2021-01-21,1169,1050
2021-01-22,1442,1288
2021-01-23,1498,1337
2021-01-24,1512,1351
2021-01-25,1806,1561
2021-01-26,2212,1876
2021-01-27,2660,2198
2021-01-28,3262,2611
2021-01-29,3934,3129
2021-01-30,4060,3206
2021-01-31,4123,3255
2021-02-01,4942,3843
2021-02-02,5915,4592
2021-02-03,7112,5467
2021-02-04,8211,6384
2021-02-05,9415,7399
2021-02-06,9632,7574
2021-02-07,9709,7651
2021-02-08,11165,8869
2021-02-09,12516,10094
2021-02-10,13734,11130
2021-02-11,14805,12075
2021-02-12,15925,13230
2021-02-13,16163,13489
2021-02-14,16359,13657
2021-02-15,17724,15022
2021-02-16,19341,16709
2021-02-17,21091,18473
2021-02-18,22890,20363
2021-02-19,24451,21966
2021-02-20,24647,22141
2021-02-21,24724,22218
2021-02-22,26586,23940
2021-02-23,28805,25963
2021-02-24,30737,27699
2021-02-25,32480,29407
2021-02-26,33761,30849
2021-02-27,33936,31031
2021-02-28,33978,31080
2021-03-01,35602,32571
2021-03-02,37597,34545
2021-03-03,39557,36533
2021-03-04,41440,38598
2021-03-05,43078,40299
2021-03-06,43316,40523
2021-03-07,43421,40621
2021-03-08,45304,42434
2021-03-09,47376,44646
2021-03-10,49637,46956
2021-03-11,51779,49154
2021-03-12,53431,50694
2021-03-13,53641,50939
2021-03-14,53704,51016
2021-03-15,55594,52906
2021-03-16,57414,54698
2021-03-17,59199,56476
2021-03-18,60844,58058
2021-03-19,62286,59374
2021-03-20,62531,59633
2021-03-21,62615,59731
2021-03-22,63973,61173
2021-03-23,65877,63084
2021-03-24,67291,64498
2021-03-25,68446,65632
2021-03-26,69454,66640
2021-03-27,69559,66759
2021-03-28,69643,66836
2021-03-29,70483,67802
2021-03-30,71281,68607
2021-03-31,71953,69286
2021-04-01,72597,69986
2021-04-02,72646,70014
2021-04-03,72716,70098
2021-04-04,72737,70133
2021-04-05,72765,70161
2021-04-06,73367,70847
2021-04-07,73990,71617
2021-04-08,74466,72247
2021-04-09,74963,72730
2021-04-10,75012,72772
2021-04-11,75040,72800
2021-04-12,75446,73234
2021-04-13,75950,73731
2021-04-14,76412,74172
2021-04-15,76797,74578
2021-04-16,77196,74956
2021-04-17,77231,75005
2021-04-18,77266,75054
2021-04-19,77623,75383
2021-04-20,77987,75733
2021-04-21,78344,76160
2021-04-22,78680,76524
2021-04-23,79086,76902
2021-04-24,79107,76930
2021-04-25,79135,76965
2021-04-26,79443,77343
2021-04-27,79877,77805
2021-04-28,80276,78232
2021-04-29,80640,78561
2021-04-30,80920,78897
2021-05-01,80927,78911
2021-05-02,80941,78925
2021-05-03,80976,78967
2021-05-04,81291,79268
2021-05-05,81739,79723
2021-05-06,82033,79975
2021-05-07,82376,80360
2021-05-08,82418,80395
2021-05-09,82425,80402
2021-05-10,82880,80878
2021-05-11,83377,81382
2021-05-12,83860,81872
2021-05-13,84308,82348
2021-05-14,84581,82656
2021-05-15,84623,82698
2021-05-16,84644,82740
2021-05-17,84924,83027
2021-05-18,85246,83328
2021-05-19,85533,83608
2021-05-20,85834,83895
2021-05-21,86044,84091
2021-05-22,86065,84112
2021-05-23,86072,84119
2021-05-24,86205,84301
2021-05-25,86289,84392
2021-05-26,86359,84497
total,3139913,3176292
