,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,21,0
2020-12-02,28,0
2020-12-03,28,0
2020-12-04,28,0
2020-12-05,35,0
2020-12-06,35,0
2020-12-07,35,0
2020-12-08,1015,0
2020-12-09,2611,0
2020-12-10,4487,14
2020-12-11,6503,21
2020-12-12,8239,21
2020-12-13,9128,21
2020-12-14,10654,28
2020-12-15,13566,35
2020-12-16,16877,56
2020-12-17,20923,91
2020-12-18,25025,133
2020-12-19,28301,182
2020-12-20,32529,252
2020-12-21,37933,294
2020-12-22,43085,329
2020-12-23,49042,406
2020-12-24,51842,448
2020-12-25,51884,448
2020-12-26,52150,448
2020-12-27,52899,448
2020-12-28,54201,448
2020-12-29,58660,546
2020-12-30,67837,896
2020-12-31,76139,1246
2021-01-01,78547,1351
2021-01-02,81445,1393
2021-01-03,83552,1414
2021-01-04,87500,1442
2021-01-05,95158,1526
2021-01-06,105322,1820
2021-01-07,120029,2170
2021-01-08,136997,2835
2021-01-09,151571,3395
2021-01-10,160202,3563
2021-01-11,172543,3969
2021-01-12,187530,4599
2021-01-13,205016,5565
2021-01-14,224735,6734
2021-01-15,247702,8302
2021-01-16,265727,9282
2021-01-17,277158,9688
2021-01-18,292047,10521
2021-01-19,311255,11718
2021-01-20,335370,12999
2021-01-21,363398,14945
2021-01-22,398923,17885
2021-01-23,435645,19740
2021-01-24,454580,20412
2021-01-25,474509,21371
2021-01-26,499877,22722
2021-01-27,529361,24451
2021-01-28,570052,26719
2021-01-29,621845,29330
2021-01-30,676207,31311
2021-01-31,712509,32508
2021-02-01,746837,34083
2021-02-02,789859,36141
2021-02-03,850759,38885
2021-02-04,920094,42406
2021-02-05,995057,46088
2021-02-06,1099532,50505
2021-02-07,1143436,52143
2021-02-08,1191120,54390
2021-02-09,1253035,57736
2021-02-10,1316112,61649
2021-02-11,1389479,65989
2021-02-12,1472373,70609
2021-02-13,1554812,74403
2021-02-14,1589987,75418
2021-02-15,1628270,77035
2021-02-16,1714160,80024
2021-02-17,1863456,84826
2021-02-18,2010624,89859
2021-02-19,2130345,94066
2021-02-20,2255456,97727
2021-02-21,2293193,98763
2021-02-22,2343348,100814
2021-02-23,2469355,105105
2021-02-24,2651264,111552
2021-02-25,2843078,118741
2021-02-26,3038896,126021
2021-02-27,3198314,131978
2021-02-28,3247433,133546
2021-03-01,3288292,135310
2021-03-02,3337740,137445
2021-03-03,3409805,140945
2021-03-04,3521203,146650
2021-03-05,3658235,153692
2021-03-06,3793965,159257
2021-03-07,3828860,160342
2021-03-08,3869278,162022
2021-03-09,3911845,164031
2021-03-10,3960019,166075
2021-03-11,4002446,168056
2021-03-12,4075127,171101
2021-03-13,4181688,175245
2021-03-14,4227972,176589
2021-03-15,4285064,178437
2021-03-16,4347063,180691
2021-03-17,4402223,182777
2021-03-18,4459609,184786
2021-03-19,4521181,186837
2021-03-20,4597082,189112
2021-03-21,4626790,189763
2021-03-22,4655336,190575
2021-03-23,4682622,191548
2021-03-24,4710643,192668
2021-03-25,4741555,193984
2021-03-26,4774217,195510
2021-03-27,4814929,197470
2021-03-28,4833731,198247
2021-03-29,4851609,199129
2021-03-30,4868850,200025
2021-03-31,4887302,201047
2021-04-01,4900301,201824
2021-04-02,4906699,202160
2021-04-03,4914546,202545
2021-04-04,4917759,202636
2021-04-05,4919901,202713
2021-04-06,4925704,203000
2021-04-07,4932767,203371
2021-04-08,4939109,203728
2021-04-09,4946193,204106
2021-04-10,4953235,204477
2021-04-11,4956308,204617
2021-04-12,4958898,204729
2021-04-13,4961908,204911
2021-04-14,4965450,205093
2021-04-15,4969391,205331
2021-04-16,4973745,205583
2021-04-17,4978344,205807
2021-04-18,4980647,205912
2021-04-19,4983076,206031
2021-04-20,4986058,206178
2021-04-21,4989502,206353
2021-04-22,4993212,206528
2021-04-23,4997272,206731
2021-04-24,5001500,206920
2021-04-25,5003474,206997
2021-04-26,5005798,207088
2021-04-27,5008710,207214
2021-04-28,5012056,207403
2021-04-29,5015962,207578
2021-04-30,5019693,207725
2021-05-01,5023263,207851
2021-05-02,5025062,207900
2021-05-03,5026259,207921
2021-05-04,5028695,207991
2021-05-05,5031698,208117
2021-05-06,5035268,208292
2021-05-07,5038817,208453
2021-05-08,5042702,208586
2021-05-09,5044641,208621
2021-05-10,5046797,208691
2021-05-11,5050269,208859
2021-05-12,5055547,209153
2021-05-13,5061273,209433
2021-05-14,5067146,209685
2021-05-15,5073495,209916
2021-05-16,5076393,210007
2021-05-17,5078752,210119
2021-05-18,5083344,210287
2021-05-19,5089532,210525
2021-05-20,5093431,210651
2021-05-21,5096462,210777
2021-05-22,5099262,210854
2021-05-23,5099318,210854
total,6060432,251426
