,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,21,0
2020-12-02,28,0
2020-12-03,28,0
2020-12-04,28,0
2020-12-05,35,0
2020-12-06,35,0
2020-12-07,35,0
2020-12-08,1008,7
2020-12-09,2569,42
2020-12-10,4424,77
2020-12-11,6398,119
2020-12-12,8106,154
2020-12-13,8988,168
2020-12-14,10486,203
2020-12-15,13349,259
2020-12-16,16604,329
2020-12-17,20594,413
2020-12-18,24654,511
2020-12-19,27909,581
2020-12-20,32095,686
2020-12-21,37429,798
2020-12-22,42504,910
2020-12-23,48405,1043
2020-12-24,51163,1120
2020-12-25,51205,1120
2020-12-26,51464,1127
2020-12-27,52199,1155
2020-12-28,53480,1183
2020-12-29,57848,1351
2020-12-30,66997,1736
2020-12-31,75271,2100
2021-01-01,77693,2198
2021-01-02,80535,2303
2021-01-03,82600,2373
2021-01-04,86450,2485
2021-01-05,93975,2702
2021-01-06,104118,3010
2021-01-07,118615,3577
2021-01-08,135520,4319
2021-01-09,149954,5012
2021-01-10,158473,5292
2021-01-11,170688,5824
2021-01-12,185668,6447
2021-01-13,203273,7308
2021-01-14,223118,8351
2021-01-15,246225,9772
2021-01-16,264334,10675
2021-01-17,275688,11151
2021-01-18,290563,12005
2021-01-19,309988,12985
2021-01-20,334124,14245
2021-01-21,362621,15722
2021-01-22,399133,17675
2021-01-23,436226,19159
2021-01-24,455049,19936
2021-01-25,475188,20699
2021-01-26,500843,21756
2021-01-27,530859,22960
2021-01-28,572264,24507
2021-01-29,624967,26208
2021-01-30,679861,27664
2021-01-31,716478,28546
2021-02-01,751359,29561
2021-02-02,795067,30933
2021-02-03,856975,32669
2021-02-04,927738,34762
2021-02-05,1003926,37219
2021-02-06,1110221,39823
2021-02-07,1154741,40845
2021-02-08,1203230,42273
2021-02-09,1266391,44394
2021-02-10,1331190,46578
2021-02-11,1406104,49364
2021-02-12,1490076,52906
2021-02-13,1573145,56070
2021-02-14,1607949,57456
2021-02-15,1646029,59283
2021-02-16,1730533,63651
2021-02-17,1876980,71302
2021-02-18,2021397,79093
2021-02-19,2138962,85442
2021-02-20,2261518,91665
2021-02-21,2298422,93534
2021-02-22,2347660,96502
2021-02-23,2470629,103831
2021-02-24,2648555,114261
2021-02-25,2836232,125587
2021-02-26,3028501,136409
2021-02-27,3185098,145187
2021-02-28,3233090,147889
2021-03-01,3273319,150283
2021-03-02,3321689,153496
2021-03-03,3392270,158480
2021-03-04,3501582,166264
2021-03-05,3635933,175987
2021-03-06,3768016,185206
2021-03-07,3801812,187390
2021-03-08,3841159,190148
2021-03-09,3882445,193438
2021-03-10,3928946,197141
2021-03-11,3969861,200641
2021-03-12,4039770,206458
2021-03-13,4142369,214564
2021-03-14,4186952,217616
2021-03-15,4241608,221900
2021-03-16,4300905,226849
2021-03-17,4353916,231077
2021-03-18,4408831,235564
2021-03-19,4468100,239911
2021-03-20,4541320,244881
2021-03-21,4569922,246631
2021-03-22,4597299,248612
2021-03-23,4623465,250698
2021-03-24,4650415,252889
2021-03-25,4679997,255535
2021-03-26,4711777,257950
2021-03-27,4751586,260813
2021-03-28,4769975,261996
2021-03-29,4787314,263424
2021-03-30,4803932,264943
2021-03-31,4821810,266539
2021-04-01,4834494,267624
2021-04-02,4840787,268079
2021-04-03,4848438,268653
2021-04-04,4851574,268828
2021-04-05,4853667,268940
2021-04-06,4859218,269479
2021-04-07,4865924,270221
2021-04-08,4871972,270872
2021-04-09,4878699,271600
2021-04-10,4885510,272202
2021-04-11,4888464,272461
2021-04-12,4890879,272748
2021-04-13,4893735,273077
2021-04-14,4897109,273427
2021-04-15,4900882,273840
2021-04-16,4905117,274211
2021-04-17,4909548,274603
2021-04-18,4911802,274750
2021-04-19,4914119,274988
2021-04-20,4916933,275303
2021-04-21,4920230,275625
2021-04-22,4923779,275961
2021-04-23,4927650,276346
2021-04-24,4931717,276710
2021-04-25,4933628,276843
2021-04-26,4935812,277074
2021-04-27,4938542,277382
2021-04-28,4941706,277753
2021-04-29,4945388,278145
2021-04-30,4948965,278453
2021-05-01,4952374,278740
2021-05-02,4954110,278859
2021-05-03,4955230,278950
2021-05-04,4957533,279153
2021-05-05,4960389,279419
2021-05-06,4963812,279755
2021-05-07,4967221,280049
2021-05-08,4970959,280336
2021-05-09,4972800,280462
2021-05-10,4974830,280658
2021-05-11,4978162,280966
2021-05-12,4983258,281442
2021-05-13,4988795,281911
2021-05-14,4994472,282352
2021-05-15,5000611,282793
2021-05-16,5003432,282968
2021-05-17,5005707,283164
2021-05-18,5010082,283549
2021-05-19,5016032,284025
2021-05-20,5019728,284354
2021-05-21,5022661,284578
2021-05-22,5025349,284767
2021-05-23,5025398,284774
total,5908014,403830
