,False,True
2020-11-28,6060397,251426
2020-11-29,6060397,251426
2020-11-30,6060397,251426
2020-12-01,6060369,251426
2020-12-02,6060362,251426
2020-12-03,6060362,251426
2020-12-04,6060355,251426
2020-12-05,6060348,251426
2020-12-06,6060348,251426
2020-12-07,6060348,251426
2020-12-08,6059361,251426
2020-12-09,6057744,251419
2020-12-10,6055868,251412
2020-12-11,6053831,251398
2020-12-12,6052095,251398
2020-12-13,6051206,251398
2020-12-14,6049666,251391
2020-12-15,6046747,251384
2020-12-16,6043436,251356
2020-12-17,6039376,251321
2020-12-18,6035267,251279
2020-12-19,6031991,251230
2020-12-20,6027756,251160
2020-12-21,6022317,251118
2020-12-22,6017158,251083
2020-12-23,6011173,251006
2020-12-24,6008373,250964
2020-12-25,6008324,250964
2020-12-26,6008058,250964
2020-12-27,6007309,250964
2020-12-28,6006000,250964
2020-12-29,6001506,250866
2020-12-30,5992308,250509
2020-12-31,5984006,250159
2021-01-01,5981542,250054
2021-01-02,5978630,249998
2021-01-03,5976516,249977
2021-01-04,5972540,249949
2021-01-05,5964847,249851
2021-01-06,5954634,249557
2021-01-07,5939892,249200
2021-01-08,5922847,248528
2021-01-09,5908266,247968
2021-01-10,5899621,247800
2021-01-11,5887245,247380
2021-01-12,5872181,246743
2021-01-13,5854604,245770
2021-01-14,5834738,244580
2021-01-15,5811645,242998
2021-01-16,5793613,241997
2021-01-17,5782161,241598
2021-01-18,5767083,240751
2021-01-19,5747623,239526
2021-01-20,5723228,238217
2021-01-21,5694864,236243
2021-01-22,5658842,233261
2021-01-23,5622022,231399
2021-01-24,5603066,230720
2021-01-25,5582640,229733
2021-01-26,5556586,228347
2021-01-27,5526346,226569
2021-01-28,5484703,224224
2021-01-29,5431748,221550
2021-01-30,5377183,219576
2021-01-31,5340769,218372
2021-02-01,5305090,216706
2021-02-02,5260409,214543
2021-02-03,5197465,211680
2021-02-04,5126212,208033
2021-02-05,5049086,204176
2021-02-06,4944170,199724
2021-02-07,4900119,198086
2021-02-08,4849691,195643
2021-02-09,4785207,192115
2021-02-10,4719911,188020
2021-02-11,4644598,183470
2021-02-12,4559359,178703
2021-02-13,4476430,174881
2021-02-14,4440891,173852
2021-02-15,4399871,172088
2021-02-16,4310789,168910
2021-02-17,4158161,163870
2021-02-18,4007353,158634
2021-02-19,3884426,154266
2021-02-20,3758930,150584
2021-02-21,3721046,149541
2021-02-22,3667328,147294
2021-02-23,3537142,142765
2021-02-24,3351663,136122
2021-02-25,3156545,128590
2021-02-26,2958214,121072
2021-02-27,2798348,115087
2021-02-28,2749180,113526
2021-03-01,2705325,111531
2021-03-02,2652062,109067
2021-03-03,2576140,105315
2021-03-04,2460850,99330
2021-03-05,2320542,92106
2021-03-06,2184336,86520
2021-03-07,2149196,85428
2021-03-08,2104816,83496
2021-03-09,2057965,81235
2021-03-10,2005171,78946
2021-03-11,1958467,76783
2021-03-12,1882692,73556
2021-03-13,1775781,69391
2021-03-14,1729371,68040
2021-03-15,1668604,65996
2021-03-16,1603049,63539
2021-03-17,1544312,61264
2021-03-18,1483720,59108
2021-03-19,1418970,56924
2021-03-20,1342691,54642
2021-03-21,1312850,53991
2021-03-22,1281574,53032
2021-03-23,1250494,51863
2021-03-24,1219687,50638
2021-03-25,1186605,49224
2021-03-26,1152046,47593
2021-03-27,1111229,45619
2021-03-28,1092322,44842
2021-03-29,1072680,43876
2021-03-30,1053948,42896
2021-03-31,1034327,41762
2021-04-01,1020061,40922
2021-04-02,1013628,40579
2021-04-03,1005655,40194
2021-04-04,1002386,40096
2021-04-05,1000209,40026
2021-04-06,993188,39662
2021-04-07,984781,39221
2021-04-08,977375,38801
2021-04-09,969290,38381
2021-04-10,962157,38003
2021-04-11,959042,37856
2021-04-12,955633,37716
2021-04-13,951685,37478
2021-04-14,947289,37261
2021-04-15,942508,36967
2021-04-16,937426,36680
2021-04-17,932778,36463
2021-04-18,930398,36358
2021-04-19,927290,36211
2021-04-20,923622,36015
2021-04-21,919436,35798
2021-04-22,915047,35581
2021-04-23,910266,35343
2021-04-24,906003,35154
2021-04-25,903973,35077
2021-04-26,900984,34944
2021-04-27,897211,34776
2021-04-28,893074,34538
2021-04-29,888545,34328
2021-04-30,884233,34153
2021-05-01,880628,34020
2021-05-02,878808,33978
2021-05-03,877534,33950
2021-05-04,874517,33845
2021-05-05,870604,33677
2021-05-06,866523,33467
2021-05-07,862274,33285
2021-05-08,858326,33152
2021-05-09,856366,33110
2021-05-10,853356,32984
2021-05-11,848946,32760
2021-05-12,842709,32431
2021-05-13,836066,32116
2021-05-14,829647,31843
2021-05-15,823256,31612
2021-05-16,820302,31514
2021-05-17,817369,31381
2021-05-18,812196,31171
2021-05-19,805483,30905
2021-05-20,801150,30772
2021-05-21,797867,30639
2021-05-22,795053,30555
2021-05-23,794990,30555
2021-05-24,794948,30555
total,6060432,251426
