,F,M
2020-11-28,3137666,3174150
2020-11-29,3137666,3174150
2020-11-30,3137666,3174150
2020-12-01,3137652,3174136
2020-12-02,3137652,3174136
2020-12-03,3137652,3174136
2020-12-04,3137645,3174129
2020-12-05,3137645,3174129
2020-12-06,3137645,3174129
2020-12-07,3137645,3174129
2020-12-08,3136952,3173828
2020-12-09,3135839,3173317
2020-12-10,3134523,3172750
2020-12-11,3133144,3172092
2020-12-12,3131884,3171602
2020-12-13,3131261,3171329
2020-12-14,3130197,3170846
2020-12-15,3128090,3170041
2020-12-16,3125675,3169110
2020-12-17,3122679,3168018
2020-12-18,3119704,3166835
2020-12-19,3117310,3165904
2020-12-20,3114307,3164609
2020-12-21,3110303,3163139
2020-12-22,3106551,3161683
2020-12-23,3102337,3159835
2020-12-24,3100391,3158946
2020-12-25,3100370,3158925
2020-12-26,3100188,3158827
2020-12-27,3099656,3158610
2020-12-28,3098704,3158246
2020-12-29,3095477,3156888
2020-12-30,3088827,3153990
2020-12-31,3082772,3151379
2021-01-01,3080945,3150630
2021-01-02,3078845,3149776
2021-01-03,3077277,3149209
2021-01-04,3074393,3148096
2021-01-05,3068786,3145919
2021-01-06,3061184,3143000
2021-01-07,3050460,3138618
2021-01-08,3038119,3133249
2021-01-09,3027437,3128790
2021-01-10,3021004,3126417
2021-01-11,3012030,3122581
2021-01-12,3001026,3117891
2021-01-13,2988195,3112165
2021-01-14,2974097,3105214
2021-01-15,2957752,3096891
2021-01-16,2944662,3090948
2021-01-17,2936297,3087462
2021-01-18,2925692,3082135
2021-01-19,2912301,3074848
2021-01-20,2896145,3065293
2021-01-21,2877504,3053589
2021-01-22,2854117,3037965
2021-01-23,2831346,3022061
2021-01-24,2819775,3014004
2021-01-25,2806853,3005520
2021-01-26,2790795,2994131
2021-01-27,2772399,2980509
2021-01-28,2747724,2961189
2021-01-29,2716651,2936640
2021-01-30,2685312,2911440
2021-01-31,2664641,2894486
2021-02-01,2644299,2877490
2021-02-02,2618917,2856028
2021-02-03,2583749,2825396
2021-02-04,2544024,2790207
2021-02-05,2501016,2752239
2021-02-06,2443616,2700271
2021-02-07,2419557,2678648
2021-02-08,2391977,2653350
2021-02-09,2357019,2620296
2021-02-10,2321788,2586136
2021-02-11,2281342,2546726
2021-02-12,2236801,2501254
2021-02-13,2193569,2457735
2021-02-14,2175943,2438793
2021-02-15,2155223,2416722
2021-02-16,2113510,2366182
2021-02-17,2043027,2278997
2021-02-18,1972964,2193002
2021-02-19,1915438,2123247
2021-02-20,1857562,2051945
2021-02-21,1839817,2030763
2021-02-22,1814239,2000376
2021-02-23,1753066,1926841
2021-02-24,1665958,1821813
2021-02-25,1571178,1713950
2021-02-26,1474459,1604813
2021-02-27,1395800,1517628
2021-02-28,1371006,1491693
2021-03-01,1348340,1468516
2021-03-02,1320991,1440131
2021-03-03,1282729,1398719
2021-03-04,1225546,1334627
2021-03-05,1156428,1256220
2021-03-06,1089361,1181495
2021-03-07,1072036,1162581
2021-03-08,1050546,1137759
2021-03-09,1027474,1111726
2021-03-10,1001455,1082662
2021-03-11,978390,1056853
2021-03-12,941318,1014923
2021-03-13,889742,955423
2021-03-14,868224,929180
2021-03-15,839461,895132
2021-03-16,808318,858256
2021-03-17,780185,825377
2021-03-18,750687,792134
2021-03-19,719180,756707
2021-03-20,682339,714987
2021-03-21,668416,698425
2021-03-22,653387,681212
2021-03-23,638036,664321
2021-03-24,622762,647556
2021-03-25,606186,629650
2021-03-26,588630,611002
2021-03-27,568078,588763
2021-03-28,558705,578452
2021-03-29,549094,567455
2021-03-30,539630,557207
2021-03-31,529494,546581
2021-04-01,522291,538685
2021-04-02,519050,535150
2021-04-03,515130,530712
2021-04-04,513604,528871
2021-04-05,512526,527688
2021-04-06,508963,523880
2021-04-07,504735,519267
2021-04-08,501067,515102
2021-04-09,497063,510601
2021-04-10,493437,506716
2021-04-11,491925,504973
2021-04-12,490252,503083
2021-04-13,488264,500892
2021-04-14,485954,498582
2021-04-15,483441,496027
2021-04-16,480711,493395
2021-04-17,478191,491036
2021-04-18,476903,489853
2021-04-19,475251,488243
2021-04-20,473284,486339
2021-04-21,471058,484162
2021-04-22,468685,481936
2021-04-23,466074,479535
2021-04-24,463750,477400
2021-04-25,462616,476420
2021-04-26,461041,474880
2021-04-27,459004,472976
2021-04-28,456736,470869
2021-04-29,454167,468692
2021-04-30,451738,466634
2021-05-01,449631,465010
2021-05-02,448581,464198
2021-05-03,447818,463652
2021-05-04,446096,462259
2021-05-05,443905,460369
2021-05-06,441532,458451
2021-05-07,439131,456428
2021-05-08,436870,454594
2021-05-09,435750,453733
2021-05-10,434133,452200
2021-05-11,431725,449974
2021-05-12,428127,447020
2021-05-13,424235,443947
2021-05-14,420392,441098
2021-05-15,416619,438235
2021-05-16,414827,436982
2021-05-17,413182,435554
2021-05-18,410151,433216
2021-05-19,406168,430220
2021-05-20,403550,428358
2021-05-21,401527,426972
2021-05-22,399812,425789
2021-05-23,399777,425768
2021-05-24,399749,425747
total,3137687,3174164
