,1,2,3,4,5,6
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,7,0,0,0,0,7
2020-12-09,28,0,0,0,0,14
2020-12-10,56,0,0,0,0,21
2020-12-11,77,0,0,0,0,35
2020-12-12,84,0,0,0,0,35
2020-12-13,84,0,0,0,0,42
2020-12-14,112,0,0,0,0,49
2020-12-15,280,0,7,0,0,133
2020-12-16,644,0,14,7,0,329
2020-12-17,1106,0,21,14,0,490
2020-12-18,1379,7,28,14,0,609
2020-12-19,1666,7,35,14,0,721
2020-12-20,1953,7,42,14,7,847
2020-12-21,2247,7,49,14,7,980
2020-12-22,2548,7,49,21,7,1106
2020-12-23,3619,7,63,28,7,1435
2020-12-24,4333,7,70,35,14,1736
2020-12-25,4361,7,70,35,14,1736
2020-12-26,4382,7,70,35,14,1743
2020-12-27,4382,7,70,35,14,1743
2020-12-28,4382,7,70,35,14,1750
2020-12-29,5978,14,98,56,21,2422
2020-12-30,14336,49,182,133,84,6496
2020-12-31,20006,63,266,161,105,9226
2021-01-01,20937,63,266,168,105,9632
2021-01-02,21490,63,273,168,112,9940
2021-01-03,21686,63,273,168,112,10003
2021-01-04,21840,63,273,175,112,10101
2021-01-05,23086,63,287,189,112,10626
2021-01-06,25599,77,315,231,126,11851
2021-01-07,32116,98,385,273,147,14931
2021-01-08,40978,126,483,336,196,18970
2021-01-09,48027,140,553,378,238,22071
2021-01-10,50148,140,574,406,252,22890
2021-01-11,55608,161,616,455,280,25466
2021-01-12,62419,182,693,525,315,28854
2021-01-13,69888,210,791,602,343,32431
2021-01-14,79016,245,945,721,399,36358
2021-01-15,90118,301,1092,847,462,41342
2021-01-16,97419,322,1211,917,504,44646
2021-01-17,100114,336,1253,945,518,45927
2021-01-18,104993,350,1302,980,532,48391
2021-01-19,109725,371,1372,1015,539,50785
2021-01-20,114408,385,1442,1071,560,52927
2021-01-21,119924,406,1533,1106,616,55524
2021-01-22,128604,427,1610,1204,644,60130
2021-01-23,131817,441,1645,1232,665,61635
2021-01-24,133063,441,1659,1246,672,62223
2021-01-25,133973,448,1680,1260,679,62608
2021-01-26,135037,455,1708,1295,686,63091
2021-01-27,136073,455,1736,1323,686,63567
2021-01-28,137270,469,1785,1351,693,64050
2021-01-29,138775,469,1820,1386,707,64631
2021-01-30,139468,476,1855,1407,714,64932
2021-01-31,139699,476,1876,1414,714,65009
2021-02-01,140294,483,1911,1435,714,65282
2021-02-02,140959,483,1939,1442,721,65562
2021-02-03,141799,483,1967,1456,721,65947
2021-02-04,142898,504,1995,1477,735,66437
2021-02-05,144130,504,2023,1498,749,66920
2021-02-06,144718,504,2037,1519,749,67158
2021-02-07,144914,511,2044,1519,749,67249
2021-02-08,145544,511,2065,1533,756,67508
2021-02-09,146398,518,2086,1540,770,67858
2021-02-10,147567,518,2107,1547,770,68355
2021-02-11,148743,518,2121,1575,777,68838
2021-02-12,149961,532,2156,1596,791,69391
2021-02-13,150486,532,2163,1610,791,69615
2021-02-14,150570,532,2170,1610,791,69664
2021-02-15,151312,532,2184,1624,798,69986
2021-02-16,151963,532,2184,1631,805,70245
2021-02-17,152551,532,2191,1645,805,70539
2021-02-18,153202,532,2205,1645,805,70791
2021-02-19,153797,539,2212,1652,812,71050
2021-02-20,154007,539,2212,1666,819,71106
2021-02-21,154035,539,2219,1666,819,71113
2021-02-22,154336,539,2226,1673,819,71211
2021-02-23,154728,539,2233,1673,826,71400
2021-02-24,155134,546,2240,1673,826,71554
2021-02-25,155533,546,2247,1680,826,71736
2021-02-26,155806,546,2254,1687,826,71869
2021-02-27,155911,546,2261,1694,826,71904
2021-02-28,155939,546,2261,1694,826,71918
2021-03-01,156079,546,2261,1694,826,72009
2021-03-02,156261,553,2268,1701,826,72114
2021-03-03,156541,553,2268,1701,833,72198
2021-03-04,156807,553,2275,1708,833,72324
2021-03-05,157122,553,2282,1715,833,72485
2021-03-06,157220,560,2282,1722,833,72520
2021-03-07,157234,560,2282,1722,833,72527
2021-03-08,157374,560,2289,1722,833,72576
2021-03-09,157570,560,2296,1743,833,72646
2021-03-10,157745,560,2296,1743,833,72730
2021-03-11,157899,560,2296,1750,833,72779
2021-03-12,158053,560,2310,1757,833,72870
2021-03-13,158116,560,2310,1757,840,72891
2021-03-14,158130,560,2310,1757,840,72891
2021-03-15,158207,560,2310,1757,840,72926
2021-03-16,158340,560,2310,1764,840,73003
2021-03-17,158480,560,2324,1771,847,73080
2021-03-18,158676,567,2331,1778,847,73150
2021-03-19,158816,567,2331,1778,847,73213
2021-03-20,158893,567,2338,1785,847,73255
2021-03-21,158900,567,2338,1785,847,73255
2021-03-22,158970,567,2338,1792,847,73290
2021-03-23,159117,567,2338,1792,847,73346
2021-03-24,159222,567,2345,1799,847,73416
2021-03-25,159397,567,2345,1799,854,73493
2021-03-26,159586,567,2352,1813,854,73640
2021-03-27,159684,567,2352,1813,854,73689
2021-03-28,159698,567,2359,1813,854,73703
2021-03-29,159838,574,2366,1813,854,73752
2021-03-30,159978,574,2366,1813,861,73815
2021-03-31,160118,581,2366,1820,861,73885
2021-04-01,160244,581,2373,1820,861,73948
2021-04-02,160272,581,2373,1820,861,73969
2021-04-03,160321,581,2373,1820,861,73976
2021-04-04,160321,581,2373,1820,861,73976
2021-04-05,160321,581,2373,1820,861,73983
2021-04-06,160405,581,2373,1820,861,74018
2021-04-07,160503,581,2373,1827,861,74067
2021-04-08,160608,581,2380,1827,861,74109
2021-04-09,160706,581,2387,1827,861,74165
2021-04-10,160748,581,2387,1827,861,74193
2021-04-11,160776,581,2387,1827,861,74207
2021-04-12,160818,581,2387,1834,861,74235
2021-04-13,160874,581,2387,1834,861,74263
2021-04-14,160923,581,2387,1841,861,74312
2021-04-15,160979,581,2387,1841,861,74333
2021-04-16,161035,581,2387,1841,861,74361
2021-04-17,161049,581,2394,1841,861,74368
2021-04-18,161049,581,2394,1841,861,74368
2021-04-19,161077,581,2394,1841,861,74389
2021-04-20,161105,581,2394,1841,861,74403
2021-04-21,161154,588,2394,1841,868,74424
2021-04-22,161182,588,2394,1841,868,74445
2021-04-23,161217,588,2394,1841,868,74452
2021-04-24,161231,588,2394,1841,868,74452
2021-04-25,161238,588,2394,1841,868,74459
2021-04-26,161259,588,2394,1841,868,74466
2021-04-27,161273,588,2394,1841,868,74473
2021-04-28,161308,588,2394,1848,868,74487
2021-04-29,161350,588,2401,1855,868,74508
2021-04-30,161364,588,2401,1855,868,74529
2021-05-01,161371,588,2401,1855,868,74536
2021-05-02,161371,588,2401,1855,868,74536
2021-05-03,161378,588,2401,1855,868,74536
2021-05-04,161385,588,2401,1855,868,74536
2021-05-05,161406,588,2401,1855,868,74543
2021-05-06,161427,588,2401,1855,868,74550
2021-05-07,161448,588,2401,1855,868,74550
2021-05-08,161455,588,2401,1855,868,74557
2021-05-09,161455,588,2401,1855,868,74557
2021-05-10,161469,588,2401,1855,868,74564
2021-05-11,161476,588,2401,1855,868,74571
2021-05-12,161497,588,2401,1862,868,74578
2021-05-13,161504,588,2401,1862,868,74592
2021-05-14,161525,588,2401,1862,868,74606
2021-05-15,161539,588,2401,1862,868,74613
2021-05-16,161539,588,2401,1862,868,74613
2021-05-17,161553,588,2401,1862,868,74613
2021-05-18,161567,588,2401,1862,868,74620
2021-05-19,161581,588,2401,1862,868,74627
2021-05-20,161588,588,2401,1862,868,74634
2021-05-21,161595,588,2401,1862,868,74634
2021-05-22,161595,588,2401,1862,868,74634
total,167839,665,2597,2268,945,77602
