,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,21,0
2020-12-09,42,0
2020-12-10,91,0
2020-12-11,112,0
2020-12-12,126,0
2020-12-13,133,0
2020-12-14,175,0
2020-12-15,427,7
2020-12-16,994,14
2020-12-17,1624,28
2020-12-18,2023,42
2020-12-19,2408,49
2020-12-20,2814,70
2020-12-21,3234,91
2020-12-22,3654,105
2020-12-23,4998,182
2020-12-24,5985,231
2020-12-25,6013,238
2020-12-26,6041,238
2020-12-27,6041,238
2020-12-28,6048,238
2020-12-29,8190,420
2020-12-30,20076,1218
2020-12-31,28175,1680
2021-01-01,29435,1764
2021-01-02,30233,1827
2021-01-03,30485,1841
2021-01-04,30723,1862
2021-01-05,32417,1981
2021-01-06,36015,2212
2021-01-07,45171,2800
2021-01-08,57519,3591
2021-01-09,67221,4221
2021-01-10,70056,4389
2021-01-11,77714,4907
2021-01-12,87472,5523
2021-01-13,98056,6230
2021-01-14,110642,7056
2021-01-15,125986,8190
2021-01-16,136101,8946
2021-01-17,139895,9233
2021-01-18,146916,9667
2021-01-19,153678,10150
2021-01-20,160160,10647
2021-01-21,167888,11256
2021-01-22,180509,12152
2021-01-23,184961,12495
2021-01-24,186683,12649
2021-01-25,187894,12782
2021-01-26,189406,12887
2021-01-27,190841,13034
2021-01-28,192444,13188
2021-01-29,194460,13349
2021-01-30,195433,13440
2021-01-31,195755,13461
2021-02-01,196581,13552
2021-02-02,197491,13636
2021-02-03,198667,13734
2021-02-04,200193,13881
2021-02-05,201831,14021
2021-02-06,202608,14098
2021-02-07,202895,14126
2021-02-08,203735,14203
2021-02-09,204869,14322
2021-02-10,206451,14427
2021-02-11,208005,14602
2021-02-12,209706,14742
2021-02-13,210399,14819
2021-02-14,210532,14826
2021-02-15,211554,14889
2021-02-16,212436,14945
2021-02-17,213255,15029
2021-02-18,214123,15092
2021-02-19,214928,15162
2021-02-20,215180,15197
2021-02-21,215222,15197
2021-02-22,215593,15232
2021-02-23,216146,15274
2021-02-24,216671,15330
2021-02-25,217224,15379
2021-02-26,217588,15428
2021-02-27,217721,15442
2021-02-28,217756,15449
2021-03-01,217980,15463
2021-03-02,218274,15477
2021-03-03,218610,15505
2021-03-04,218981,15554
2021-03-05,219429,15582
2021-03-06,219555,15603
2021-03-07,219576,15603
2021-03-08,219758,15624
2021-03-09,220017,15659
2021-03-10,220255,15680
2021-03-11,220465,15694
2021-03-12,220682,15722
2021-03-13,220759,15729
2021-03-14,220773,15736
2021-03-15,220878,15750
2021-03-16,221088,15771
2021-03-17,221298,15785
2021-03-18,221557,15806
2021-03-19,221760,15827
2021-03-20,221858,15848
2021-03-21,221879,15848
2021-03-22,221970,15862
2021-03-23,222145,15890
2021-03-24,222313,15897
2021-03-25,222565,15918
2021-03-26,222901,15939
2021-03-27,223034,15960
2021-03-28,223069,15967
2021-03-29,223223,15988
2021-03-30,223426,16009
2021-03-31,223629,16016
2021-04-01,223818,16037
2021-04-02,223874,16037
2021-04-03,223909,16044
2021-04-04,223909,16044
2021-04-05,223916,16044
2021-04-06,224028,16051
2021-04-07,224168,16072
2021-04-08,224308,16079
2021-04-09,224455,16093
2021-04-10,224525,16100
2021-04-11,224560,16100
2021-04-12,224623,16114
2021-04-13,224700,16121
2021-04-14,224805,16135
2021-04-15,224882,16135
2021-04-16,224959,16142
2021-04-17,224980,16149
2021-04-18,224980,16149
2021-04-19,225015,16149
2021-04-20,225071,16156
2021-04-21,225141,16163
2021-04-22,225169,16163
2021-04-23,225211,16163
2021-04-24,225232,16163
2021-04-25,225239,16163
2021-04-26,225274,16170
2021-04-27,225295,16177
2021-04-28,225323,16184
2021-04-29,225386,16191
2021-04-30,225421,16198
2021-05-01,225428,16198
2021-05-02,225442,16198
2021-05-03,225442,16198
2021-05-04,225449,16198
2021-05-05,225470,16198
2021-05-06,225498,16205
2021-05-07,225526,16212
2021-05-08,225533,16212
2021-05-09,225540,16212
2021-05-10,225547,16219
2021-05-11,225568,16219
2021-05-12,225596,16219
2021-05-13,225617,16219
2021-05-14,225645,16219
2021-05-15,225659,16226
2021-05-16,225659,16226
2021-05-17,225673,16233
2021-05-18,225687,16233
2021-05-19,225715,16240
2021-05-20,225722,16240
2021-05-21,225736,16240
2021-05-22,225736,16240
total,234416,17514
