,8,9,10,11,12
2020-11-28,13622,21756,30212,44856,141463
2020-11-29,13622,21756,30212,44856,141463
2020-11-30,13622,21756,30212,44856,141463
2020-12-01,13622,21756,30212,44856,141456
2020-12-02,13622,21756,30212,44856,141456
2020-12-03,13622,21756,30212,44856,141456
2020-12-04,13622,21756,30212,44856,141456
2020-12-05,13622,21756,30212,44856,141456
2020-12-06,13622,21756,30212,44856,141456
2020-12-07,13622,21756,30212,44856,141456
2020-12-08,13622,21756,30212,44849,141442
2020-12-09,13622,21756,30212,44835,141428
2020-12-10,13622,21756,30212,44821,141400
2020-12-11,13622,21756,30212,44814,141379
2020-12-12,13622,21756,30212,44807,141358
2020-12-13,13622,21756,30212,44807,141351
2020-12-14,13622,21756,30212,44793,141323
2020-12-15,13622,21756,30205,44716,141141
2020-12-16,13615,21749,30205,44576,140707
2020-12-17,13608,21742,30191,44415,140231
2020-12-18,13608,21735,30177,44303,139958
2020-12-19,13601,21721,30156,44205,139685
2020-12-20,13587,21700,30142,44107,139412
2020-12-21,13573,21679,30107,44002,139132
2020-12-22,13566,21672,30086,43890,138831
2020-12-23,13524,21581,29953,43638,137928
2020-12-24,13489,21518,29855,43428,137263
2020-12-25,13489,21511,29855,43428,137242
2020-12-26,13482,21511,29848,43421,137221
2020-12-27,13482,21511,29848,43421,137221
2020-12-28,13482,21511,29848,43421,137221
2020-12-29,13384,21336,29582,42966,135870
2020-12-30,12936,20433,28147,40579,128282
2020-12-31,12628,19810,27146,38934,123270
2021-01-01,12593,19740,26999,38724,122388
2021-01-02,12558,19677,26894,38563,121856
2021-01-03,12551,19663,26866,38521,121688
2021-01-04,12544,19628,26824,38472,121548
2021-01-05,12467,19495,26635,38115,120463
2021-01-06,12313,19250,26229,37394,118111
2021-01-07,12019,18585,25179,35623,112091
2021-01-08,11550,17689,23681,33215,104153
2021-01-09,11186,16933,22442,31395,97986
2021-01-10,11081,16716,22127,30835,96159
2021-01-11,10801,16149,21217,29372,91154
2021-01-12,10423,15435,20055,27496,84861
2021-01-13,9996,14630,18795,25445,78029
2021-01-14,9401,13678,17290,23058,69958
2021-01-15,8596,12432,15449,20048,60249
2021-01-16,8120,11613,14189,18095,53879
2021-01-17,7938,11319,13692,17374,51471
2021-01-18,7651,10766,12908,16037,46907
2021-01-19,7350,10227,12061,14686,42581
2021-01-20,7014,9667,11186,13405,38591
2021-01-21,6559,8932,10045,11851,34041
2021-01-22,5887,7826,8393,9443,26243
2021-01-23,5642,7420,7644,8610,23681
2021-01-24,5516,7245,7364,8295,22680
2021-01-25,5404,7056,7133,8036,22036
2021-01-26,5285,6867,6860,7721,21238
2021-01-27,5166,6664,6629,7420,20454
2021-01-28,5019,6433,6314,7112,19635
2021-01-29,4851,6125,5929,6713,18634
2021-01-30,4767,5929,5677,6559,18242
2021-01-31,4739,5859,5572,6517,18144
2021-02-01,4662,5677,5383,6363,17738
2021-02-02,4557,5467,5208,6223,17311
2021-02-03,4417,5222,5033,6013,16730
2021-02-04,4249,4942,4781,5747,15939
2021-02-05,4095,4606,4508,5467,15078
2021-02-06,4011,4368,4368,5348,14791
2021-02-07,3983,4284,4319,5313,14679
2021-02-08,3857,4074,4179,5152,14252
2021-02-09,3710,3857,4018,4942,13636
2021-02-10,3500,3584,3787,4669,12817
2021-02-11,3290,3269,3521,4389,12068
2021-02-12,3059,3017,3283,4095,11165
2021-02-13,2912,2870,3185,4004,10857
2021-02-14,2877,2842,3178,3983,10808
2021-02-15,2758,2709,3052,3787,10248
2021-02-16,2632,2590,2905,3654,9779
2021-02-17,2513,2485,2779,3521,9338
2021-02-18,2359,2359,2681,3360,8904
2021-02-19,2261,2247,2569,3220,8463
2021-02-20,2177,2219,2534,3178,8372
2021-02-21,2156,2212,2527,3171,8358
2021-02-22,2100,2170,2457,3115,8148
2021-02-23,2016,2107,2380,3010,7833
2021-02-24,1925,2016,2310,2912,7595
2021-02-25,1834,1925,2226,2807,7329
2021-02-26,1750,1869,2170,2744,7154
2021-02-27,1701,1848,2156,2716,7126
2021-02-28,1687,1848,2149,2709,7098
2021-03-01,1652,1820,2114,2667,6986
2021-03-02,1610,1778,2079,2604,6825
2021-03-03,1547,1722,2037,2548,6643
2021-03-04,1463,1666,1974,2457,6496
2021-03-05,1393,1589,1911,2387,6251
2021-03-06,1365,1582,1897,2366,6195
2021-03-07,1365,1568,1897,2359,6188
2021-03-08,1323,1547,1848,2324,6111
2021-03-09,1267,1512,1806,2275,5971
2021-03-10,1239,1477,1757,2226,5838
2021-03-11,1211,1442,1708,2177,5726
2021-03-12,1155,1414,1680,2135,5600
2021-03-13,1134,1393,1666,2114,5572
2021-03-14,1134,1393,1666,2114,5565
2021-03-15,1099,1379,1645,2086,5509
2021-03-16,1071,1337,1603,2037,5418
2021-03-17,1050,1316,1568,2002,5292
2021-03-18,1015,1274,1519,1946,5166
2021-03-19,987,1232,1477,1911,5075
2021-03-20,959,1211,1456,1897,5033
2021-03-21,959,1204,1456,1897,5033
2021-03-22,945,1197,1435,1876,4970
2021-03-23,910,1169,1407,1834,4879
2021-03-24,889,1127,1379,1799,4788
2021-03-25,861,1099,1337,1750,4662
2021-03-26,819,1057,1288,1673,4487
2021-03-27,805,1050,1260,1638,4424
2021-03-28,798,1036,1260,1638,4410
2021-03-29,784,1015,1225,1603,4319
2021-03-30,777,980,1183,1561,4214
2021-03-31,749,959,1148,1519,4095
