,11,12
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,35,42
2020-12-02,42,42
2020-12-03,42,42
2020-12-04,42,42
2020-12-05,42,49
2020-12-06,42,49
2020-12-07,49,49
2020-12-08,756,742
2020-12-09,2079,1778
2020-12-10,4137,3409
2020-12-11,6230,4949
2020-12-12,7679,6062
2020-12-13,8470,6720
2020-12-14,10759,8568
2020-12-15,33684,29848
2020-12-16,73451,67753
2020-12-17,110845,103096
2020-12-18,139405,128667
2020-12-19,175574,161063
2020-12-20,202902,185178
2020-12-21,219275,200249
2020-12-22,249067,227857
2020-12-23,272657,248913
2020-12-24,278166,253491
2020-12-25,278166,253498
2020-12-26,278180,253512
2020-12-27,278327,253631
2020-12-28,278719,253932
2020-12-29,287665,262325
2020-12-30,308133,283227
2020-12-31,322742,297220
2021-01-01,325927,300496
2021-01-02,330673,304304
2021-01-03,331968,305389
2021-01-04,333291,306488
2021-01-05,337764,309862
2021-01-06,346927,317254
2021-01-07,389732,354424
2021-01-08,445067,403186
2021-01-09,491890,447160
2021-01-10,512981,466095
2021-01-11,524447,475629
2021-01-12,553826,501795
2021-01-13,605962,542955
2021-01-14,663635,590457
2021-01-15,732522,648760
2021-01-16,799449,708330
2021-01-17,828072,732935
2021-01-18,846461,748573
2021-01-19,903371,789684
2021-01-20,952959,826553
2021-01-21,998669,862225
2021-01-22,1055236,905975
2021-01-23,1104880,941577
2021-01-24,1119251,952336
2021-01-25,1133167,965678
2021-01-26,1147993,980707
2021-01-27,1161678,994728
2021-01-28,1180963,1012522
2021-01-29,1200220,1029539
2021-01-30,1215662,1041341
2021-01-31,1221808,1045730
2021-02-01,1228080,1052730
2021-02-02,1233575,1060339
2021-02-03,1239280,1068186
2021-02-04,1244894,1076222
2021-02-05,1250186,1083782
2021-02-06,1254533,1088542
2021-02-07,1256514,1090873
2021-02-08,1259517,1095458
2021-02-09,1263017,1100757
2021-02-10,1266832,1107071
2021-02-11,1270633,1112678
2021-02-12,1274210,1118075
2021-02-13,1276828,1121330
2021-02-14,1277710,1122506
2021-02-15,1279019,1124536
2021-02-16,1280384,1126447
2021-02-17,1281854,1128344
2021-02-18,1283212,1130199
2021-02-19,1284332,1131669
2021-02-20,1285095,1132607
2021-02-21,1285382,1132887
2021-02-22,1285977,1133734
2021-02-23,1286936,1134917
2021-02-24,1287986,1136219
2021-02-25,1289134,1137633
2021-02-26,1290205,1138872
2021-02-27,1290856,1139586
2021-02-28,1291080,1139803
2021-03-01,1291472,1140321
2021-03-02,1292004,1141049
2021-03-03,1292641,1141889
2021-03-04,1293488,1142911
2021-03-05,1294426,1144024
2021-03-06,1295084,1144668
2021-03-07,1295231,1144857
2021-03-08,1295560,1145228
2021-03-09,1296001,1145837
2021-03-10,1296484,1146460
2021-03-11,1296953,1147034
2021-03-12,1297457,1147636
2021-03-13,1297919,1148007
2021-03-14,1298059,1148140
2021-03-15,1298374,1148476
2021-03-16,1298780,1148917
2021-03-17,1299116,1149309
2021-03-18,1299571,1149799
2021-03-19,1300005,1150261
2021-03-20,1300348,1150590
2021-03-21,1300467,1150702
2021-03-22,1300677,1150926
2021-03-23,1300964,1151255
2021-03-24,1301286,1151640
2021-03-25,1301692,1152088
2021-03-26,1302070,1152473
2021-03-27,1302420,1152809
2021-03-28,1302567,1152942
2021-03-29,1302833,1153208
2021-03-30,1303141,1153516
2021-03-31,1303470,1153866
2021-04-01,1303757,1154174
2021-04-02,1303897,1154300
2021-04-03,1304037,1154412
2021-04-04,1304079,1154454
2021-04-05,1304114,1154489
2021-04-06,1304261,1154622
2021-04-07,1304506,1154881
2021-04-08,1304744,1155084
2021-04-09,1305038,1155357
2021-04-10,1305248,1155497
2021-04-11,1305325,1155574
2021-04-12,1305444,1155686
2021-04-13,1305570,1155826
2021-04-14,1305696,1156001
2021-04-15,1305850,1156176
2021-04-16,1306060,1156316
2021-04-17,1306207,1156414
2021-04-18,1306256,1156456
2021-04-19,1306340,1156554
2021-04-20,1306466,1156673
2021-04-21,1306592,1156813
2021-04-22,1306704,1156939
2021-04-23,1306802,1157037
2021-04-24,1306893,1157100
2021-04-25,1306928,1157135
2021-04-26,1306998,1157226
2021-04-27,1307089,1157338
2021-04-28,1307187,1157450
2021-04-29,1307292,1157576
2021-04-30,1307383,1157688
2021-05-01,1307425,1157723
2021-05-02,1307446,1157744
2021-05-03,1307474,1157765
2021-05-04,1307523,1157814
2021-05-05,1307600,1157905
2021-05-06,1307677,1157989
2021-05-07,1307747,1158052
2021-05-08,1307810,1158101
2021-05-09,1307845,1158115
2021-05-10,1307880,1158178
2021-05-11,1307943,1158248
2021-05-12,1308034,1158346
2021-05-13,1308111,1158423
2021-05-14,1308181,1158493
2021-05-15,1308237,1158549
2021-05-16,1308272,1158570
2021-05-17,1308328,1158598
2021-05-18,1308398,1158661
2021-05-19,1308482,1158745
2021-05-20,1308587,1158836
2021-05-21,1308650,1158899
2021-05-22,1308692,1158941
2021-05-23,1308706,1158948
2021-05-24,1308720,1158969
2021-05-25,1308748,1158990
2021-05-26,1308769,1159018
total,1363397,1215473
