,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,91,0
2020-12-02,91,0
2020-12-03,91,0
2020-12-04,98,0
2020-12-05,98,0
2020-12-06,98,0
2020-12-07,112,0
2020-12-08,1512,0
2020-12-09,3864,0
2020-12-10,7546,0
2020-12-11,11179,0
2020-12-12,13741,0
2020-12-13,15197,0
2020-12-14,19327,0
2020-12-15,63525,7
2020-12-16,141176,28
2020-12-17,213899,42
2020-12-18,268009,56
2020-12-19,336567,77
2020-12-20,387996,91
2020-12-21,419433,98
2020-12-22,476812,105
2020-12-23,521451,119
2020-12-24,531538,119
2020-12-25,531545,119
2020-12-26,531580,119
2020-12-27,531832,119
2020-12-28,532532,119
2020-12-29,549857,126
2020-12-30,591220,140
2020-12-31,619801,147
2021-01-01,626269,154
2021-01-02,634816,161
2021-01-03,637203,161
2021-01-04,639625,161
2021-01-05,647465,161
2021-01-06,664034,161
2021-01-07,743974,175
2021-01-08,848043,210
2021-01-09,938798,245
2021-01-10,978817,259
2021-01-11,999810,266
2021-01-12,1055334,287
2021-01-13,1148588,322
2021-01-14,1253728,371
2021-01-15,1380869,406
2021-01-16,1507324,455
2021-01-17,1560538,469
2021-01-18,1594544,483
2021-01-19,1692544,518
2021-01-20,1778959,560
2021-01-21,1860285,609
2021-01-22,1960560,658
2021-01-23,2045750,707
2021-01-24,2070873,707
2021-01-25,2098124,728
2021-01-26,2127958,756
2021-01-27,2155622,777
2021-01-28,2192673,805
2021-01-29,2228919,847
2021-01-30,2256128,868
2021-01-31,2266656,875
2021-02-01,2279914,896
2021-02-02,2292997,917
2021-02-03,2306514,945
2021-02-04,2320157,966
2021-02-05,2332981,987
2021-02-06,2342074,994
2021-02-07,2346393,1001
2021-02-08,2353953,1015
2021-02-09,2362738,1029
2021-02-10,2372853,1050
2021-02-11,2382233,1071
2021-02-12,2391200,1092
2021-02-13,2397066,1099
2021-02-14,2399117,1099
2021-02-15,2402456,1099
2021-02-16,2405718,1099
2021-02-17,2409085,1106
2021-02-18,2412298,1120
2021-02-19,2414874,1127
2021-02-20,2416561,1127
2021-02-21,2417149,1127
2021-02-22,2418577,1134
2021-02-23,2420712,1141
2021-02-24,2423064,1141
2021-02-25,2425619,1148
2021-02-26,2427929,1148
2021-02-27,2429287,1155
2021-02-28,2429721,1155
2021-03-01,2430624,1155
2021-03-02,2431891,1162
2021-03-03,2433368,1162
2021-03-04,2435230,1169
2021-03-05,2437288,1169
2021-03-06,2438590,1169
2021-03-07,2438912,1169
2021-03-08,2439626,1169
2021-03-09,2440662,1176
2021-03-10,2441768,1176
2021-03-11,2442818,1183
2021-03-12,2443910,1183
2021-03-13,2444750,1183
2021-03-14,2445030,1183
2021-03-15,2445660,1183
2021-03-16,2446507,1183
2021-03-17,2447235,1190
2021-03-18,2448180,1197
2021-03-19,2449069,1197
2021-03-20,2449741,1197
2021-03-21,2449972,1197
2021-03-22,2450406,1197
2021-03-23,2451022,1204
2021-03-24,2451722,1204
2021-03-25,2452576,1204
2021-03-26,2453339,1204
2021-03-27,2454018,1204
2021-03-28,2454298,1204
2021-03-29,2454823,1211
2021-03-30,2455446,1211
2021-03-31,2456111,1211
2021-04-01,2456713,1211
2021-04-02,2456979,1211
2021-04-03,2457231,1211
2021-04-04,2457322,1211
2021-04-05,2457392,1211
2021-04-06,2457679,1211
2021-04-07,2458176,1211
2021-04-08,2458603,1211
2021-04-09,2459177,1211
2021-04-10,2459534,1211
2021-04-11,2459688,1218
2021-04-12,2459926,1218
2021-04-13,2460185,1218
2021-04-14,2460472,1218
2021-04-15,2460808,1218
2021-04-16,2461158,1218
2021-04-17,2461389,1218
2021-04-18,2461494,1218
2021-04-19,2461676,1218
2021-04-20,2461914,1225
2021-04-21,2462187,1225
2021-04-22,2462411,1225
2021-04-23,2462614,1225
2021-04-24,2462768,1225
2021-04-25,2462838,1225
2021-04-26,2463006,1225
2021-04-27,2463195,1225
2021-04-28,2463412,1225
2021-04-29,2463643,1225
2021-04-30,2463846,1225
2021-05-01,2463923,1225
2021-05-02,2463965,1225
2021-05-03,2464007,1225
2021-05-04,2464112,1225
2021-05-05,2464280,1225
2021-05-06,2464441,1225
2021-05-07,2464574,1225
2021-05-08,2464686,1225
2021-05-09,2464735,1225
2021-05-10,2464833,1225
2021-05-11,2464973,1225
2021-05-12,2465155,1225
2021-05-13,2465309,1225
2021-05-14,2465449,1225
2021-05-15,2465554,1225
2021-05-16,2465624,1225
2021-05-17,2465701,1225
2021-05-18,2465834,1225
2021-05-19,2466009,1232
2021-05-20,2466191,1232
2021-05-21,2466324,1232
2021-05-22,2466408,1232
2021-05-23,2466429,1232
2021-05-24,2466457,1232
2021-05-25,2466506,1232
2021-05-26,2466562,1232
total,2577561,1302
