,11,12
2020-11-28,1363523,1215844
2020-11-29,1363523,1215844
2020-11-30,1363516,1215837
2020-12-01,1363467,1215781
2020-12-02,1363467,1215774
2020-12-03,1363467,1215774
2020-12-04,1363460,1215774
2020-12-05,1363460,1215774
2020-12-06,1363460,1215774
2020-12-07,1363453,1215760
2020-12-08,1362480,1214878
2020-12-09,1360884,1213562
2020-12-10,1358616,1211644
2020-12-11,1356243,1209789
2020-12-12,1354724,1208585
2020-12-13,1353919,1207899
2020-12-14,1351350,1205736
2020-12-15,1328096,1184099
2020-12-16,1287902,1145690
2020-12-17,1250060,1109871
2020-12-18,1221269,1084020
2020-12-19,1185177,1051638
2020-12-20,1157821,1027502
2020-12-21,1141224,1012193
2020-12-22,1111271,984403
2020-12-23,1087499,963144
2020-12-24,1081857,958384
2020-12-25,1081850,958370
2020-12-26,1081822,958349
2020-12-27,1081668,958230
2020-12-28,1081255,957915
2020-12-29,1072204,949375
2020-12-30,1051617,928333
2020-12-31,1036896,914228
2021-01-01,1033676,910910
2021-01-02,1028888,907053
2021-01-03,1027572,905940
2021-01-04,1025892,904435
2021-01-05,1020985,900459
2021-01-06,1011360,892556
2021-01-07,968107,854980
2021-01-08,912303,805728
2021-01-09,865389,761614
2021-01-10,844249,742630
2021-01-11,832153,732382
2021-01-12,802095,705502
2021-01-13,749210,663537
2021-01-14,690837,615363
2021-01-15,621397,556521
2021-01-16,554365,496853
2021-01-17,525658,472157
2021-01-18,506359,455700
2021-01-19,448665,413798
2021-01-20,398426,376243
2021-01-21,352233,340004
2021-01-22,295323,295834
2021-01-23,245693,260225
2021-01-24,231315,249417
2021-01-25,216629,235270
2021-01-26,200970,219513
2021-01-27,186627,204869
2021-01-28,166866,186585
2021-01-29,147245,169141
2021-01-30,131796,157304
2021-01-31,125622,152894
2021-02-01,118860,145334
2021-02-02,112714,137151
2021-02-03,106463,128751
2021-02-04,100331,120253
2021-02-05,94528,112175
2021-02-06,90090,107310
2021-02-07,88088,104951
2021-02-08,84294,99575
2021-02-09,80087,93555
2021-02-10,75691,86639
2021-02-11,71407,80514
2021-02-12,67389,74662
2021-02-13,64771,71393
2021-02-14,63861,70217
2021-02-15,62300,67928
2021-02-16,60732,65828
2021-02-17,59073,63707
2021-02-18,57533,61677
2021-02-19,56301,60060
2021-02-20,55531,59115
2021-02-21,55244,58828
2021-02-22,54516,57855
2021-02-23,53403,56476
2021-02-24,52241,55027
2021-02-25,51016,53515
2021-02-26,49875,52185
2021-02-27,49224,51478
2021-02-28,48993,51261
2021-03-01,48489,50596
2021-03-02,47803,49728
2021-03-03,47019,48727
2021-03-04,46004,47565
2021-03-05,44975,46333
2021-03-06,44303,45682
2021-03-07,44149,45493
2021-03-08,43694,45003
2021-03-09,43120,44247
2021-03-10,42511,43505
2021-03-11,41895,42770
2021-03-12,41321,42112
2021-03-13,40859,41734
2021-03-14,40712,41594
2021-03-15,40285,41139
2021-03-16,39774,40586
2021-03-17,39319,40096
2021-03-18,38773,39515
2021-03-19,38227,38990
2021-03-20,37884,38661
2021-03-21,37758,38542
2021-03-22,37429,38227
2021-03-23,37030,37779
2021-03-24,36582,37303
2021-03-25,36064,36764
2021-03-26,35644,36351
2021-03-27,35287,36001
2021-03-28,35140,35868
2021-03-29,34825,35553
2021-03-30,34440,35175
2021-03-31,34069,34790
2021-04-01,33740,34433
2021-04-02,33572,34293
2021-04-03,33432,34181
2021-04-04,33390,34139
2021-04-05,33341,34097
2021-04-06,33166,33936
2021-04-07,32886,33642
2021-04-08,32606,33390
2021-04-09,32277,33089
2021-04-10,32046,32921
2021-04-11,31955,32837
2021-04-12,31780,32676
2021-04-13,31591,32487
2021-04-14,31437,32298
2021-04-15,31255,32095
2021-04-16,31031,31920
2021-04-17,30884,31836
2021-04-18,30828,31794
2021-04-19,30737,31675
2021-04-20,30597,31528
2021-04-21,30443,31360
2021-04-22,30310,31227
2021-04-23,30177,31094
2021-04-24,30086,31024
2021-04-25,30044,30989
2021-04-26,29946,30877
2021-04-27,29848,30730
2021-04-28,29708,30583
2021-04-29,29568,30450
2021-04-30,29442,30317
2021-05-01,29407,30275
2021-05-02,29386,30254
2021-05-03,29358,30240
2021-05-04,29288,30170
2021-05-05,29204,30065
2021-05-06,29099,29960
2021-05-07,29008,29862
2021-05-08,28938,29820
2021-05-09,28910,29799
2021-05-10,28847,29722
2021-05-11,28749,29617
2021-05-12,28637,29505
2021-05-13,28525,29414
2021-05-14,28441,29309
2021-05-15,28385,29260
2021-05-16,28350,29232
2021-05-17,28273,29190
2021-05-18,28161,29099
2021-05-19,28056,29001
2021-05-20,27986,28945
2021-05-21,27930,28882
2021-05-22,27902,28868
2021-05-23,27902,28868
2021-05-24,27902,28868
total,1363537,1215858
