,False,True
2020-11-28,2561636,17710
2020-11-29,2561636,17710
2020-11-30,2561629,17710
2020-12-01,2561538,17710
2020-12-02,2561524,17710
2020-12-03,2561524,17710
2020-12-04,2561517,17710
2020-12-05,2561517,17710
2020-12-06,2561517,17710
2020-12-07,2561489,17710
2020-12-08,2559648,17703
2020-12-09,2556750,17689
2020-12-10,2552578,17668
2020-12-11,2548385,17640
2020-12-12,2545669,17626
2020-12-13,2544185,17626
2020-12-14,2539481,17598
2020-12-15,2494779,17416
2020-12-16,2416533,17052
2020-12-17,2343222,16709
2020-12-18,2288853,16422
2020-12-19,2220694,16114
2020-12-20,2169447,15876
2020-12-21,2137709,15708
2020-12-22,2080211,15463
2020-12-23,2035376,15253
2020-12-24,2025044,15190
2020-12-25,2025030,15190
2020-12-26,2024981,15190
2020-12-27,2024708,15190
2020-12-28,2023980,15190
2020-12-29,2006480,15092
2020-12-30,1965061,14896
2020-12-31,1936396,14721
2021-01-01,1929886,14686
2021-01-02,1921283,14651
2021-01-03,1918868,14637
2021-01-04,1915711,14616
2021-01-05,1906870,14560
2021-01-06,1889468,14441
2021-01-07,1809017,14056
2021-01-08,1704563,13461
2021-01-09,1614060,12936
2021-01-10,1574160,12705
2021-01-11,1551963,12565
2021-01-12,1495347,12243
2021-01-13,1401022,11718
2021-01-14,1295147,11046
2021-01-15,1167649,10262
2021-01-16,1041663,9534
2021-01-17,988582,9233
2021-01-18,953099,8946
2021-01-19,854091,8358
2021-01-20,766850,7812
2021-01-21,685020,7203
2021-01-22,584654,6496
2021-01-23,499954,5950
2021-01-24,474936,5796
2021-01-25,446404,5495
2021-01-26,415282,5194
2021-01-27,386582,4914
2021-01-28,348880,4571
2021-01-29,312109,4270
2021-01-30,285089,4004
2021-01-31,274589,3920
2021-02-01,260435,3759
2021-02-02,246274,3577
2021-02-03,231826,3381
2021-02-04,217413,3157
2021-02-05,203714,2975
2021-02-06,194530,2863
2021-02-07,190232,2800
2021-02-08,181202,2660
2021-02-09,171122,2513
2021-02-10,159964,2359
2021-02-11,149709,2198
2021-02-12,140007,2037
2021-02-13,134183,1967
2021-02-14,132125,1946
2021-02-15,128324,1897
2021-02-16,124698,1841
2021-02-17,120995,1778
2021-02-18,117474,1729
2021-02-19,114667,1694
2021-02-20,112980,1659
2021-02-21,112406,1652
2021-02-22,110740,1617
2021-02-23,108290,1582
2021-02-24,105714,1547
2021-02-25,103012,1498
2021-02-26,100590,1463
2021-02-27,99253,1442
2021-02-28,98805,1442
2021-03-01,97664,1421
2021-03-02,96138,1386
2021-03-03,94381,1358
2021-03-04,92253,1309
2021-03-05,90034,1260
2021-03-06,88739,1246
2021-03-07,88389,1239
2021-03-08,87472,1225
2021-03-09,86156,1204
2021-03-10,84826,1190
2021-03-11,83503,1162
2021-03-12,82285,1141
2021-03-13,81466,1127
2021-03-14,81172,1127
2021-03-15,80304,1113
2021-03-16,79268,1092
2021-03-17,78337,1071
2021-03-18,77231,1050
2021-03-19,76181,1029
2021-03-20,75516,1015
2021-03-21,75285,1015
2021-03-22,74648,1008
2021-03-23,73822,980
2021-03-24,72898,973
2021-03-25,71862,959
2021-03-26,71036,945
2021-03-27,70350,931
2021-03-28,70070,931
2021-03-29,69454,917
2021-03-30,68698,910
2021-03-31,67949,896
2021-04-01,67284,889
2021-04-02,66976,875
2021-04-03,66724,875
2021-04-04,66640,875
2021-04-05,66556,875
2021-04-06,66220,875
2021-04-07,65660,861
2021-04-08,65135,854
2021-04-09,64519,833
2021-04-10,64120,833
2021-04-11,63966,833
2021-04-12,63623,826
2021-04-13,63252,826
2021-04-14,62909,819
2021-04-15,62524,812
2021-04-16,62132,812
2021-04-17,61901,812
2021-04-18,61803,812
2021-04-19,61593,812
2021-04-20,61313,805
2021-04-21,60991,798
2021-04-22,60732,798
2021-04-23,60466,791
2021-04-24,60319,791
2021-04-25,60242,791
2021-04-26,60032,791
2021-04-27,59787,784
2021-04-28,59507,777
2021-04-29,59241,777
2021-04-30,58982,770
2021-05-01,58898,770
2021-05-02,58863,770
2021-05-03,58821,770
2021-05-04,58681,763
2021-05-05,58485,763
2021-05-06,58289,763
2021-05-07,58114,756
2021-05-08,57988,756
2021-05-09,57939,756
2021-05-10,57813,749
2021-05-11,57610,742
2021-05-12,57393,742
2021-05-13,57197,735
2021-05-14,57008,735
2021-05-15,56903,735
2021-05-16,56840,735
2021-05-17,56721,735
2021-05-18,56525,735
2021-05-19,56322,721
2021-05-20,56196,714
2021-05-21,56091,707
2021-05-22,56049,707
2021-05-23,56049,707
2021-05-24,56049,707
total,2561678,17710
