,1,2,3,4,5,0
2020-11-28,0,0,7,0,7,0
2020-11-29,0,0,7,0,7,0
2020-11-30,0,0,14,7,7,0
2020-12-01,0,7,14,14,7,0
2020-12-02,0,7,14,14,7,0
2020-12-03,0,7,14,21,7,0
2020-12-04,0,7,21,21,7,0
2020-12-05,0,7,21,21,7,0
2020-12-06,0,7,21,21,7,0
2020-12-07,0,7,21,21,14,0
2020-12-08,28,35,42,56,63,0
2020-12-09,49,63,77,84,91,0
2020-12-10,77,98,119,154,168,0
2020-12-11,105,147,168,203,224,0
2020-12-12,126,168,203,252,273,0
2020-12-13,140,175,217,273,301,0
2020-12-14,161,217,266,350,371,7
2020-12-15,301,329,399,476,504,14
2020-12-16,581,504,581,707,756,14
2020-12-17,868,749,882,1015,1106,21
2020-12-18,1190,1015,1253,1449,1491,28
2020-12-19,1729,1540,1666,1890,1960,35
2020-12-20,2149,2051,2149,2380,2485,42
2020-12-21,2527,2541,2667,2877,2989,49
2020-12-22,2933,2961,3150,3374,3444,63
2020-12-23,3325,3430,3675,3941,4053,70
2020-12-24,3507,3563,3843,4109,4235,77
2020-12-25,3507,3563,3843,4109,4242,77
2020-12-26,3507,3563,3857,4116,4249,77
2020-12-27,3535,3584,3871,4137,4270,77
2020-12-28,3549,3612,3913,4186,4333,77
2020-12-29,3934,3920,4165,4536,4585,84
2020-12-30,5012,4914,5096,5782,5649,98
2020-12-31,6125,6020,6615,7497,7140,140
2021-01-01,6601,6531,7168,8204,7777,147
2021-01-02,7021,6958,8029,9219,8498,161
2021-01-03,7196,7112,8169,9443,8652,168
2021-01-04,7308,7203,8295,9590,8806,168
2021-01-05,7665,7658,9023,10157,9352,175
2021-01-06,8806,8722,10248,11704,10752,245
2021-01-07,13279,13622,15533,17731,16058,434
2021-01-08,19124,20111,22645,25494,23058,665
2021-01-09,23464,24871,28777,32242,29302,875
2021-01-10,25718,26873,31101,35070,31892,1050
2021-01-11,27419,28700,33285,37443,34811,1106
2021-01-12,30709,32249,36911,41762,39130,1190
2021-01-13,37814,40005,45360,51660,49483,1631
2021-01-14,46221,49462,56455,63763,61600,1911
2021-01-15,54663,60095,69727,78008,75502,2352
2021-01-16,61173,68320,80080,88662,88228,2849
2021-01-17,64505,72667,85015,93814,93093,3010
2021-01-18,67760,76342,89425,98847,97986,3220
2021-01-19,80619,91707,107296,119105,117817,3941
2021-01-20,97097,110614,129549,142436,143717,4697
2021-01-21,117285,135541,159719,175189,176351,5691
2021-01-22,145558,170996,203455,224091,229131,7049
2021-01-23,174139,207445,254457,281176,291739,8869
2021-01-24,185255,221606,273910,302386,315609,9660
2021-01-25,194796,234087,290129,321321,336336,10227
2021-01-26,208173,250593,310793,343931,360472,11060
2021-01-27,222481,268555,331849,366737,383572,11963
2021-01-28,245728,299208,369138,407624,426167,13097
2021-01-29,280819,346710,431270,477246,500178,14840
2021-01-30,316127,393274,494158,547057,576891,17654
2021-01-31,334537,419587,530824,588252,621201,19194
2021-02-01,353675,445655,562030,623721,659302,20223
2021-02-02,374122,473032,597527,665112,704193,21532
2021-02-03,400078,506660,641144,714812,758849,23681
2021-02-04,427889,543123,687624,766017,810705,25907
2021-02-05,453656,576499,733950,816739,863590,27531
2021-02-06,482748,616427,789201,875007,925260,29624
2021-02-07,495145,634585,815227,902391,955661,30597
2021-02-08,509075,654731,838089,927948,984004,31381
2021-02-09,524258,675822,864157,955990,1013215,32585
2021-02-10,538104,693336,885850,978544,1035363,33376
2021-02-11,551145,709268,904855,998130,1054277,34202
2021-02-12,561680,722925,921333,1015098,1070440,35007
2021-02-13,570808,734601,936327,1028601,1083964,35602
2021-02-14,573433,737653,940317,1032290,1087758,35805
2021-02-15,576604,741083,943908,1035678,1091076,35952
2021-02-16,579264,743995,947086,1038331,1093687,36071
2021-02-17,582064,746760,949984,1040774,1095731,36183
2021-02-18,584661,749231,952315,1042909,1097593,36288
2021-02-19,586607,751065,954023,1044463,1098804,36386
2021-02-20,588133,752444,955395,1045562,1099861,36456
2021-02-21,588630,752836,955773,1045877,1100113,36470
2021-02-22,589568,753767,956599,1046584,1100708,36519
2021-02-23,590947,755055,957866,1047704,1101618,36575
2021-02-24,592753,756560,959315,1049111,1102773,36638
2021-02-25,594489,758198,960869,1050504,1104012,36708
2021-02-26,596057,759759,962276,1051813,1105076,36771
2021-02-27,597149,760732,963291,1052590,1105790,36820
2021-02-28,597576,761110,963662,1052905,1106042,36834
2021-03-01,598157,761705,964215,1053360,1106392,36855
2021-03-02,598822,762412,964880,1053878,1106784,36890
2021-03-03,599802,763315,965615,1054452,1107267,36932
2021-03-04,600922,764365,966651,1055271,1107939,36981
2021-03-05,602112,765499,967701,1056209,1108723,37037
2021-03-06,602980,766304,968492,1056881,1109318,37079
2021-03-07,603274,766500,968688,1057042,1109472,37093
2021-03-08,603841,767060,969171,1057490,1109822,37114
2021-03-09,604569,767690,969717,1057952,1110193,37149
2021-03-10,605269,768306,970235,1058414,1110543,37177
2021-03-11,605878,768936,970781,1058911,1110977,37219
2021-03-12,606578,769545,971327,1059373,1111404,37240
2021-03-13,607264,770084,971859,1059779,1111726,37268
2021-03-14,607502,770343,972055,1059940,1111866,37282
2021-03-15,608055,770833,972461,1060297,1112146,37296
2021-03-16,608671,771386,972909,1060696,1112391,37317
2021-03-17,609231,771855,973322,1061046,1112671,37338
2021-03-18,609791,772394,973784,1061445,1113014,37359
2021-03-19,610302,772863,974211,1061823,1113350,37373
2021-03-20,610799,773290,974561,1062159,1113616,37394
2021-03-21,610995,773458,974680,1062278,1113728,37394
2021-03-22,611338,773815,974981,1062544,1113959,37408
2021-03-23,611828,774256,975324,1062775,1114218,37429
2021-03-24,612276,774690,975737,1063153,1114449,37450
2021-03-25,612787,775166,976115,1063524,1114722,37464
2021-03-26,613284,775544,976458,1063818,1114974,37478
2021-03-27,613683,775929,976857,1064140,1115268,37499
2021-03-28,613865,776104,976997,1064266,1115366,37506
2021-03-29,614173,776405,977256,1064476,1115555,37520
2021-03-30,614579,776720,977578,1064700,1115758,37527
2021-03-31,615006,777077,977865,1064959,1115989,37541
2021-04-01,615307,777364,978096,1065183,1116199,37555
2021-04-02,615440,777462,978194,1065281,1116311,37562
2021-04-03,615552,777595,978278,1065358,1116402,37569
2021-04-04,615594,777623,978320,1065386,1116430,37569
2021-04-05,615629,777658,978341,1065407,1116444,37576
2021-04-06,615804,777812,978502,1065540,1116577,37583
2021-04-07,616049,778008,978719,1065715,1116759,37590
2021-04-08,616301,778246,978901,1065911,1116941,37597
2021-04-09,616588,778498,979111,1066086,1117144,37604
2021-04-10,616798,778659,979272,1066254,1117277,37611
2021-04-11,616882,778743,979321,1066324,1117340,37632
2021-04-12,617015,778904,979440,1066450,1117445,37639
2021-04-13,617232,779086,979573,1066583,1117578,37646
2021-04-14,617407,779275,979755,1066723,1117711,37653
2021-04-15,617624,779478,979944,1066877,1117858,37660
2021-04-16,617869,779702,980154,1067157,1118040,37667
2021-04-17,617988,779821,980287,1067276,1118145,37674
2021-04-18,618044,779863,980343,1067318,1118201,37674
2021-04-19,618163,779968,980427,1067416,1118285,37674
2021-04-20,618310,780115,980560,1067507,1118404,37681
2021-04-21,618464,780269,980672,1067619,1118502,37702
2021-04-22,618611,780430,980805,1067752,1118607,37716
2021-04-23,618807,780605,980959,1067899,1118754,37723
2021-04-24,618926,780731,981071,1067990,1118852,37723
2021-04-25,618975,780794,981120,1068060,1118915,37723
2021-04-26,619087,780892,981204,1068151,1118992,37730
2021-04-27,619192,781018,981316,1068263,1119090,37737
2021-04-28,619304,781137,981414,1068361,1119195,37744
2021-04-29,619444,781270,981554,1068473,1119286,37744
2021-04-30,619584,781410,981666,1068585,1119384,37751
2021-05-01,619661,781473,981743,1068648,1119426,37751
2021-05-02,619682,781494,981771,1068662,1119447,37751
2021-05-03,619703,781515,981792,1068683,1119475,37758
2021-05-04,619794,781599,981848,1068753,1119517,37758
2021-05-05,619906,781683,981939,1068823,1119601,37765
2021-05-06,620004,781795,982030,1068914,1119657,37772
2021-05-07,620123,781900,982107,1068998,1119741,37772
2021-05-08,620200,781963,982170,1069054,1119811,37772
2021-05-09,620235,781991,982191,1069089,1119832,37772
2021-05-10,620305,782068,982275,1069138,1119867,37779
2021-05-11,620438,782229,982373,1069222,1119937,37779
