,F,M
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,14,7
2020-12-02,21,7
2020-12-03,21,7
2020-12-04,21,7
2020-12-05,21,7
2020-12-06,21,14
2020-12-07,21,14
2020-12-08,399,203
2020-12-09,1057,546
2020-12-10,1827,931
2020-12-11,2646,1358
2020-12-12,3360,1687
2020-12-13,3759,1883
2020-12-14,4417,2226
2020-12-15,5719,2786
2020-12-16,7273,3437
2020-12-17,9254,4186
2020-12-18,11179,5005
2020-12-19,12747,5635
2020-12-20,14770,6545
2020-12-21,17451,7567
2020-12-22,19901,8568
2020-12-23,22673,9842
2020-12-24,23940,10472
2020-12-25,23954,10479
2020-12-26,24066,10549
2020-12-27,24423,10703
2020-12-28,25039,10962
2020-12-29,27230,11858
2020-12-30,31626,13713
2020-12-31,35693,15386
2021-01-01,36932,15890
2021-01-02,38353,16485
2021-01-03,39501,16884
2021-01-04,41461,17675
2021-01-05,45325,19180
2021-01-06,50687,21245
2021-01-07,58170,24227
2021-01-08,66752,27615
2021-01-09,73948,30450
2021-01-10,78498,32123
2021-01-11,84735,34741
2021-01-12,92421,37814
2021-01-13,101108,41398
2021-01-14,110579,45689
2021-01-15,121310,50701
2021-01-16,130081,54390
2021-01-17,135765,56588
2021-01-18,142947,59969
2021-01-19,151151,63854
2021-01-20,160125,68187
2021-01-21,169771,73220
2021-01-22,180943,79261
2021-01-23,190225,84133
2021-01-24,195370,86961
2021-01-25,201502,90181
2021-01-26,208656,94220
2021-01-27,215964,98665
2021-01-28,223818,103516
2021-01-29,232505,109151
2021-01-30,239568,113603
2021-01-31,244643,117089
2021-02-01,249767,120995
2021-02-02,256060,125881
2021-02-03,263088,131544
2021-02-04,270949,138369
2021-02-05,279503,145698
2021-02-06,288589,154749
2021-02-07,292873,159033
2021-02-08,298186,163912
2021-02-09,305452,171122
2021-02-10,314748,181300
2021-02-11,326711,194971
2021-02-12,344344,215670
2021-02-13,363167,237650
2021-02-14,373268,249753
2021-02-15,385917,264383
2021-02-16,416451,304150
2021-02-17,471688,376761
2021-02-18,526505,448728
2021-02-19,570584,506471
2021-02-20,615188,566377
2021-02-21,627872,583226
2021-02-22,645624,606767
2021-02-23,690865,667142
2021-02-24,755825,754411
2021-02-25,822612,841372
2021-02-26,891240,930524
2021-02-27,946603,1002022
2021-02-28,963025,1022308
2021-03-01,977802,1039962
2021-03-02,996317,1062264
2021-03-03,1024072,1096585
2021-03-04,1067437,1150982
2021-03-05,1121204,1219274
2021-03-06,1173690,1284570
2021-03-07,1186724,1300593
2021-03-08,1202943,1321761
2021-03-09,1220240,1343755
2021-03-10,1240575,1369053
2021-03-11,1258873,1391523
2021-03-12,1289792,1429463
2021-03-13,1334179,1484168
2021-03-14,1353044,1508395
2021-03-15,1377509,1539370
2021-03-16,1404452,1573306
2021-03-17,1428616,1603378
2021-03-18,1454173,1633856
2021-03-19,1481095,1666238
2021-03-20,1513113,1704780
2021-03-21,1525307,1720159
2021-03-22,1537900,1735657
2021-03-23,1550339,1750560
2021-03-24,1562372,1765036
2021-03-25,1575539,1780590
2021-03-26,1589357,1796865
2021-03-27,1606115,1816696
2021-03-28,1613822,1825873
2021-03-29,1621424,1835449
2021-03-30,1628732,1844185
2021-03-31,1636397,1853201
2021-04-01,1641892,1859970
2021-04-02,1644454,1863050
2021-04-03,1647562,1866886
2021-04-04,1648808,1868517
2021-04-05,1649648,1869567
2021-04-06,1652315,1872731
2021-04-07,1655395,1876560
2021-04-08,1658090,1880039
2021-04-09,1660911,1883742
2021-04-10,1663585,1886997
2021-04-11,1664705,1888404
2021-04-12,1665811,1889909
2021-04-13,1667148,1891596
2021-04-14,1668786,1893458
2021-04-15,1670641,1895495
2021-04-16,1672671,1897637
2021-04-17,1674631,1899618
2021-04-18,1675653,1900626
2021-04-19,1676941,1901949
2021-04-20,1678411,1903489
2021-04-21,1680084,1905246
2021-04-22,1681848,1907024
2021-04-23,1683787,1908977
2021-04-24,1685593,1910769
2021-04-25,1686468,1911588
2021-04-26,1687630,1912862
2021-04-27,1689163,1914451
2021-04-28,1690857,1916187
2021-04-29,1692789,1917951
2021-04-30,1694651,1919624
2021-05-01,1696366,1920975
2021-05-02,1697262,1921661
2021-05-03,1697920,1922116
2021-05-04,1699306,1923250
2021-05-05,1700986,1924790
2021-05-06,1702792,1926358
2021-05-07,1704703,1928017
2021-05-08,1706544,1929578
2021-05-09,1707475,1930306
2021-05-10,1708742,1931601
2021-05-11,1710562,1933456
2021-05-12,1713313,1935850
2021-05-13,1716358,1938426
2021-05-14,1719270,1940722
2021-05-15,1722196,1943130
2021-05-16,1723596,1944173
2021-05-17,1724793,1945314
2021-05-18,1727075,1947218
2021-05-19,1730162,1949696
2021-05-20,1732087,1951243
2021-05-21,1733627,1952426
2021-05-22,1734978,1953406
2021-05-23,1734999,1953420
2021-05-24,1735013,1953427
total,2019213,2301733
