,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,581,0
2020-12-09,1568,0
2020-12-10,2716,7
2020-12-11,3948,7
2020-12-12,4998,7
2020-12-13,5593,7
2020-12-14,6587,7
2020-12-15,8449,14
2020-12-16,10640,21
2020-12-17,13349,28
2020-12-18,16093,28
2020-12-19,18291,35
2020-12-20,21210,49
2020-12-21,24892,56
2020-12-22,28329,63
2020-12-23,32375,84
2020-12-24,34258,84
2020-12-25,34286,84
2020-12-26,34461,84
2020-12-27,34972,84
2020-12-28,35840,84
2020-12-29,38920,91
2020-12-30,45150,105
2020-12-31,50869,126
2021-01-01,52577,126
2021-01-02,54579,133
2021-01-03,56119,140
2021-01-04,58856,147
2021-01-05,64190,161
2021-01-06,71582,182
2021-01-07,82012,217
2021-01-08,93919,266
2021-01-09,103915,287
2021-01-10,110110,322
2021-01-11,118916,350
2021-01-12,129619,378
2021-01-13,141841,427
2021-01-14,155533,476
2021-01-15,171206,525
2021-01-16,183624,574
2021-01-17,191471,609
2021-01-18,201943,637
2021-01-19,213955,679
2021-01-20,227185,728
2021-01-21,241759,784
2021-01-22,258867,812
2021-01-23,272965,882
2021-01-24,280910,903
2021-01-25,290192,924
2021-01-26,301252,966
2021-01-27,312893,994
2021-01-28,325458,1036
2021-01-29,339689,1071
2021-01-30,351155,1106
2021-01-31,359702,1120
2021-02-01,368536,1141
2021-02-02,379505,1176
2021-02-03,391979,1197
2021-02-04,406427,1239
2021-02-05,421974,1267
2021-02-06,440048,1302
2021-02-07,448581,1316
2021-02-08,458423,1337
2021-02-09,472500,1351
2021-02-10,491498,1379
2021-02-11,516607,1428
2021-02-12,553938,1484
2021-02-13,594370,1547
2021-02-14,616399,1568
2021-02-15,641788,1596
2021-02-16,709632,1666
2021-02-17,834960,1792
2021-02-18,958944,1897
2021-02-19,1058477,2016
2021-02-20,1162602,2135
2021-02-21,1191995,2184
2021-02-22,1230971,2240
2021-02-23,1333647,2380
2021-02-24,1483237,2583
2021-02-25,1634262,2835
2021-02-26,1789921,3087
2021-02-27,1916215,3318
2021-02-28,1952825,3388
2021-03-01,1982911,3451
2021-03-02,2020802,3521
2021-03-03,2079749,3661
2021-03-04,2174340,3836
2021-03-05,2293683,4074
2021-03-06,2410898,4326
2021-03-07,2439703,4403
2021-03-08,2473863,4473
2021-03-09,2509794,4550
2021-03-10,2551710,4641
2021-03-11,2589167,4732
2021-03-12,2655380,4942
2021-03-13,2753954,5208
2021-03-14,2796857,5341
2021-03-15,2849315,5474
2021-03-16,2907170,5649
2021-03-17,2958431,5845
2021-03-18,3011855,6062
2021-03-19,3068891,6237
2021-03-20,3139073,6468
2021-03-21,3166478,6573
2021-03-22,3192364,6664
2021-03-23,3216745,6769
2021-03-24,3241196,6874
2021-03-25,3268188,7007
2021-03-26,3296685,7140
2021-03-27,3333043,7322
2021-03-28,3349766,7420
2021-03-29,3365481,7511
2021-03-30,3380405,7609
2021-03-31,3396190,7700
2021-04-01,3407460,7749
2021-04-02,3413053,7784
2021-04-03,3419871,7826
2021-04-04,3422678,7840
2021-04-05,3424526,7854
2021-04-06,3429321,7882
2021-04-07,3435124,7917
2021-04-08,3440388,7952
2021-04-09,3446142,7994
2021-04-10,3451987,8036
2021-04-11,3454465,8050
2021-04-12,3456495,8064
2021-04-13,3458868,8078
2021-04-14,3461738,8106
2021-04-15,3464965,8134
2021-04-16,3468612,8162
2021-04-17,3472469,8197
2021-04-18,3474422,8218
2021-04-19,3476487,8232
2021-04-20,3478916,8253
2021-04-21,3481772,8274
2021-04-22,3484803,8316
2021-04-23,3488184,8365
2021-04-24,3491705,8407
2021-04-25,3493364,8428
2021-04-26,3495233,8449
2021-04-27,3497627,8491
2021-04-28,3500392,8547
2021-04-29,3503598,8603
2021-04-30,3506650,8659
2021-05-01,3509646,8722
2021-05-02,3511193,8743
2021-05-03,3512236,8764
2021-05-04,3514280,8792
2021-05-05,3516758,8848
2021-05-06,3519719,8911
2021-05-07,3522666,8995
2021-05-08,3525977,9058
2021-05-09,3527601,9093
2021-05-10,3529386,9128
2021-05-11,3532200,9212
2021-05-12,3536491,9387
2021-05-13,3541188,9583
2021-05-14,3545892,9758
2021-05-15,3551051,9905
2021-05-16,3553375,10003
2021-05-17,3555258,10052
2021-05-18,3558926,10178
2021-05-19,3563952,10416
2021-05-20,3569020,10626
2021-05-21,3573073,10780
2021-05-22,3576867,10941
2021-05-23,3577686,10976
2021-05-24,3578540,11011
2021-05-25,3579765,11067
2021-05-26,3581326,11130
total,4289824,34832
