,7
2020-11-28,2152038
2020-11-29,2152031
2020-11-30,2152024
2020-12-01,2152017
2020-12-02,2152010
2020-12-03,2152010
2020-12-04,2152010
2020-12-05,2152010
2020-12-06,2152010
2020-12-07,2152010
2020-12-08,2151765
2020-12-09,2151219
2020-12-10,2150638
2020-12-11,2150043
2020-12-12,2149595
2020-12-13,2149259
2020-12-14,2148727
2020-12-15,2147789
2020-12-16,2146606
2020-12-17,2144961
2020-12-18,2143463
2020-12-19,2142091
2020-12-20,2140243
2020-12-21,2138087
2020-12-22,2136183
2020-12-23,2133880
2020-12-24,2132760
2020-12-25,2132753
2020-12-26,2132662
2020-12-27,2132389
2020-12-28,2131885
2020-12-29,2130233
2020-12-30,2126803
2020-12-31,2123828
2021-01-01,2122883
2021-01-02,2121805
2021-01-03,2121021
2021-01-04,2119523
2021-01-05,2116562
2021-01-06,2112208
2021-01-07,2106013
2021-01-08,2099314
2021-01-09,2093693
2021-01-10,2090410
2021-01-11,2085825
2021-01-12,2080113
2021-01-13,2073421
2021-01-14,2065973
2021-01-15,2057755
2021-01-16,2051175
2021-01-17,2046772
2021-01-18,2041165
2021-01-19,2034788
2021-01-20,2027998
2021-01-21,2020592
2021-01-22,2012332
2021-01-23,2005437
2021-01-24,2001265
2021-01-25,1996673
2021-01-26,1991206
2021-01-27,1985515
2021-01-28,1979572
2021-01-29,1972915
2021-01-30,1967308
2021-01-31,1962730
2021-02-01,1957704
2021-02-02,1951719
2021-02-03,1944768
2021-02-04,1937915
2021-02-05,1930831
2021-02-06,1924594
2021-02-07,1920912
2021-02-08,1917027
2021-02-09,1911252
2021-02-10,1903314
2021-02-11,1892282
2021-02-12,1876581
2021-02-13,1860180
2021-02-14,1850814
2021-02-15,1841812
2021-02-16,1823332
2021-02-17,1793442
2021-02-18,1766688
2021-02-19,1744988
2021-02-20,1724023
2021-02-21,1716344
2021-02-22,1705893
2021-02-23,1682814
2021-02-24,1640800
2021-02-25,1587922
2021-02-26,1525846
2021-02-27,1470574
2021-02-28,1434839
2021-03-01,1394414
2021-03-02,1344224
2021-03-03,1281658
2021-03-04,1201781
2021-03-05,1115100
2021-03-06,1025535
2021-03-07,978467
2021-03-08,919555
2021-03-09,865634
2021-03-10,811489
2021-03-11,761502
2021-03-12,701232
2021-03-13,624435
2021-03-14,586719
2021-03-15,543137
2021-03-16,504336
2021-03-17,471030
2021-03-18,439460
2021-03-19,403669
2021-03-20,364126
2021-03-21,348411
2021-03-22,334306
2021-03-23,321573
2021-03-24,309351
2021-03-25,297213
2021-03-26,285096
2021-03-27,271278
2021-03-28,265111
2021-03-29,259252
2021-03-30,253848
2021-03-31,248682
2021-04-01,245427
2021-04-02,243754
2021-04-03,241710
2021-04-04,240968
2021-04-05,240513
2021-04-06,238973
2021-04-07,237097
2021-04-08,235298
2021-04-09,233429
2021-04-10,231889
2021-04-11,231196
2021-04-12,230356
2021-04-13,229404
2021-04-14,228445
2021-04-15,227528
2021-04-16,226681
2021-04-17,225953
2021-04-18,225659
2021-04-19,225015
2021-04-20,224231
2021-04-21,223468
2021-04-22,222768
2021-04-23,222019
2021-04-24,221438
2021-04-25,221158
2021-04-26,220605
2021-04-27,219891
2021-04-28,219366
2021-04-29,218722
2021-04-30,218057
2021-05-01,217679
2021-05-02,217490
2021-05-03,217364
2021-05-04,216944
2021-05-05,216342
2021-05-06,215782
2021-05-07,215250
2021-05-08,214718
2021-05-09,214501
2021-05-10,214032
2021-05-11,213318
2021-05-12,212646
2021-05-13,211813
2021-05-14,211099
2021-05-15,210413
2021-05-16,210077
2021-05-17,209489
2021-05-18,208796
2021-05-19,207991
2021-05-20,207123
2021-05-21,206444
2021-05-22,205849
2021-05-23,205723
2021-05-24,205520
2021-05-25,205345
2021-05-26,205114
total,2152038
