,F,M
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,7
2020-12-10,0,7
2020-12-11,0,7
2020-12-12,0,7
2020-12-13,0,7
2020-12-14,0,7
2020-12-15,7,7
2020-12-16,7,7
2020-12-17,14,7
2020-12-18,14,7
2020-12-19,14,7
2020-12-20,14,7
2020-12-21,14,7
2020-12-22,14,7
2020-12-23,14,14
2020-12-24,14,14
2020-12-25,14,14
2020-12-26,14,14
2020-12-27,14,14
2020-12-28,14,14
2020-12-29,14,14
2020-12-30,14,14
2020-12-31,14,21
2021-01-01,14,21
2021-01-02,21,21
2021-01-03,21,21
2021-01-04,21,21
2021-01-05,21,21
2021-01-06,28,21
2021-01-07,28,21
2021-01-08,28,28
2021-01-09,28,28
2021-01-10,28,28
2021-01-11,35,35
2021-01-12,42,42
2021-01-13,49,42
2021-01-14,49,42
2021-01-15,56,49
2021-01-16,56,49
2021-01-17,56,49
2021-01-18,63,49
2021-01-19,70,56
2021-01-20,77,56
2021-01-21,84,56
2021-01-22,91,63
2021-01-23,91,63
2021-01-24,91,63
2021-01-25,98,70
2021-01-26,98,77
2021-01-27,112,84
2021-01-28,119,84
2021-01-29,119,91
2021-01-30,126,91
2021-01-31,126,91
2021-02-01,140,105
2021-02-02,154,105
2021-02-03,161,112
2021-02-04,175,126
2021-02-05,189,133
2021-02-06,196,133
2021-02-07,196,133
2021-02-08,210,147
2021-02-09,245,175
2021-02-10,273,196
2021-02-11,308,224
2021-02-12,378,266
2021-02-13,392,273
2021-02-14,399,280
2021-02-15,497,364
2021-02-16,602,427
2021-02-17,686,497
2021-02-18,833,609
2021-02-19,931,686
2021-02-20,945,693
2021-02-21,952,700
2021-02-22,1050,777
2021-02-23,1190,868
2021-02-24,1330,959
2021-02-25,1449,1064
2021-02-26,1547,1176
2021-02-27,1561,1190
2021-02-28,1568,1190
2021-03-01,1687,1267
2021-03-02,1827,1386
2021-03-03,2002,1547
2021-03-04,2163,1736
2021-03-05,2338,1897
2021-03-06,2373,1953
2021-03-07,2387,1960
2021-03-08,2667,2233
2021-03-09,3059,2653
2021-03-10,3570,3227
2021-03-11,4249,3934
2021-03-12,4865,4550
2021-03-13,4970,4683
2021-03-14,5005,4718
2021-03-15,5824,5593
2021-03-16,6762,6678
2021-03-17,7651,7728
2021-03-18,8477,8624
2021-03-19,9261,9471
2021-03-20,9429,9618
2021-03-21,9492,9688
2021-03-22,10185,10437
2021-03-23,11158,11508
2021-03-24,11865,12306
2021-03-25,12453,12915
2021-03-26,12901,13440
2021-03-27,12936,13475
2021-03-28,12957,13496
2021-03-29,13342,13965
2021-03-30,13692,14364
2021-03-31,13986,14707
2021-04-01,14224,14987
2021-04-02,14259,15036
2021-04-03,14280,15071
2021-04-04,14287,15092
2021-04-05,14308,15113
2021-04-06,14588,15519
2021-04-07,14910,15925
2021-04-08,15176,16219
2021-04-09,15351,16464
2021-04-10,15358,16492
2021-04-11,15379,16506
2021-04-12,15540,16709
2021-04-13,15729,17024
2021-04-14,15876,17241
2021-04-15,16065,17451
2021-04-16,16205,17605
2021-04-17,16233,17633
2021-04-18,16240,17647
2021-04-19,16387,17885
2021-04-20,16534,18067
2021-04-21,16702,18326
2021-04-22,16849,18508
2021-04-23,16954,18648
2021-04-24,16975,18655
2021-04-25,16982,18662
2021-04-26,17171,18893
2021-04-27,17339,19124
2021-04-28,17465,19278
2021-04-29,17605,19516
2021-04-30,17724,19712
2021-05-01,17724,19726
2021-05-02,17738,19740
2021-05-03,17752,19761
2021-05-04,17850,19873
2021-05-05,18074,20146
2021-05-06,18200,20356
2021-05-07,18291,20489
2021-05-08,18319,20510
2021-05-09,18319,20524
2021-05-10,18438,20671
2021-05-11,18620,20951
2021-05-12,18788,21175
2021-05-13,18963,21406
2021-05-14,19047,21511
2021-05-15,19075,21532
2021-05-16,19082,21553
2021-05-17,19278,21847
2021-05-18,19404,22022
2021-05-19,19509,22134
2021-05-20,19572,22267
2021-05-21,19677,22414
2021-05-22,19712,22449
2021-05-23,19712,22456
2021-05-24,19761,22526
2021-05-25,19789,22589
2021-05-26,19817,22631
total,1410080,1394246
