,F,M
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,322,105
2020-12-09,910,287
2020-12-10,1491,476
2020-12-11,2100,686
2020-12-12,2646,861
2020-12-13,2982,959
2020-12-14,3612,1155
2020-12-15,4760,1519
2020-12-16,6174,1932
2020-12-17,7945,2422
2020-12-18,9695,2975
2020-12-19,11228,3395
2020-12-20,13314,3997
2020-12-21,15918,4627
2020-12-22,18214,5271
2020-12-23,20860,6020
2020-12-24,22057,6405
2020-12-25,22057,6412
2020-12-26,22162,6447
2020-12-27,22498,6559
2020-12-28,23030,6699
2020-12-29,24843,7210
2020-12-30,28700,8176
2020-12-31,32340,9128
2021-01-01,33397,9387
2021-01-02,34650,9716
2021-01-03,35616,9947
2021-01-04,37457,10479
2021-01-05,41104,11438
2021-01-06,46102,12726
2021-01-07,53361,14546
2021-01-08,61292,16562
2021-01-09,67753,18235
2021-01-10,71827,19229
2021-01-11,77616,20713
2021-01-12,85008,22533
2021-01-13,92995,24619
2021-01-14,101759,26957
2021-01-15,111139,29701
2021-01-16,118797,31822
2021-01-17,123998,33222
2021-01-18,130459,35147
2021-01-19,137620,37296
2021-01-20,145327,39676
2021-01-21,153440,42273
2021-01-22,162323,45052
2021-01-23,169358,47418
2021-01-24,173488,48874
2021-01-25,178549,50722
2021-01-26,184156,52801
2021-01-27,189707,55048
2021-01-28,195307,57239
2021-01-29,201537,59717
2021-01-30,206598,61747
2021-01-31,210021,63154
2021-02-01,213542,64617
2021-02-02,217511,66367
2021-02-03,221977,68271
2021-02-04,226569,70371
2021-02-05,231357,72450
2021-02-06,235942,74886
2021-02-07,238595,76321
2021-02-08,241325,77763
2021-02-09,244692,79450
2021-02-10,248444,81445
2021-02-11,253050,83993
2021-02-12,258804,87339
2021-02-13,265153,90881
2021-02-14,269024,93156
2021-02-15,273182,95508
2021-02-16,280259,100107
2021-02-17,291186,107646
2021-02-18,302057,115318
2021-02-19,311787,121912
2021-02-20,321300,128681
2021-02-21,324597,131159
2021-02-22,329462,134736
2021-02-23,338919,142016
2021-02-24,352450,152159
2021-02-25,366996,163184
2021-02-26,382354,174594
2021-02-27,395143,184338
2021-02-28,400211,188146
2021-03-01,404894,191464
2021-03-02,410606,195664
2021-03-03,418509,201810
2021-03-04,430115,211001
2021-03-05,445823,224021
2021-03-06,463225,239085
2021-03-07,471240,246666
2021-03-08,480739,255563
2021-03-09,494445,269535
2021-03-10,514696,290808
2021-03-11,538860,316253
2021-03-12,573825,353619
2021-03-13,627865,411747
2021-03-14,656670,445683
2021-03-15,709506,505288
2021-03-16,767921,571389
2021-03-17,824068,635481
2021-03-18,879410,697886
2021-03-19,942389,770805
2021-03-20,1011437,854035
2021-03-21,1043315,895699
2021-03-22,1069677,931014
2021-03-23,1092126,959882
2021-03-24,1112951,985495
2021-03-25,1132733,1009015
2021-03-26,1153411,1035790
2021-03-27,1176819,1066457
2021-03-28,1188544,1082858
2021-03-29,1197791,1095101
2021-03-30,1205729,1105083
2021-03-31,1214024,1115142
2021-04-01,1219421,1122331
2021-04-02,1223110,1127511
2021-04-03,1227296,1133384
2021-04-04,1228850,1135848
2021-04-05,1229746,1137038
2021-04-06,1231447,1139089
2021-04-07,1233113,1141140
2021-04-08,1234569,1142925
2021-04-09,1236382,1145263
2021-04-10,1238097,1147636
2021-04-11,1238762,1148518
2021-04-12,1239336,1149204
2021-04-13,1239938,1149918
2021-04-14,1240603,1150597
2021-04-15,1241268,1151325
2021-04-16,1241933,1152123
2021-04-17,1242598,1152977
2021-04-18,1242913,1153355
2021-04-19,1243270,1153796
2021-04-20,1243655,1154251
2021-04-21,1244096,1154776
2021-04-22,1244565,1155378
2021-04-23,1245055,1156036
2021-04-24,1245608,1156771
2021-04-25,1245846,1157114
2021-04-26,1246126,1157513
2021-04-27,1246490,1157982
2021-04-28,1246868,1158465
2021-04-29,1247274,1158955
2021-04-30,1247687,1159438
2021-05-01,1248086,1159963
2021-05-02,1248240,1160215
2021-05-03,1248366,1160362
2021-05-04,1248604,1160649
2021-05-05,1248898,1161013
2021-05-06,1249234,1161398
2021-05-07,1249605,1161762
2021-05-08,1250025,1162287
2021-05-09,1250249,1162567
2021-05-10,1250515,1162847
2021-05-11,1250907,1163253
2021-05-12,1251397,1163750
2021-05-13,1251936,1164296
2021-05-14,1252489,1164884
2021-05-15,1253119,1165570
2021-05-16,1253392,1165892
2021-05-17,1253644,1166165
2021-05-18,1254057,1166683
2021-05-19,1254596,1167313
2021-05-20,1255142,1167915
2021-05-21,1255618,1168447
2021-05-22,1256052,1169028
2021-05-23,1256150,1169147
2021-05-24,1256234,1169273
2021-05-25,1256388,1169448
2021-05-26,1256577,1169658
total,1410080,1394246
