,F,M
2020-11-28,1410374,1394603
2020-11-29,1410374,1394603
2020-11-30,1410374,1394603
2020-12-01,1410367,1394603
2020-12-02,1410367,1394603
2020-12-03,1410360,1394596
2020-12-04,1410360,1394596
2020-12-05,1410360,1394596
2020-12-06,1410360,1394589
2020-12-07,1410360,1394589
2020-12-08,1410052,1394491
2020-12-09,1409450,1394302
2020-12-10,1408869,1394113
2020-12-11,1408260,1393903
2020-12-12,1407714,1393728
2020-12-13,1407378,1393623
2020-12-14,1406748,1393434
2020-12-15,1405607,1393070
2020-12-16,1404186,1392657
2020-12-17,1402401,1392160
2020-12-18,1400644,1391607
2020-12-19,1399118,1391187
2020-12-20,1397032,1390585
2020-12-21,1394421,1389955
2020-12-22,1392111,1389311
2020-12-23,1389479,1388555
2020-12-24,1388275,1388177
2020-12-25,1388275,1388170
2020-12-26,1388170,1388121
2020-12-27,1387834,1388023
2020-12-28,1387302,1387883
2020-12-29,1385482,1387372
2020-12-30,1381632,1386406
2020-12-31,1377985,1385440
2021-01-01,1376928,1385181
2021-01-02,1375675,1384866
2021-01-03,1374702,1384628
2021-01-04,1372875,1384096
2021-01-05,1369221,1383137
2021-01-06,1364209,1381849
2021-01-07,1356950,1380022
2021-01-08,1349019,1377992
2021-01-09,1342558,1376326
2021-01-10,1338484,1375332
2021-01-11,1332695,1373848
2021-01-12,1325296,1372028
2021-01-13,1317295,1369935
2021-01-14,1308538,1367597
2021-01-15,1299158,1364853
2021-01-16,1291493,1362725
2021-01-17,1286299,1361332
2021-01-18,1279824,1359400
2021-01-19,1272656,1357251
2021-01-20,1264935,1354864
2021-01-21,1256822,1352267
2021-01-22,1247932,1349481
2021-01-23,1240904,1347122
2021-01-24,1236774,1345659
2021-01-25,1231699,1343811
2021-01-26,1226092,1341732
2021-01-27,1220534,1339478
2021-01-28,1214920,1337280
2021-01-29,1208683,1334802
2021-01-30,1203622,1332765
2021-01-31,1200199,1331358
2021-02-01,1196657,1329881
2021-02-02,1192681,1328131
2021-02-03,1188201,1326220
2021-02-04,1183595,1324099
2021-02-05,1178793,1322020
2021-02-06,1174201,1319584
2021-02-07,1171541,1318142
2021-02-08,1168804,1316693
2021-02-09,1165402,1314971
2021-02-10,1161615,1312948
2021-02-11,1156960,1310365
2021-02-12,1151143,1306977
2021-02-13,1144780,1303421
2021-02-14,1140902,1301153
2021-02-15,1136646,1298717
2021-02-16,1129457,1294048
2021-02-17,1118439,1286439
2021-02-18,1107414,1278662
2021-02-19,1097572,1271970
2021-02-20,1088038,1265187
2021-02-21,1084734,1262709
2021-02-22,1079764,1259055
2021-02-23,1070167,1251677
2021-02-24,1056468,1241429
2021-02-25,1041796,1230292
2021-02-26,1026347,1218770
2021-02-27,1013544,1209005
2021-02-28,1008469,1205183
2021-03-01,1003653,1201781
2021-03-02,997801,1197455
2021-03-03,989723,1191141
2021-03-04,977949,1181761
2021-03-05,962059,1168566
2021-03-06,944608,1153460
2021-03-07,936593,1145872
2021-03-08,926793,1136674
2021-03-09,912688,1122282
2021-03-10,891891,1100323
2021-03-11,867013,1074094
2021-03-12,831397,1036042
2021-03-13,777189,977697
2021-03-14,748356,943719
2021-03-15,694638,883127
2021-03-16,635208,815801
2021-03-17,578102,750519
2021-03-18,521885,687127
2021-03-19,458087,613263
2021-03-20,388836,529886
2021-03-21,356909,488166
2021-03-22,329826,452053
2021-03-23,306397,422086
2021-03-24,284858,395626
2021-03-25,264481,371490
2021-03-26,243383,344218
2021-03-27,219982,313558
2021-03-28,208243,297164
2021-03-29,198618,284445
2021-03-30,190316,274071
2021-03-31,181748,263683
2021-04-01,176099,256207
2021-04-02,172389,250999
2021-04-03,168175,245091
2021-04-04,166600,242606
2021-04-05,165704,241395
2021-04-06,163716,238924
2021-04-07,161735,236481
2021-04-08,160006,234374
2021-04-09,157976,231749
2021-04-10,156261,229348
2021-04-11,155568,228459
2021-04-12,154819,227563
2021-04-13,154028,226506
2021-04-14,153209,225568
2021-04-15,152355,224616
2021-04-16,151543,223671
2021-04-17,150864,222782
2021-04-18,150535,222390
2021-04-19,150024,221718
2021-04-20,149492,221060
2021-04-21,148876,220283
2021-04-22,148281,219485
2021-04-23,147672,218687
2021-04-24,147105,217945
2021-04-25,146860,217588
2021-04-26,146377,216951
2021-04-27,145838,216237
2021-04-28,145334,215600
2021-04-29,144781,214879
2021-04-30,144263,214193
2021-05-01,143857,213661
2021-05-02,143682,213388
2021-05-03,143549,213220
2021-05-04,143220,212821
2021-05-05,142695,212191
2021-05-06,142233,211589
2021-05-07,141771,211092
2021-05-08,141323,210546
2021-05-09,141106,210266
2021-05-10,140721,209832
2021-05-11,140147,209132
2021-05-12,139489,208418
2021-05-13,138761,207592
2021-05-14,138117,206906
2021-05-15,137459,206199
2021-05-16,137186,205870
2021-05-17,136731,205282
2021-05-18,136192,204596
2021-05-19,135562,203854
2021-05-20,135184,203427
2021-05-21,134785,202986
2021-05-22,134519,202615
2021-05-23,134519,202608
2021-05-24,134512,202601
total,1410374,1394603
