,False
2020-11-28,5722010
2020-11-29,5722003
2020-11-30,5721989
2020-12-01,5721884
2020-12-02,5721870
2020-12-03,5721863
2020-12-04,5721856
2020-12-05,5721849
2020-12-06,5721842
2020-12-07,5721821
2020-12-08,5720673
2020-12-09,5719406
2020-12-10,5717061
2020-12-11,5714583
2020-12-12,5712987
2020-12-13,5712588
2020-12-14,5709690
2020-12-15,5685540
2020-12-16,5641062
2020-12-17,5597403
2020-12-18,5561591
2020-12-19,5515440
2020-12-20,5482918
2020-12-21,5461491
2020-12-22,5425854
2020-12-23,5394907
2020-12-24,5387088
2020-12-25,5387032
2020-12-26,5386899
2020-12-27,5386689
2020-12-28,5386185
2020-12-29,5373305
2020-12-30,5338487
2020-12-31,5312391
2021-01-01,5305055
2021-01-02,5295073
2021-01-03,5293064
2021-01-04,5290663
2021-01-05,5280863
2021-01-06,5263293
2021-01-07,5192733
2021-01-08,5096721
2021-01-09,5015577
2021-01-10,4981291
2021-01-11,4953991
2021-01-12,4903234
2021-01-13,4810596
2021-01-14,4697791
2021-01-15,4567941
2021-01-16,4460512
2021-01-17,4413444
2021-01-18,4373341
2021-01-19,4258492
2021-01-20,4148347
2021-01-21,4008102
2021-01-22,3820649
2021-01-23,3636878
2021-01-24,3566185
2021-01-25,3500462
2021-01-26,3427186
2021-01-27,3351257
2021-01-28,3223640
2021-01-29,3021242
2021-01-30,2827594
2021-01-31,2715636
2021-02-01,2607717
2021-02-02,2489620
2021-02-03,2350992
2021-02-04,2203495
2021-02-05,2047612
2021-02-06,1880396
2021-02-07,1802591
2021-02-08,1712543
2021-02-09,1604568
2021-02-10,1483097
2021-02-11,1341123
2021-02-12,1188411
2021-02-13,1043770
2021-02-14,991627
2021-02-15,931420
2021-02-16,855085
2021-02-17,777224
2021-02-18,706517
2021-02-19,659806
2021-02-20,619696
2021-02-21,605962
2021-02-22,585774
2021-02-23,560077
2021-02-24,529634
2021-02-25,496881
2021-02-26,469056
2021-02-27,449715
2021-02-28,441861
2021-03-01,433104
2021-03-02,423549
2021-03-03,412664
2021-03-04,399560
2021-03-05,384846
2021-03-06,373072
2021-03-07,369635
2021-03-08,362922
2021-03-09,356482
2021-03-10,349790
2021-03-11,343350
2021-03-12,335986
2021-03-13,328167
2021-03-14,324429
2021-03-15,318822
2021-03-16,312998
2021-03-17,307734
2021-03-18,302309
2021-03-19,296856
2021-03-20,292061
2021-03-21,290213
2021-03-22,287182
2021-03-23,283430
2021-03-24,279902
2021-03-25,275737
2021-03-26,272062
2021-03-27,268667
2021-03-28,267267
2021-03-29,264747
2021-03-30,262080
2021-03-31,259238
2021-04-01,257187
2021-04-02,256494
2021-04-03,255647
2021-04-04,255423
2021-04-05,255199
2021-04-06,253876
2021-04-07,252308
2021-04-08,250586
2021-04-09,248829
2021-04-10,247562
2021-04-11,247058
2021-04-12,246085
2021-04-13,244923
2021-04-14,243761
2021-04-15,242501
2021-04-16,241031
2021-04-17,240254
2021-04-18,239960
2021-04-19,239288
2021-04-20,238392
2021-04-21,237433
2021-04-22,236376
2021-04-23,235291
2021-04-24,234654
2021-04-25,234381
2021-04-26,233674
2021-04-27,232855
2021-04-28,232022
2021-04-29,231161
2021-04-30,230167
2021-05-01,229740
2021-05-02,229579
2021-05-03,229411
2021-05-04,228879
2021-05-05,228151
2021-05-06,227479
2021-05-07,226702
2021-05-08,226191
2021-05-09,225974
2021-05-10,225505
2021-05-11,224602
2021-05-12,223825
2021-05-13,222999
2021-05-14,222180
2021-05-15,221662
2021-05-16,221424
2021-05-17,220941
2021-05-18,220248
2021-05-19,219457
2021-05-20,218638
2021-05-21,218008
2021-05-22,217644
2021-05-23,217637
2021-05-24,217616
total,5722066
