,2,3,4,5,6,7,8
2020-12-01,0,0,7,0,0,0,0
2020-12-02,0,0,7,0,0,0,0
2020-12-03,0,0,7,0,0,0,0
2020-12-04,0,0,7,0,0,0,0
2020-12-05,0,0,7,0,0,7,0
2020-12-06,0,0,7,0,0,7,0
2020-12-07,0,0,7,0,0,7,0
2020-12-08,28,56,140,105,126,91,14
2020-12-09,70,154,357,245,322,259,35
2020-12-10,161,294,602,441,539,462,56
2020-12-11,224,434,931,693,798,672,70
2020-12-12,280,560,1176,868,973,854,91
2020-12-13,308,616,1274,952,1050,917,91
2020-12-14,371,735,1477,1106,1239,1050,105
2020-12-15,469,952,1904,1414,1624,1365,140
2020-12-16,560,1183,2408,1771,2044,1736,189
2020-12-17,679,1477,2919,2226,2583,2205,252
2020-12-18,805,1792,3500,2674,3108,2688,329
2020-12-19,896,2044,3962,3031,3549,3080,392
2020-12-20,1008,2345,4557,3549,4095,3633,469
2020-12-21,1169,2772,5334,4130,4781,4249,539
2020-12-22,1351,3129,6048,4641,5446,4844,623
2020-12-23,1561,3549,6839,5292,6167,5481,686
2020-12-24,1652,3759,7238,5600,6489,5782,721
2020-12-25,1652,3766,7245,5600,6489,5789,721
2020-12-26,1666,3801,7294,5649,6531,5817,728
2020-12-27,1694,3871,7413,5726,6608,5887,735
2020-12-28,1736,3990,7616,5859,6741,6006,749
2020-12-29,1946,4368,8267,6398,7350,6545,819
2020-12-30,2247,5019,9457,7364,8477,7735,952
2020-12-31,2534,5593,10458,8204,9478,8708,1071
2021-01-01,2618,5789,10822,8477,9779,8967,1113
2021-01-02,2744,6048,11221,8806,10164,9296,1176
2021-01-03,2814,6230,11529,9023,10423,9527,1190
2021-01-04,2954,6559,12117,9450,10913,9898,1225
2021-01-05,3227,7189,13321,10262,11907,10703,1309
2021-01-06,3640,8099,14805,11368,13272,11788,1407
2021-01-07,4144,9254,16779,12894,15099,13349,1603
2021-01-08,4802,10584,18998,14672,17297,15365,1911
2021-01-09,5362,11704,20860,16142,19117,17101,2198
