,F,M
2020-11-28,7,7
2020-11-29,7,7
2020-11-30,14,7
2020-12-01,35,14
2020-12-02,42,21
2020-12-03,42,21
2020-12-04,42,28
2020-12-05,49,28
2020-12-06,49,28
2020-12-07,56,28
2020-12-08,483,196
2020-12-09,1302,497
2020-12-10,2296,861
2020-12-11,3339,1253
2020-12-12,4158,1519
2020-12-13,4627,1659
2020-12-14,5579,2009
2020-12-15,7441,2660
2020-12-16,9646,3360
2020-12-17,12663,4193
2020-12-18,15631,5145
2020-12-19,18186,5908
2020-12-20,21595,6944
2020-12-21,25585,8099
2020-12-22,29414,9233
2020-12-23,33593,10458
2020-12-24,35469,11081
2020-12-25,35490,11088
2020-12-26,35707,11207
2020-12-27,36148,11368
2020-12-28,36988,11648
2020-12-29,40166,12614
2020-12-30,46186,14259
2020-12-31,51555,15855
2021-01-01,53340,16366
2021-01-02,55447,16961
2021-01-03,57064,17360
2021-01-04,60123,18277
2021-01-05,66052,19971
2021-01-06,74263,22246
2021-01-07,85617,25172
2021-01-08,98224,28518
2021-01-09,108122,31283
2021-01-10,114653,32998
2021-01-11,123592,35469
2021-01-12,134680,38388
2021-01-13,147084,41853
2021-01-14,160412,45675
2021-01-15,174706,50085
2021-01-16,185724,53389
2021-01-17,193179,55503
2021-01-18,203224,58625
2021-01-19,213962,62167
2021-01-20,225533,66045
2021-01-21,238014,70259
2021-01-22,251314,74718
2021-01-23,261884,78624
2021-01-24,267904,80941
2021-01-25,275408,83797
2021-01-26,284109,87136
2021-01-27,293188,90832
2021-01-28,302295,94598
2021-01-29,312263,98798
2021-01-30,320495,102277
2021-01-31,326277,105063
2021-02-01,332682,108115
2021-02-02,340060,111874
2021-02-03,348313,116025
2021-02-04,356468,120309
2021-02-05,365001,124810
2021-02-06,373121,129178
2021-02-07,377328,131614
2021-02-08,382571,134449
2021-02-09,389305,138264
2021-02-10,397068,142779
2021-02-11,406280,148554
2021-02-12,418887,156807
2021-02-13,432810,165697
2021-02-14,440790,171164
2021-02-15,449491,176344
2021-02-16,463666,186109
2021-02-17,486297,202258
2021-02-18,508095,217861
2021-02-19,526617,230965
2021-02-20,544495,244356
2021-02-21,550361,248822
2021-02-22,559384,255521
2021-02-23,577941,269899
2021-02-24,607600,292600
2021-02-25,641312,318976
2021-02-26,677152,347221
2021-02-27,709562,374045
2021-02-28,725795,388255
2021-03-01,743883,404299
2021-03-02,765506,423654
2021-03-03,791098,447223
2021-03-04,825258,478142
2021-03-05,868049,517230
2021-03-06,910875,558425
2021-03-07,931973,580027
2021-03-08,957838,607544
2021-03-09,984375,636244
2021-03-10,1016589,670222
2021-03-11,1049909,705355
2021-03-12,1093946,752213
2021-03-13,1160040,822857
2021-03-14,1192968,861595
2021-03-15,1245202,920892
2021-03-16,1307376,990780
2021-03-17,1374009,1065099
2021-03-18,1452234,1153628
2021-03-19,1553482,1269667
2021-03-20,1671642,1407196
2021-03-21,1718570,1467186
2021-03-22,1760381,1521541
2021-03-23,1797999,1569701
2021-03-24,1834350,1616160
2021-03-25,1871534,1661821
2021-03-26,1909754,1711164
2021-03-27,1955555,1770244
2021-03-28,1975890,1798860
2021-03-29,1993250,1822597
2021-03-30,2008657,1842512
2021-03-31,2024449,1861832
2021-04-01,2031995,1871653
2021-04-02,2035971,1877169
2021-04-03,2041025,1884330
2021-04-04,2042509,1886612
2021-04-05,2043531,1887914
2021-04-06,2046940,1892009
2021-04-07,2050174,1895992
2021-04-08,2053065,1899450
2021-04-09,2056362,1903678
2021-04-10,2059288,1907815
2021-04-11,2060674,1909586
2021-04-12,2062032,1911329
2021-04-13,2063460,1913198
2021-04-14,2065014,1914927
2021-04-15,2066498,1916663
2021-04-16,2067982,1918434
2021-04-17,2069235,1920072
2021-04-18,2069788,1920835
2021-04-19,2070607,1921955
2021-04-20,2071741,1923390
2021-04-21,2072791,1924713
2021-04-22,2073925,1926141
2021-04-23,2075115,1927702
2021-04-24,2076144,1929088
2021-04-25,2076585,1929711
2021-04-26,2077362,1930754
2021-04-27,2078174,1931867
2021-04-28,2079028,1932959
2021-04-29,2080078,1934366
2021-04-30,2081128,1935724
2021-05-01,2081926,1936788
2021-05-02,2082255,1937243
2021-05-03,2082486,1937523
2021-05-04,2083193,1938433
2021-05-05,2084159,1939623
2021-05-06,2084985,1940638
2021-05-07,2085846,1941590
2021-05-08,2086707,1942696
2021-05-09,2087092,1943235
2021-05-10,2087813,1944159
2021-05-11,2088926,1945573
2021-05-12,2090081,1946784
2021-05-13,2091278,1948135
2021-05-14,2092524,1949500
2021-05-15,2093749,1950928
2021-05-16,2094274,1951579
2021-05-17,2095163,1952713
2021-05-18,2096227,1954001
2021-05-19,2097543,1955520
2021-05-20,2098782,1957025
2021-05-21,2099916,1958404
2021-05-22,2100791,1959608
2021-05-23,2100805,1959629
2021-05-24,2100819,1959636
total,2345847,2333485
