,1,2,3,4,5,6
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,7,0,0,0,0,0
2020-12-02,7,0,0,0,0,0
2020-12-03,7,0,0,0,0,0
2020-12-04,7,0,0,0,0,0
2020-12-05,7,0,0,0,0,0
2020-12-06,7,0,0,0,0,0
2020-12-07,7,0,0,0,0,0
2020-12-08,14,0,0,0,0,7
2020-12-09,28,0,0,0,0,7
2020-12-10,42,0,0,0,0,7
2020-12-11,56,0,0,0,0,14
2020-12-12,63,0,0,0,0,14
2020-12-13,63,0,0,0,0,14
2020-12-14,77,0,0,0,0,21
2020-12-15,175,0,7,0,0,56
2020-12-16,413,0,14,7,0,161
2020-12-17,749,0,21,14,0,245
2020-12-18,903,7,21,14,0,294
2020-12-19,1099,7,28,14,0,357
2020-12-20,1309,7,28,14,7,427
2020-12-21,1526,7,35,21,7,518
2020-12-22,1715,7,35,21,7,602
2020-12-23,2499,7,49,35,7,770
2020-12-24,2898,7,56,42,14,896
2020-12-25,2926,7,56,42,14,896
2020-12-26,2947,7,56,42,14,903
2020-12-27,2947,7,56,42,14,903
2020-12-28,2947,7,56,42,14,910
2020-12-29,4025,14,77,63,14,1246
2020-12-30,9765,42,147,133,63,3507
2020-12-31,13384,49,224,168,70,4907
2021-01-01,13986,49,231,168,77,5152
2021-01-02,14406,49,231,175,77,5348
2021-01-03,14560,49,231,175,77,5376
2021-01-04,14644,49,231,182,77,5397
2021-01-05,15610,49,245,196,77,5663
2021-01-06,17430,63,266,231,84,6412
2021-01-07,21679,70,322,266,105,8127
2021-01-08,27377,84,406,315,140,10276
2021-01-09,32298,105,455,350,175,12082
2021-01-10,33894,105,476,378,182,12544
2021-01-11,37569,119,504,413,203,13769
2021-01-12,41440,126,574,469,231,15162
2021-01-13,46200,154,644,532,245,16947
2021-01-14,52066,182,777,637,280,18837
2021-01-15,58674,224,882,735,329,21224
2021-01-16,63140,238,966,798,350,22666
2021-01-17,64785,245,994,819,364,23198
2021-01-18,67494,252,1022,854,378,24248
2021-01-19,70245,266,1057,882,385,25228
2021-01-20,73178,273,1092,924,399,26236
2021-01-21,76020,294,1134,959,441,27223
2021-01-22,80227,308,1190,1036,448,28672
2021-01-23,82089,315,1211,1050,455,29393
2021-01-24,82873,315,1225,1064,462,29666
2021-01-25,83412,315,1239,1085,462,29855
2021-01-26,84000,322,1267,1113,469,30051
2021-01-27,84665,322,1281,1141,476,30268
2021-01-28,85407,329,1316,1176,483,30506
2021-01-29,86380,329,1351,1211,483,30786
2021-01-30,86842,336,1386,1232,490,30919
2021-01-31,86975,336,1407,1239,490,30947
2021-02-01,87318,336,1435,1253,497,31073
2021-02-02,87738,336,1463,1267,504,31185
2021-02-03,88214,343,1477,1274,504,31339
