,False,True
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,28,0
2020-12-09,42,0
2020-12-10,56,0
2020-12-11,77,0
2020-12-12,84,0
2020-12-13,84,0
2020-12-14,105,7
2020-12-15,245,7
2020-12-16,588,14
2020-12-17,1015,21
2020-12-18,1218,35
2020-12-19,1470,42
2020-12-20,1750,56
2020-12-21,2044,70
2020-12-22,2317,84
2020-12-23,3227,154
2020-12-24,3738,182
2020-12-25,3766,182
2020-12-26,3794,189
2020-12-27,3794,189
2020-12-28,3794,189
2020-12-29,5131,322
2020-12-30,12768,896
2020-12-31,17626,1197
2021-01-01,18431,1232
2021-01-02,19012,1281
2021-01-03,19180,1295
2021-01-04,19278,1309
2021-01-05,20447,1414
2021-01-06,22918,1575
2021-01-07,28588,1995
2021-01-08,36092,2527
2021-01-09,42504,2975
2021-01-10,44471,3115
2021-01-11,49105,3486
2021-01-12,54152,3864
2021-01-13,60410,4326
2021-01-14,67858,4928
2021-01-15,76419,5663
2021-01-16,82033,6146
2021-01-17,84091,6335
2021-01-18,87675,6580
2021-01-19,91182,6895
2021-01-20,94906,7210
2021-01-21,98518,7560
2021-01-22,103894,7994
2021-01-23,106337,8183
2021-01-24,107331,8288
2021-01-25,107996,8379
2021-01-26,108773,8463
2021-01-27,109606,8561
2021-01-28,110551,8673
2021-01-29,111769,8792
2021-01-30,112364,8855
2021-01-31,112539,8869
2021-02-01,112987,8946
2021-02-02,113498,9002
2021-02-03,114107,9051
2021-02-04,115017,9156
2021-02-05,115997,9261
2021-02-06,116417,9310
2021-02-07,116578,9324
2021-02-08,117138,9394
2021-02-09,117817,9471
2021-02-10,118657,9548
2021-02-11,119455,9646
2021-02-12,120309,9737
2021-02-13,120631,9793
2021-02-14,120687,9800
2021-02-15,121310,9835
2021-02-16,121835,9863
2021-02-17,122276,9905
2021-02-18,122738,9947
2021-02-19,123130,9982
2021-02-20,123270,9996
2021-02-21,123291,10003
2021-02-22,123585,10024
2021-02-23,123921,10059
2021-02-24,124194,10087
2021-02-25,124495,10122
2021-02-26,124642,10150
2021-02-27,124691,10157
2021-02-28,124698,10157
2021-03-01,124810,10164
2021-03-02,124950,10185
2021-03-03,125139,10199
2021-03-04,125342,10227
2021-03-05,125580,10241
2021-03-06,125650,10255
2021-03-07,125664,10255
2021-03-08,125762,10276
2021-03-09,125923,10297
2021-03-10,126056,10318
2021-03-11,126196,10332
2021-03-12,126294,10339
2021-03-13,126350,10346
2021-03-14,126357,10346
2021-03-15,126420,10360
2021-03-16,126539,10381
2021-03-17,126672,10395
2021-03-18,126819,10409
2021-03-19,126924,10423
2021-03-20,126987,10437
2021-03-21,126994,10437
2021-03-22,127071,10444
2021-03-23,127190,10458
2021-03-24,127288,10472
2021-03-25,127442,10493
2021-03-26,127659,10507
2021-03-27,127736,10514
2021-03-28,127750,10521
2021-03-29,127862,10535
2021-03-30,127995,10549
2021-03-31,128114,10556
2021-04-01,128240,10570
2021-04-02,128268,10570
2021-04-03,128282,10570
2021-04-04,128282,10570
2021-04-05,128289,10570
2021-04-06,128338,10577
2021-04-07,128415,10591
2021-04-08,128506,10598
2021-04-09,128583,10605
2021-04-10,128604,10612
2021-04-11,128611,10612
2021-04-12,128639,10619
2021-04-13,128660,10626
2021-04-14,128723,10633
2021-04-15,128765,10633
2021-04-16,128800,10640
2021-04-17,128807,10640
2021-04-18,128814,10640
2021-04-19,128828,10647
2021-04-20,128849,10647
2021-04-21,128898,10654
2021-04-22,128912,10654
2021-04-23,128940,10654
2021-04-24,128947,10654
2021-04-25,128954,10661
2021-04-26,128975,10661
2021-04-27,128996,10661
2021-04-28,129010,10668
2021-04-29,129031,10675
2021-04-30,129059,10675
2021-05-01,129066,10675
2021-05-02,129066,10675
2021-05-03,129066,10675
2021-05-04,129080,10682
2021-05-05,129101,10682
2021-05-06,129115,10682
2021-05-07,129136,10689
2021-05-08,129136,10689
2021-05-09,129143,10689
2021-05-10,129143,10696
2021-05-11,129157,10696
2021-05-12,129178,10696
2021-05-13,129185,10696
2021-05-14,129199,10703
2021-05-15,129206,10703
2021-05-16,129206,10703
2021-05-17,129220,10703
2021-05-18,129241,10710
2021-05-19,129262,10717
2021-05-20,129269,10717
2021-05-21,129290,10717
2021-05-22,129290,10717
total,133063,11116
