,F,M
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,21,7
2020-12-09,28,14
2020-12-10,42,21
2020-12-11,56,28
2020-12-12,63,28
2020-12-13,63,28
2020-12-14,77,35
2020-12-15,168,84
2020-12-16,392,210
2020-12-17,679,357
2020-12-18,812,434
2020-12-19,980,532
2020-12-20,1169,637
2020-12-21,1379,742
2020-12-22,1568,833
2020-12-23,2268,1113
2020-12-24,2660,1260
2020-12-25,2681,1274
2020-12-26,2709,1274
2020-12-27,2709,1274
2020-12-28,2709,1274
2020-12-29,3731,1722
2020-12-30,9569,4102
2020-12-31,13265,5558
2021-01-01,13888,5775
2021-01-02,14322,5971
2021-01-03,14448,6020
2021-01-04,14525,6062
2021-01-05,15400,6461
2021-01-06,17318,7182
2021-01-07,21686,8897
2021-01-08,27489,11123
2021-01-09,32417,13069
2021-01-10,33915,13671
2021-01-11,37506,15085
2021-01-12,41342,16674
2021-01-13,46102,18641
2021-01-14,51863,20923
2021-01-15,58408,23667
2021-01-16,62720,25459
2021-01-17,64295,26124
2021-01-18,67081,27174
2021-01-19,69741,28336
2021-01-20,72632,29484
2021-01-21,75327,30751
2021-01-22,79415,32473
2021-01-23,81242,33278
2021-01-24,81991,33621
2021-01-25,82488,33894
2021-01-26,83069,34167
2021-01-27,83664,34503
2021-01-28,84343,34888
2021-01-29,85183,35378
2021-01-30,85603,35609
2021-01-31,85722,35686
2021-02-01,86037,35889
2021-02-02,86387,36113
2021-02-03,86828,36330
2021-02-04,87486,36687
2021-02-05,88193,37058
2021-02-06,88494,37233
2021-02-07,88592,37303
2021-02-08,89005,37534
2021-02-09,89481,37800
2021-02-10,90083,38122
2021-02-11,90643,38458
2021-02-12,91273,38773
2021-02-13,91497,38934
2021-02-14,91518,38969
2021-02-15,91966,39179
2021-02-16,92337,39368
2021-02-17,92652,39529
2021-02-18,92960,39718
2021-02-19,93240,39872
2021-02-20,93331,39935
2021-02-21,93345,39942
2021-02-22,93555,40054
2021-02-23,93800,40180
2021-02-24,94003,40285
2021-02-25,94227,40397
2021-02-26,94318,40474
2021-02-27,94353,40495
2021-02-28,94360,40502
2021-03-01,94423,40551
2021-03-02,94521,40607
2021-03-03,94647,40698
2021-03-04,94780,40782
2021-03-05,94948,40880
2021-03-06,94990,40915
2021-03-07,94997,40922
2021-03-08,95060,40978
2021-03-09,95186,41034
2021-03-10,95291,41090
2021-03-11,95375,41153
2021-03-12,95445,41195
2021-03-13,95480,41216
2021-03-14,95480,41223
2021-03-15,95522,41258
2021-03-16,95613,41314
2021-03-17,95697,41370
2021-03-18,95788,41440
2021-03-19,95865,41482
2021-03-20,95914,41510
2021-03-21,95921,41510
2021-03-22,95977,41538
2021-03-23,96068,41587
2021-03-24,96131,41636
2021-03-25,96236,41699
2021-03-26,96376,41790
2021-03-27,96425,41825
2021-03-28,96439,41832
2021-03-29,96516,41881
2021-03-30,96607,41937
2021-03-31,96684,41986
2021-04-01,96775,42035
2021-04-02,96789,42049
2021-04-03,96796,42056
2021-04-04,96796,42056
2021-04-05,96803,42063
2021-04-06,96831,42084
2021-04-07,96894,42112
2021-04-08,96964,42140
2021-04-09,97020,42161
2021-04-10,97041,42175
2021-04-11,97041,42175
2021-04-12,97062,42196
2021-04-13,97083,42203
2021-04-14,97118,42231
2021-04-15,97153,42245
2021-04-16,97174,42259
2021-04-17,97181,42266
2021-04-18,97188,42273
2021-04-19,97195,42273
2021-04-20,97216,42287
2021-04-21,97237,42308
2021-04-22,97244,42315
2021-04-23,97272,42329
2021-04-24,97279,42329
2021-04-25,97279,42329
2021-04-26,97293,42343
2021-04-27,97307,42350
2021-04-28,97321,42357
2021-04-29,97335,42371
2021-04-30,97356,42385
2021-05-01,97356,42385
2021-05-02,97356,42385
2021-05-03,97356,42385
2021-05-04,97370,42392
2021-05-05,97384,42399
2021-05-06,97391,42406
2021-05-07,97405,42420
2021-05-08,97412,42420
2021-05-09,97412,42420
2021-05-10,97412,42420
2021-05-11,97419,42427
2021-05-12,97426,42441
2021-05-13,97433,42448
2021-05-14,97447,42455
2021-05-15,97447,42462
2021-05-16,97454,42462
2021-05-17,97454,42469
2021-05-18,97468,42476
2021-05-19,97482,42490
2021-05-20,97489,42497
2021-05-21,97496,42504
2021-05-22,97503,42504
total,100100,44079
