,False,True
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,7,0
2020-12-11,7,0
2020-12-12,7,0
2020-12-13,7,0
2020-12-14,14,0
2020-12-15,14,0
2020-12-16,28,0
2020-12-17,35,0
2020-12-18,35,0
2020-12-19,35,0
2020-12-20,42,0
2020-12-21,42,0
2020-12-22,49,0
2020-12-23,63,7
2020-12-24,70,7
2020-12-25,70,7
2020-12-26,70,7
2020-12-27,70,7
2020-12-28,70,7
2020-12-29,84,14
2020-12-30,126,21
2020-12-31,147,21
2021-01-01,147,21
2021-01-02,147,21
2021-01-03,154,21
2021-01-04,161,21
2021-01-05,175,28
2021-01-06,203,35
2021-01-07,245,35
2021-01-08,273,42
2021-01-09,287,42
2021-01-10,287,42
2021-01-11,315,49
2021-01-12,350,56
2021-01-13,378,63
2021-01-14,434,70
2021-01-15,504,91
2021-01-16,511,91
2021-01-17,518,91
2021-01-18,560,98
2021-01-19,609,105
2021-01-20,651,119
2021-01-21,700,119
2021-01-22,756,133
2021-01-23,763,140
2021-01-24,763,140
2021-01-25,812,147
2021-01-26,840,147
2021-01-27,861,154
2021-01-28,896,168
2021-01-29,945,175
2021-01-30,952,182
2021-01-31,952,182
2021-02-01,980,189
2021-02-02,994,196
2021-02-03,1036,203
2021-02-04,1078,217
2021-02-05,1127,231
2021-02-06,1134,231
2021-02-07,1134,231
2021-02-08,1197,252
2021-02-09,1253,266
2021-02-10,1295,273
2021-02-11,1337,280
2021-02-12,1365,287
2021-02-13,1365,287
2021-02-14,1365,287
2021-02-15,1400,294
2021-02-16,1414,294
2021-02-17,1442,294
2021-02-18,1463,301
2021-02-19,1484,301
2021-02-20,1484,301
2021-02-21,1484,301
2021-02-22,1498,301
2021-02-23,1519,315
2021-02-24,1533,315
2021-02-25,1547,315
2021-02-26,1547,322
2021-02-27,1547,322
2021-02-28,1547,322
2021-03-01,1561,322
2021-03-02,1582,329
2021-03-03,1589,336
2021-03-04,1603,343
2021-03-05,1617,343
2021-03-06,1617,343
2021-03-07,1617,343
2021-03-08,1631,350
2021-03-09,1645,357
2021-03-10,1659,364
2021-03-11,1673,371
2021-03-12,1694,371
2021-03-13,1694,371
2021-03-14,1694,371
2021-03-15,1708,371
2021-03-16,1722,378
2021-03-17,1729,385
2021-03-18,1750,385
2021-03-19,1750,385
2021-03-20,1750,385
2021-03-21,1750,385
2021-03-22,1771,385
2021-03-23,1778,392
2021-03-24,1785,392
2021-03-25,1792,399
2021-03-26,1806,399
2021-03-27,1806,399
2021-03-28,1806,399
2021-03-29,1813,399
2021-03-30,1820,399
2021-03-31,1820,399
2021-04-01,1827,406
2021-04-02,1827,406
2021-04-03,1827,406
2021-04-04,1827,406
2021-04-05,1827,406
2021-04-06,1834,406
2021-04-07,1834,406
2021-04-08,1841,406
2021-04-09,1841,406
2021-04-10,1848,406
2021-04-11,1848,406
2021-04-12,1855,406
2021-04-13,1855,413
2021-04-14,1862,413
2021-04-15,1869,413
2021-04-16,1876,413
2021-04-17,1876,413
2021-04-18,1876,413
2021-04-19,1876,420
2021-04-20,1883,420
2021-04-21,1883,420
2021-04-22,1883,420
2021-04-23,1890,420
2021-04-24,1890,420
2021-04-25,1890,420
2021-04-26,1890,420
2021-04-27,1897,420
2021-04-28,1904,420
2021-04-29,1904,420
2021-04-30,1911,427
2021-05-01,1911,427
2021-05-02,1911,427
2021-05-03,1911,427
2021-05-04,1918,427
2021-05-05,1918,427
2021-05-06,1918,427
2021-05-07,1925,427
2021-05-08,1925,427
2021-05-09,1925,427
2021-05-10,1925,427
2021-05-11,1932,427
2021-05-12,1932,427
2021-05-13,1939,427
2021-05-14,1939,427
2021-05-15,1939,427
2021-05-16,1939,427
2021-05-17,1939,434
2021-05-18,1953,434
2021-05-19,1960,434
2021-05-20,1960,434
2021-05-21,1967,434
total,133063,11116
