,False,True
2020-11-28,1454481,11361
2020-11-29,1454481,11361
2020-11-30,1454474,11361
2020-12-01,1454397,11361
2020-12-02,1454390,11361
2020-12-03,1454390,11361
2020-12-04,1454383,11361
2020-12-05,1454383,11361
2020-12-06,1454383,11361
2020-12-07,1454362,11361
2020-12-08,1453438,11354
2020-12-09,1452416,11354
2020-12-10,1450428,11340
2020-12-11,1448349,11326
2020-12-12,1447026,11319
2020-12-13,1446732,11319
2020-12-14,1444226,11305
2020-12-15,1421084,11193
2020-12-16,1378447,10976
2020-12-17,1336839,10773
2020-12-18,1303204,10584
2020-12-19,1259776,10367
2020-12-20,1230285,10206
2020-12-21,1211777,10101
2020-12-22,1178905,9947
2020-12-23,1151696,9800
2020-12-24,1145277,9758
2020-12-25,1145270,9758
2020-12-26,1145228,9758
2020-12-27,1145151,9758
2020-12-28,1144899,9758
2020-12-29,1135288,9702
2020-12-30,1113343,9576
2020-12-31,1098482,9464
2021-01-01,1094590,9443
2021-01-02,1088388,9415
2021-01-03,1087499,9408
2021-01-04,1086064,9401
2021-01-05,1080660,9366
2021-01-06,1070923,9282
2021-01-07,1025304,9030
2021-01-08,962129,8624
2021-01-09,908509,8267
2021-01-10,885381,8127
2021-01-11,871990,8022
2021-01-12,840441,7819
2021-01-13,784840,7469
2021-01-14,718137,7028
2021-01-15,640003,6496
2021-01-16,572348,6055
2021-01-17,544306,5866
2021-01-18,523264,5670
2021-01-19,466151,5299
2021-01-20,424011,4977
2021-01-21,380961,4592
2021-01-22,331093,4186
2021-01-23,287861,3857
2021-01-24,274743,3766
2021-01-25,258790,3577
2021-01-26,242865,3409
2021-01-27,226464,3227
2021-01-28,204092,2996
2021-01-29,183176,2800
2021-01-30,167216,2625
2021-01-31,161175,2576
2021-02-01,153097,2464
2021-02-02,145292,2352
2021-02-03,137200,2226
2021-02-04,129108,2079
2021-02-05,121478,1960
2021-02-06,116249,1890
2021-02-07,113799,1848
2021-02-08,108549,1757
2021-02-09,102858,1673
2021-02-10,96747,1575
2021-02-11,91063,1477
2021-02-12,85610,1379
2021-02-13,82306,1337
2021-02-14,81193,1323
2021-02-15,79023,1288
2021-02-16,76923,1260
2021-02-17,74823,1218
2021-02-18,72765,1190
2021-02-19,71190,1169
2021-02-20,70175,1148
2021-02-21,69832,1141
2021-02-22,68789,1120
2021-02-23,67424,1106
2021-02-24,65989,1078
2021-02-25,64498,1043
2021-02-26,63196,1022
2021-02-27,62412,1008
2021-02-28,62118,1008
2021-03-01,61439,994
2021-03-02,60578,973
2021-03-03,59647,952
2021-03-04,58415,924
2021-03-05,57099,889
2021-03-06,56301,882
2021-03-07,56070,875
2021-03-08,55517,868
2021-03-09,54810,854
2021-03-10,54040,847
2021-03-11,53256,826
2021-03-12,52549,812
2021-03-13,52094,812
2021-03-14,51926,812
2021-03-15,51450,798
2021-03-16,50834,784
2021-03-17,50274,770
2021-03-18,49602,756
2021-03-19,48965,742
2021-03-20,48573,735
2021-03-21,48440,735
2021-03-22,48062,728
2021-03-23,47530,714
2021-03-24,47012,707
2021-03-25,46368,700
2021-03-26,45871,686
2021-03-27,45479,679
2021-03-28,45318,679
2021-03-29,44940,672
2021-03-30,44492,665
2021-03-31,44023,658
2021-04-01,43610,651
2021-04-02,43491,644
2021-04-03,43358,644
2021-04-04,43316,644
2021-04-05,43267,644
2021-04-06,43043,644
2021-04-07,42735,637
2021-04-08,42392,630
2021-04-09,42000,616
2021-04-10,41755,616
2021-04-11,41664,616
2021-04-12,41454,609
2021-04-13,41230,609
2021-04-14,41034,609
2021-04-15,40796,602
2021-04-16,40530,602
2021-04-17,40390,602
2021-04-18,40341,602
2021-04-19,40222,602
2021-04-20,40068,595
2021-04-21,39865,595
2021-04-22,39711,595
2021-04-23,39550,588
2021-04-24,39459,588
2021-04-25,39417,588
2021-04-26,39298,588
2021-04-27,39151,588
2021-04-28,38969,581
2021-04-29,38808,581
2021-04-30,38633,574
2021-05-01,38591,574
2021-05-02,38570,574
2021-05-03,38549,574
2021-05-04,38458,567
2021-05-05,38339,567
2021-05-06,38234,567
2021-05-07,38122,560
2021-05-08,38052,560
2021-05-09,38024,560
2021-05-10,37954,560
2021-05-11,37814,553
2021-05-12,37688,553
2021-05-13,37569,546
2021-05-14,37450,546
2021-05-15,37394,546
2021-05-16,37359,546
2021-05-17,37282,546
2021-05-18,37163,546
2021-05-19,37037,539
2021-05-20,36911,532
2021-05-21,36806,525
2021-05-22,36764,525
2021-05-23,36764,525
2021-05-24,36764,525
total,1454502,11361
