,1,2,3,4,5
2020-11-28,0,0,0,0,0
2020-11-29,0,0,0,0,0
2020-11-30,0,0,0,0,0
2020-12-01,0,0,7,0,0
2020-12-02,0,7,7,0,0
2020-12-03,0,7,7,0,0
2020-12-04,0,7,7,0,0
2020-12-05,0,7,7,0,0
2020-12-06,0,7,7,0,0
2020-12-07,0,7,7,0,0
2020-12-08,77,56,70,70,77
2020-12-09,182,154,161,196,196
2020-12-10,308,294,287,357,343
2020-12-11,434,441,448,525,518
2020-12-12,525,553,553,672,672
2020-12-13,574,616,609,735,728
2020-12-14,665,714,735,854,882
2020-12-15,840,917,994,1071,1204
2020-12-16,1085,1155,1260,1344,1498
2020-12-17,1351,1463,1589,1687,1897
2020-12-18,1575,1813,1953,2065,2296
2020-12-19,1799,2058,2212,2359,2639
2020-12-20,2086,2387,2618,2737,3073
2020-12-21,2464,2821,3073,3220,3598
2020-12-22,2821,3199,3479,3654,4102
2020-12-23,3199,3654,3997,4137,4662
2020-12-24,3388,3871,4242,4368,4893
2020-12-25,3388,3878,4249,4375,4900
2020-12-26,3402,3913,4284,4403,4928
2020-12-27,3451,3983,4354,4452,4984
2020-12-28,3521,4095,4466,4557,5103
2020-12-29,3864,4480,4893,5005,5495
2020-12-30,4599,5222,5698,5733,6174
2020-12-31,5145,5859,6412,6391,6797
2021-01-01,5278,6055,6650,6608,7056
2021-01-02,5488,6307,6909,6881,7329
2021-01-03,5642,6489,7084,7105,7518
2021-01-04,5915,6846,7434,7441,7868
2021-01-05,6468,7546,8176,8127,8519
2021-01-06,7210,8526,9121,9156,9450
2021-01-07,8225,9702,10381,10479,10717
2021-01-08,9471,11088,11844,11928,12243
2021-01-09,10493,12208,13118,13230,13405
2021-01-10,11116,12880,13909,14028,14259
2021-01-11,12096,13930,15022,15078,15260
2021-01-12,13279,15232,16310,16247,16422
2021-01-13,14658,16744,17794,17626,17675
2021-01-14,16233,18480,19502,19215,19208
2021-01-15,17990,20363,21427,21042,20986
2021-01-16,19348,21672,22834,22372,22323
2021-01-17,20111,22505,23723,23254,23184
2021-01-18,21301,23737,24976,24479,24493
2021-01-19,22666,25228,26418,25879,25725
2021-01-20,24178,26831,27930,27412,27076
2021-01-21,25858,28623,29715,29064,28644
2021-01-22,27741,30695,31654,31010,30317
2021-01-23,29358,32326,33453,32592,31822
2021-01-24,30268,33229,34475,33439,32634
2021-01-25,31444,34384,35567,34433,33509
2021-01-26,32781,35665,36806,35651,34664
2021-01-27,34216,37345,38157,37044,35882
2021-01-28,35889,38983,39697,38535,37212
2021-01-29,37625,40845,41608,40173,38731
2021-01-30,38934,42273,43106,41531,40026
2021-01-31,39900,43414,44401,42567,40978
2021-02-01,41153,44681,45640,43645,41972
2021-02-02,42868,46333,47145,45031,43127
2021-02-03,44611,48223,48797,46704,44541
2021-02-04,46872,50393,50624,48370,45920
2021-02-05,49147,52955,52899,50288,47551
2021-02-06,51457,55622,55720,52759,50099
2021-02-07,52416,56819,56861,54040,51226
2021-02-08,54054,58485,58170,55391,52269
2021-02-09,56098,60767,60137,57218,53865
2021-02-10,58765,63623,62769,59836,55832
2021-02-11,61523,67165,66255,63133,58471
2021-02-12,65961,72485,71729,67536,62636
2021-02-13,71344,77861,77266,72597,66878
2021-02-14,73591,80661,80003,75733,69867
2021-02-15,77413,84875,83573,78932,72352
2021-02-16,85435,93366,91497,86744,79219
2021-02-17,98476,107632,106211,100933,93205
2021-02-18,111832,122031,121303,115423,107450
2021-02-19,123578,133700,132769,128135,119182
2021-02-20,135114,145880,146216,140252,131453
2021-02-21,138789,148869,149184,143409,134701
2021-02-22,143857,154343,153727,147987,139412
2021-02-23,155456,166866,165830,159957,150703
2021-02-24,173516,184618,184240,178157,168504
2021-02-25,191275,201565,201390,195937,187334
2021-02-26,208509,218848,219555,214333,207515
2021-02-27,223041,233961,235417,229495,222964
2021-02-28,227290,238364,239729,233569,226842
2021-03-01,231707,242746,243628,237055,229887
2021-03-02,237370,248080,248479,241738,234311
2021-03-03,244755,255381,254996,247828,239645
2021-03-04,257383,267449,266168,258111,250180
2021-03-05,273798,282051,280574,273385,266875
2021-03-06,287882,295029,293972,286951,282751
2021-03-07,291823,298361,297178,290486,286342
2021-03-08,297087,303569,301455,294819,290227
2021-03-09,302855,308917,305648,298585,293860
2021-03-10,309652,314587,310310,302960,298648
2021-03-11,316211,320103,314678,307132,302610
2021-03-12,326011,328426,322000,314720,310044
2021-03-13,340760,340893,332878,324919,320712
2021-03-14,346059,346185,337946,329728,325899
2021-03-15,353325,353339,343672,335244,331926
2021-03-16,361893,361179,349979,341047,338121
2021-03-17,369908,368270,355698,346234,343056
2021-03-18,377440,374878,361522,351652,348838
2021-03-19,385854,382116,367549,357231,355005
2021-03-20,394730,390201,375263,364000,361291
2021-03-21,397866,393134,378448,366639,364014
2021-03-22,401030,396494,381241,369208,366534
2021-03-23,404747,399861,383866,371357,368662
2021-03-24,408436,403221,386344,373527,370832
2021-03-25,412972,406959,389193,376110,373324
2021-03-26,417641,410816,392014,378651,375704
2021-03-27,422968,415037,395521,381766,378742
2021-03-28,425096,416983,397180,383194,380184
2021-03-29,427693,419237,398839,384594,381563
2021-03-30,430325,421302,400344,385945,382767
2021-03-31,432957,423486,401919,387394,384118
2021-04-01,435127,425040,403018,388430,385028
2021-04-02,435967,425733,403508,388878,385392
2021-04-03,437227,426678,404187,389473,385980
2021-04-04,437598,427000,404390,389655,386106
2021-04-05,437878,427245,404565,389795,386225
2021-04-06,438949,428141,405167,390278,386701
2021-04-07,440167,429058,405762,390754,387128
2021-04-08,441483,430003,406336,391167,387436
2021-04-09,442589,430892,406945,391622,387821
2021-04-10,443674,431690,407533,392042,388185
2021-04-11,444164,432047,407771,392252,388360
2021-04-12,444633,432439,407988,392455,388507
2021-04-13,445277,432852,408233,392651,388661
2021-04-14,445963,433328,408590,392959,388941
2021-04-15,446635,433846,408926,393267,389214
2021-04-16,447356,434406,409339,393645,389592
2021-04-17,447986,434966,409752,394002,389998
2021-04-18,448259,435239,409948,394198,390187
2021-04-19,448707,435631,410235,394471,390439
2021-04-20,449344,436065,410557,394709,390719
2021-04-21,449834,436604,410921,395038,391048
2021-04-22,450436,437087,411264,395388,391370
2021-04-23,451101,437647,411677,395724,391741
2021-04-24,451682,438081,412062,396053,392133
2021-04-25,451906,438298,412216,396200,392294
2021-04-26,452333,438655,412496,396424,392532
2021-04-27,452907,439075,412860,396669,392791
2021-04-28,453481,439523,413189,396991,393127
2021-04-29,454083,440013,413609,397341,393470
2021-04-30,454636,440559,413973,397670,393876
2021-05-01,455105,441000,414309,397978,394219
2021-05-02,455308,441182,414477,398132,394394
2021-05-03,455427,441315,414589,398251,394520
2021-05-04,455812,441693,414848,398510,394814
2021-05-05,456344,442162,415177,398853,395136
2021-05-06,456876,442596,415513,399196,395444
2021-05-07,457443,443079,415884,399553,395815
2021-05-08,457891,443506,416311,399903,396207
2021-05-09,458129,443730,416472,400071,396403
2021-05-10,458549,444122,416745,400274,396634
2021-05-11,459228,444647,417158,400638,396963
2021-05-12,460047,445277,417725,401128,397418
2021-05-13,460831,446026,418313,401632,397964
