,F,M
2020-11-28,42,14
2020-11-29,42,14
2020-11-30,49,21
2020-12-01,112,70
2020-12-02,119,77
2020-12-03,126,77
2020-12-04,133,77
2020-12-05,133,84
2020-12-06,133,84
2020-12-07,147,91
2020-12-08,749,637
2020-12-09,1435,1225
2020-12-10,2709,2289
2020-12-11,4067,3409
2020-12-12,4914,4158
2020-12-13,5145,4326
2020-12-14,6748,5628
2020-12-15,19488,17038
2020-12-16,43246,37758
2020-12-17,67179,57484
2020-12-18,86800,73668
2020-12-19,112182,94444
2020-12-20,130291,108850
2020-12-21,142429,118146
2020-12-22,161896,134309
2020-12-23,179095,148064
2020-12-24,183498,151473
2020-12-25,183540,151494
2020-12-26,183624,151543
2020-12-27,183757,151620
2020-12-28,184079,151802
2020-12-29,191548,157213
2020-12-30,212618,170954
2020-12-31,228340,181328
2021-01-01,232715,184296
2021-01-02,238392,188594
2021-01-03,239575,189427
2021-01-04,241045,190351
2021-01-05,246939,194264
2021-01-06,257460,201313
2021-01-07,297598,231735
2021-01-08,353010,272335
2021-01-09,400386,306103
2021-01-10,420231,320537
2021-01-11,436506,331569
2021-01-12,466221,352604
2021-01-13,519400,392070
2021-01-14,584703,439565
2021-01-15,659827,494291
2021-01-16,722365,539182
2021-01-17,749196,559426
2021-01-18,772821,575897
2021-01-19,837403,626164
2021-01-20,899500,674219
2021-01-21,977494,736470
2021-01-22,1081633,819777
2021-01-23,1183931,901250
2021-01-24,1222466,933415
2021-01-25,1258509,963095
2021-01-26,1298969,995904
2021-01-27,1341179,1029630
2021-01-28,1409989,1088430
2021-01-29,1517999,1182818
2021-01-30,1622208,1272264
2021-01-31,1681400,1325023
2021-02-01,1738268,1376074
2021-02-02,1800470,1431969
2021-02-03,1873165,1497909
2021-02-04,1950557,1568007
2021-02-05,2032394,1642053
2021-02-06,2120979,1720691
2021-02-07,2161712,1757756
2021-02-08,2208766,1800750
2021-02-09,2265109,1852389
2021-02-10,2328284,1910685
2021-02-11,2401742,1979194
2021-02-12,2480877,2052771
2021-02-13,2556246,2122043
2021-02-14,2583378,2147054
2021-02-15,2614535,2176111
2021-02-16,2653700,2213281
2021-02-17,2693670,2251172
2021-02-18,2729993,2285556
2021-02-19,2753905,2308355
2021-02-20,2774737,2327633
2021-02-21,2781618,2334486
2021-02-22,2791894,2344391
2021-02-23,2805173,2356816
2021-02-24,2821014,2371418
2021-02-25,2838115,2387070
2021-02-26,2852535,2400475
2021-02-27,2862657,2409694
2021-02-28,2866759,2413446
2021-03-01,2871330,2417625
2021-03-02,2876335,2422182
2021-03-03,2882145,2427257
2021-03-04,2889138,2433361
2021-03-05,2897013,2440200
2021-03-06,2903131,2445863
2021-03-07,2904937,2447494
2021-03-08,2908360,2450784
2021-03-09,2911797,2453780
2021-03-10,2915409,2456860
2021-03-11,2918895,2459821
2021-03-12,2922661,2463412
2021-03-13,2926693,2467206
2021-03-14,2928520,2469110
2021-03-15,2931418,2471819
2021-03-16,2934456,2474612
2021-03-17,2937221,2477104
2021-03-18,2940084,2479666
2021-03-19,2942884,2482326
2021-03-20,2945334,2484664
2021-03-21,2946209,2485644
2021-03-22,2947742,2487135
2021-03-23,2949730,2488899
2021-03-24,2951585,2490579
2021-03-25,2953783,2492539
2021-03-26,2955722,2494275
2021-03-27,2957479,2495920
2021-03-28,2958214,2496578
2021-03-29,2959516,2497796
2021-03-30,2960909,2499077
2021-03-31,2962421,2500407
2021-04-01,2963548,2501331
2021-04-02,2963891,2501674
2021-04-03,2964346,2502066
2021-04-04,2964458,2502178
2021-04-05,2964570,2502297
2021-04-06,2965270,2502913
2021-04-07,2966096,2503662
2021-04-08,2967020,2504460
2021-04-09,2967958,2505272
2021-04-10,2968616,2505881
2021-04-11,2968896,2506112
2021-04-12,2969414,2506567
2021-04-13,2970023,2507120
2021-04-14,2970653,2507652
2021-04-15,2971290,2508275
2021-04-16,2972046,2508989
2021-04-17,2972459,2509353
2021-04-18,2972613,2509493
2021-04-19,2972984,2509787
2021-04-20,2973474,2510200
2021-04-21,2973999,2510634
2021-04-22,2974552,2511138
2021-04-23,2975147,2511621
2021-04-24,2975497,2511915
2021-04-25,2975630,2512055
2021-04-26,2976015,2512377
2021-04-27,2976442,2512762
2021-04-28,2976904,2513140
2021-04-29,2977345,2513560
2021-04-30,2977863,2514036
2021-05-01,2978059,2514260
2021-05-02,2978157,2514330
2021-05-03,2978234,2514414
2021-05-04,2978528,2514652
2021-05-05,2978927,2514988
2021-05-06,2979277,2515310
2021-05-07,2979690,2515667
2021-05-08,2979970,2515898
2021-05-09,2980075,2516010
2021-05-10,2980341,2516213
2021-05-11,2980817,2516640
2021-05-12,2981244,2516990
2021-05-13,2981692,2517375
2021-05-14,2982154,2517732
2021-05-15,2982434,2517963
2021-05-16,2982567,2518075
2021-05-17,2982833,2518292
2021-05-18,2983197,2518614
2021-05-19,2983610,2518992
2021-05-20,2984072,2519356
2021-05-21,2984401,2519657
2021-05-22,2984590,2519832
2021-05-23,2984590,2519839
2021-05-24,2984597,2519846
total,3091837,2630229
