,1,2,3,4,5,6
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,14,0,7,0,0,0
2020-12-02,14,0,7,0,0,7
2020-12-03,14,0,7,0,0,7
2020-12-04,21,0,7,0,0,14
2020-12-05,21,0,7,0,0,14
2020-12-06,21,0,7,0,0,14
2020-12-07,21,0,7,0,0,14
2020-12-08,385,7,49,7,7,133
2020-12-09,952,21,140,28,21,336
2020-12-10,1631,42,238,56,35,609
2020-12-11,2366,63,385,91,49,924
2020-12-12,3003,77,476,112,56,1127
2020-12-13,3269,77,518,119,70,1211
2020-12-14,3773,98,609,140,77,1449
2020-12-15,4886,126,798,182,91,1841
2020-12-16,6146,154,1022,231,119,2268
2020-12-17,7623,203,1302,287,147,2856
2020-12-18,9086,245,1631,350,175,3486
2020-12-19,10318,273,1827,399,196,4018
2020-12-20,11928,308,2163,455,231,4641
2020-12-21,14007,350,2450,546,273,5432
2020-12-22,15939,392,2758,630,301,6153
2020-12-23,18116,427,3143,714,343,6951
2020-12-24,19054,455,3339,770,364,7371
2020-12-25,19061,455,3360,770,364,7378
2020-12-26,19180,455,3402,777,371,7420
2020-12-27,19418,469,3465,805,378,7518
2020-12-28,19852,476,3570,826,392,7707
2020-12-29,21581,532,3934,924,434,8414
2020-12-30,24808,609,4585,1141,504,9751
2020-12-31,27580,672,5166,1309,574,10899
2021-01-01,28504,700,5348,1330,595,11235
2021-01-02,29652,728,5558,1386,609,11676
2021-01-03,30492,742,5684,1421,623,11949
2021-01-04,31836,791,5957,1505,651,12558
2021-01-05,34601,868,6531,1708,721,13692
2021-01-06,38472,973,7245,1960,805,15148
2021-01-07,43631,1113,8232,2289,896,17220
2021-01-08,50050,1239,9282,2632,1015,19705
2021-01-09,55489,1358,10143,2933,1085,21791
2021-01-10,58702,1442,10647,3073,1134,23107
2021-01-11,63126,1561,11284,3416,1218,24857
2021-01-12,68544,1694,12103,3850,1316,26908
2021-01-13,75187,1848,13188,4445,1435,29351
2021-01-14,82964,2030,14504,5131,1561,32046
2021-01-15,91728,2282,15855,5880,1708,35189
2021-01-16,98056,2429,16968,6314,1799,37471
2021-01-17,101990,2527,17647,6552,1862,38941
2021-01-18,107905,2667,18389,7070,1953,41062
2021-01-19,115395,2898,19446,7770,2107,43575
2021-01-20,124824,3143,20839,8638,2282,46844
2021-01-21,136164,3451,22372,9681,2471,50589
2021-01-22,150661,3815,24052,10850,2681,55461
2021-01-23,165858,4144,25823,11760,2968,60900
2021-01-24,173467,4305,26817,12222,3108,63462
2021-01-25,181895,4494,27797,12943,3262,66353
2021-01-26,192178,4746,29043,13825,3458,69923
2021-01-27,204652,5033,30989,14889,3703,74319
2021-01-28,221543,5397,33460,16233,3997,79716
2021-01-29,244538,5901,36274,18011,4424,87080
