,False,True
2020-11-28,3655596,36344
2020-11-29,3655596,36344
2020-11-30,3655596,36344
2020-12-01,3655575,36344
2020-12-02,3655568,36344
2020-12-03,3655568,36344
2020-12-04,3655561,36344
2020-12-05,3655554,36344
2020-12-06,3655554,36344
2020-12-07,3655554,36344
2020-12-08,3655008,36344
2020-12-09,3654112,36337
2020-12-10,3652999,36337
2020-12-11,3651739,36330
2020-12-12,3650766,36330
2020-12-13,3650353,36323
2020-12-14,3649478,36323
2020-12-15,3647700,36316
2020-12-16,3645691,36309
2020-12-17,3643227,36295
2020-12-18,3640686,36288
2020-12-19,3638628,36281
2020-12-20,3635940,36267
2020-12-21,3632622,36260
2020-12-22,3629514,36253
2020-12-23,3626014,36239
2020-12-24,3624362,36232
2020-12-25,3624334,36232
2020-12-26,3624110,36232
2020-12-27,3623662,36232
2020-12-28,3622885,36232
2020-12-29,3619903,36225
2020-12-30,3614331,36211
2020-12-31,3609550,36197
2021-01-01,3608038,36190
2021-01-02,3606141,36183
2021-01-03,3604860,36176
2021-01-04,3602473,36169
2021-01-05,3597678,36148
2021-01-06,3591217,36120
2021-01-07,3582474,36085
2021-01-08,3571974,36036
2021-01-09,3563133,36008
2021-01-10,3557862,35973
2021-01-11,3550540,35945
2021-01-12,3541629,35896
2021-01-13,3530632,35854
2021-01-14,3517899,35805
2021-01-15,3503549,35742
2021-01-16,3493224,35693
2021-01-17,3486770,35665
2021-01-18,3477271,35630
2021-01-19,3465161,35588
2021-01-20,3449845,35525
2021-01-21,3431750,35469
2021-01-22,3409007,35406
2021-01-23,3385158,35336
2021-01-24,3373258,35301
2021-01-25,3359944,35259
2021-01-26,3343564,35210
2021-01-27,3323215,35140
2021-01-28,3296538,35063
2021-01-29,3260761,34958
2021-01-30,3226510,34874
2021-01-31,3202339,34825
2021-02-01,3179484,34741
2021-02-02,3151288,34664
2021-02-03,3111948,34566
2021-02-04,3068870,34454
2021-02-05,3020654,34328
2021-02-06,2959320,34202
2021-02-07,2935464,34160
2021-02-08,2905581,34076
2021-02-09,2866997,33992
2021-02-10,2829778,33894
2021-02-11,2787624,33782
2021-02-12,2736608,33656
2021-02-13,2686551,33551
2021-02-14,2665397,33502
2021-02-15,2639427,33439
2021-02-16,2588768,33348
2021-02-17,2502325,33222
2021-02-18,2414643,33068
2021-02-19,2341528,32907
2021-02-20,2266264,32732
2021-02-21,2245425,32662
2021-02-22,2213225,32529
2021-02-23,2137989,32256
2021-02-24,2025352,31836
2021-02-25,1908823,31311
2021-02-26,1790292,30786
2021-02-27,1690941,30268
2021-02-28,1662122,30086
2021-03-01,1634710,29869
2021-03-02,1600347,29638
2021-03-03,1558046,29386
2021-03-04,1488102,29050
2021-03-05,1394974,28637
2021-03-06,1310743,28252
2021-03-07,1288798,28133
2021-03-08,1260532,27944
2021-03-09,1232091,27776
2021-03-10,1200297,27601
2021-03-11,1171016,27412
2021-03-12,1125026,27132
2021-03-13,1059324,26852
2021-03-14,1031219,26733
2021-03-15,995743,26544
2021-03-16,957019,26313
2021-03-17,922509,26068
2021-03-18,887621,25844
2021-03-19,849989,25599
2021-03-20,807744,25368
2021-03-21,791490,25270
2021-03-22,774816,25123
2021-03-23,758191,24955
2021-03-24,741272,24787
2021-03-25,721651,24591
2021-03-26,701848,24402
2021-03-27,679056,24199
2021-03-28,668906,24087
2021-03-29,657692,23968
2021-03-30,646772,23856
2021-03-31,635341,23723
2021-04-01,627060,23653
2021-04-02,623588,23611
2021-04-03,618611,23562
2021-04-04,617148,23548
2021-04-05,615972,23541
2021-04-06,611485,23478
2021-04-07,606802,23422
2021-04-08,602273,23373
2021-04-09,597695,23317
2021-04-10,593530,23275
2021-04-11,591633,23254
2021-04-12,589645,23226
2021-04-13,587237,23198
2021-04-14,584458,23163
2021-04-15,581630,23121
2021-04-16,578424,23072
2021-04-17,575484,23037
2021-04-18,574112,23009
2021-04-19,572082,22995
2021-04-20,569695,22946
2021-04-21,567063,22925
2021-04-22,564354,22869
2021-04-23,561323,22799
2021-04-24,558719,22757
2021-04-25,557592,22729
2021-04-26,555681,22694
2021-04-27,553371,22645
2021-04-28,550844,22582
2021-04-29,548044,22519
2021-04-30,545307,22456
2021-05-01,543046,22407
2021-05-02,542038,22393
2021-05-03,541345,22379
2021-05-04,539420,22330
2021-05-05,536914,22253
2021-05-06,534464,22183
2021-05-07,531853,22092
2021-05-08,529438,22043
2021-05-09,528283,22008
2021-05-10,526463,21945
2021-05-11,523649,21826
2021-05-12,520037,21651
2021-05-13,516264,21483
2021-05-14,512351,21301
2021-05-15,508557,21161
2021-05-16,506856,21084
2021-05-17,505029,21028
2021-05-18,501760,20902
2021-05-19,497875,20692
2021-05-20,493598,20503
2021-05-21,490343,20342
2021-05-22,487571,20223
2021-05-23,487508,20216
2021-05-24,487466,20216
total,3655610,36344
