,1,2,3,4,5,6
2020-11-29,0,0,0,0,0,0
2020-11-30,7,0,0,0,0,0
2020-12-01,21,0,0,0,0,0
2020-12-02,21,0,0,0,0,7
2020-12-03,28,0,0,0,0,7
2020-12-04,28,0,0,0,0,7
2020-12-05,28,0,0,0,0,7
2020-12-06,35,0,7,0,0,7
2020-12-07,35,0,7,0,0,14
2020-12-08,420,0,42,0,7,175
2020-12-09,1057,7,105,21,21,525
2020-12-10,1834,21,210,42,42,938
2020-12-11,2681,42,301,63,63,1372
2020-12-12,3353,49,378,77,77,1673
2020-12-13,3710,63,420,77,84,1862
2020-12-14,4487,70,504,91,98,2261
2020-12-15,5992,105,658,133,112,3024
2020-12-16,7763,133,840,168,140,3871
2020-12-17,10024,168,1092,224,182,5075
2020-12-18,12285,196,1386,287,231,6286
2020-12-19,14315,224,1582,336,245,7287
2020-12-20,17038,259,1869,392,280,8603
2020-12-21,20237,301,2156,462,315,10101
2020-12-22,23282,343,2464,525,364,11550
2020-12-23,26670,392,2765,602,420,13069
2020-12-24,28182,413,2940,630,448,13811
2020-12-25,28189,413,2947,630,448,13811
2020-12-26,28378,413,2989,644,455,13888
2020-12-27,28728,427,3045,658,469,14056
2020-12-28,29344,441,3122,700,476,14420
2020-12-29,31773,476,3437,763,539,15652
2020-12-30,36344,560,3962,931,616,17878
2020-12-31,40558,637,4445,1078,714,19831
2021-01-01,41937,665,4613,1106,735,20496
2021-01-02,43582,686,4795,1155,770,21266
2021-01-03,44884,707,4900,1176,784,21812
2021-01-04,47271,756,5152,1260,840,22967
2021-01-05,51842,833,5642,1428,910,25207
2021-01-06,58233,931,6272,1659,1008,28231
2021-01-07,67095,1064,7028,1946,1148,32333
2021-01-08,77056,1225,7805,2289,1302,36848
2021-01-09,85036,1323,8456,2478,1400,40495
2021-01-10,90279,1386,8883,2590,1456,42840
2021-01-11,97454,1526,9415,2870,1561,46011
2021-01-12,106351,1659,9989,3283,1687,49847
2021-01-13,116123,1848,10787,3794,1834,54292
2021-01-14,126917,1995,11634,4340,1946,58968
2021-01-15,138810,2205,12558,4914,2121,63889
2021-01-16,148029,2338,13272,5236,2247,67690
2021-01-17,154224,2415,13748,5446,2324,70224
2021-01-18,162659,2555,14259,5824,2436,73766
2021-01-19,171710,2695,14868,6321,2555,77623
2021-01-20,181496,2849,15519,6853,2681,81809
2021-01-21,192094,3031,16240,7427,2814,86275
2021-01-22,203490,3220,16947,8008,2954,90979
2021-01-23,212828,3353,17556,8393,3073,94857
2021-01-24,218225,3437,17906,8589,3136,97097
2021-01-25,224959,3528,18284,8897,3227,99834
2021-01-26,232764,3640,18746,9310,3325,102963
2021-01-27,241003,3759,19306,9786,3423,106218
2021-01-28,249130,3913,19880,10283,3535,109578
2021-01-29,258139,4074,20510,10815,3654,113260
2021-01-30,265636,4207,21189,11109,3752,116249
2021-01-31,271131,4291,21623,11319,3822,118531
2021-02-01,277004,4382,22036,11662,3913,121121
2021-02-02,283850,4515,22575,12131,4039,124096
2021-02-03,291452,4641,23198,12614,4151,127491
2021-02-04,298970,4823,23968,13167,4333,130676
2021-02-05,306796,4991,24787,13790,4487,134050
2021-02-06,314643,5124,25592,14168,4620,137228
2021-02-07,318962,5194,25984,14357,4683,138838
2021-02-08,323988,5292,26334,14651,4767,140959
2021-02-09,330337,5397,27055,15078,4886,143640
2021-02-10,337540,5544,28175,15589,5026,146685
2021-02-11,346584,5726,29414,16170,5243,150276
2021-02-12,359555,5999,30940,16975,5502,155078
2021-02-13,374171,6216,32312,17584,5754,160734
2021-02-14,382788,6349,33194,17878,5915,163996
2021-02-15,391370,6489,34041,18319,6090,167363
2021-02-16,406651,6720,35315,19019,6356,173117
2021-02-17,431991,7042,37079,19950,6783,182721
2021-02-18,456519,7385,39004,20909,7175,191541
2021-02-19,476938,7672,40481,21812,7581,199325
2021-02-20,497112,7959,42315,22708,7924,206997
2021-02-21,503706,8071,42959,22960,8043,209587
2021-02-22,513527,8246,43862,23485,8218,213367
2021-02-23,535360,8568,45493,24367,8673,220696
2021-02-24,570003,9009,47579,25627,9226,233583
2021-02-25,609658,9534,50330,26922,9842,248437
2021-02-26,652764,9989,52794,28210,10402,264327
2021-02-27,692160,10409,55447,29407,10983,279251
2021-02-28,712264,10626,56665,29897,11284,287343
2021-03-01,734790,10850,57778,30471,11599,296317
2021-03-02,761579,11144,59171,31241,12075,307048
2021-03-03,793492,11508,61103,32221,12572,319893
2021-03-04,836080,12005,63497,33572,13272,336763
2021-03-05,890288,12593,66521,35196,14098,357644
2021-03-06,944713,13321,70014,36974,15029,380219
2021-03-07,972510,13636,71827,37723,15561,391671
2021-03-08,1006558,13986,73577,38591,16149,406441
2021-03-09,1041404,14420,75593,39746,16807,421274
2021-03-10,1083019,14966,78036,41342,17633,438697
2021-03-11,1125495,15554,80661,43113,18480,456722
2021-03-12,1181922,16261,84140,45066,19495,481880
2021-03-13,1270402,17346,89362,47558,21000,519295
2021-03-14,1316798,17885,92281,48636,21868,539028
2021-03-15,1386161,18732,96096,50624,23184,570185
2021-03-16,1468544,19677,100534,52836,24640,606550
2021-03-17,1557150,20762,104699,55398,26243,645939
2021-03-18,1663361,21966,110271,57981,28007,692195
2021-03-19,1802381,23653,117068,61705,30170,753144
2021-03-20,1966272,25711,125412,66472,33187,825895
2021-03-21,2033031,26572,129262,68439,34552,857682
2021-03-22,2090746,27419,132524,70287,35882,886025
2021-03-23,2142063,28168,135597,72072,37107,910063
2021-03-24,2190986,28931,138775,74179,38276,933933
2021-03-25,2239538,29715,142324,76370,39424,958391
2021-03-26,2290715,30639,145992,79254,40579,984592
2021-03-27,2353477,31584,150150,82096,41972,1017331
2021-03-28,2382429,32109,152495,83419,42833,1032241
2021-03-29,2405767,32529,154385,84602,43554,1044505
2021-03-30,2425402,32879,156044,85750,44212,1055187
2021-03-31,2444722,33285,157682,87073,44800,1065883
2021-04-01,2453850,33481,158662,87794,45080,1070888
2021-04-02,2459184,33614,159208,88186,45255,1073667
2021-04-03,2465897,33775,160027,88746,45479,1077314
2021-04-04,2467913,33817,160349,88914,45549,1078371
2021-04-05,2469173,33852,160510,89040,45598,1079008
2021-04-06,2472463,33936,160986,89432,45787,1080758
2021-04-07,2475662,34055,161539,89894,45934,1082522
2021-04-08,2478413,34139,162015,90328,46060,1083999
2021-04-09,2481927,34258,162512,90818,46214,1086001
2021-04-10,2485518,34370,163058,91315,46375,1088087
2021-04-11,2487170,34419,163324,91518,46459,1088962
2021-04-12,2488395,34461,163492,91693,46522,1089592
2021-04-13,2489669,34503,163646,91868,46578,1090250
