,1,2,3,4,5
2020-11-28,775460,883393,937097,990129,1093232
2020-11-29,775460,883386,937097,990129,1093232
2020-11-30,775460,883386,937097,990129,1093232
2020-12-01,775460,883386,937083,990122,1093225
2020-12-02,775460,883379,937083,990122,1093225
2020-12-03,775460,883379,937083,990122,1093225
2020-12-04,775460,883379,937083,990115,1093218
2020-12-05,775460,883379,937083,990115,1093218
2020-12-06,775460,883379,937076,990115,1093211
2020-12-07,775460,883379,937076,990115,1093211
2020-12-08,775362,883281,936978,989982,1093050
2020-12-09,775187,883085,936775,989730,1092749
2020-12-10,774970,882840,936537,989422,1092399
2020-12-11,774760,882595,936250,989121,1092014
2020-12-12,774627,882441,936033,988848,1091699
2020-12-13,774536,882343,935907,988715,1091538
2020-12-14,774403,882119,935641,988428,1091146
2020-12-15,774088,881706,935123,987854,1090453
2020-12-16,773696,881237,934535,987203,1089648
2020-12-17,773206,880565,933765,986335,1088591
2020-12-18,772744,879963,932981,985390,1087471
2020-12-19,772331,879487,932302,984627,1086477
2020-12-20,771813,878773,931434,983612,1085154
2020-12-21,771106,877926,930398,982450,1083754
2020-12-22,770448,877135,929488,981239,1082368
2020-12-23,769650,876232,928431,980014,1080954
2020-12-24,769258,875826,927927,979440,1080317
2020-12-25,769258,875819,927920,979440,1080310
2020-12-26,769209,875749,927850,979370,1080240
2020-12-27,769125,875609,927724,979230,1080121
2020-12-28,768985,875413,927486,978964,1079841
2020-12-29,768467,874741,926597,977963,1078777
2020-12-30,767256,873425,925015,976248,1076936
2020-12-31,766269,872165,923559,974652,1075277
2021-01-01,766059,871794,922985,974113,1074654
2021-01-02,765723,871297,922390,973532,1073982
2021-01-03,765471,870947,922012,973028,1073443
2021-01-04,764925,870247,921144,972104,1072498
2021-01-05,763840,868840,919597,970389,1070643
2021-01-06,762370,866887,917490,967953,1068116
2021-01-07,760382,864311,914501,964768,1064567
2021-01-08,758093,861469,911260,961121,1060640
2021-01-09,756420,859362,908607,958181,1057357
2021-01-10,755391,858025,906892,956193,1055173
2021-01-11,753585,855834,904596,953638,1052604
2021-01-12,751359,853230,901782,950551,1049335
2021-01-13,748783,850213,898632,947051,1045709
2021-01-14,746025,846951,895111,943306,1041852
2021-01-15,743120,843486,891394,939169,1037365
2021-01-16,741027,840791,888503,936054,1033837
2021-01-17,739725,839146,886466,933821,1031485
2021-01-18,737611,836773,883694,931007,1028398
2021-01-19,735252,834001,880754,927920,1025276
2021-01-20,732655,831096,877604,924539,1021853
2021-01-21,729904,827967,874111,920983,1018094
2021-01-22,726964,824607,870478,917161,1014083
2021-01-23,724668,821968,867489,913927,1010779
2021-01-24,723429,820505,865683,912016,1008854
2021-01-25,721630,818405,863513,909762,1006810
2021-01-26,719530,816102,861042,907137,1004269
2021-01-27,717437,813526,858487,904358,1001504
2021-01-28,715246,811027,855841,901565,998760
2021-01-29,712971,808381,852873,898555,995491
2021-01-30,711354,806225,850381,895902,992691
2021-01-31,710094,804643,848554,893949,990752
2021-02-01,708484,802795,846671,891835,988743
2021-02-02,706475,800513,844417,889406,986580
2021-02-03,704529,798007,841932,886641,983878
2021-02-04,702457,795480,839356,883911,981344
2021-02-05,700385,792806,836647,881216,978467
2021-02-06,698579,790580,834064,878325,975492
2021-02-07,697774,789369,832531,876764,973938
2021-02-08,696423,787745,830977,874965,972188
2021-02-09,694652,785687,828926,872655,969843
2021-02-10,692629,783216,826322,870002,967302
2021-02-11,690676,780262,823228,866544,963788
2021-02-12,687778,776258,818734,861868,958993
2021-02-13,684488,772044,813729,856814,953743
2021-02-14,682934,769790,810992,853622,950033
2021-02-15,680743,766969,808234,850563,946974
2021-02-16,677173,762279,803243,845250,941605
2021-02-17,671902,755279,794983,836416,932190
2021-02-18,666498,748377,787059,827820,923608
2021-02-19,661535,742588,780801,820421,916398
2021-02-20,656677,736680,774011,813575,909531
2021-02-21,654745,734811,771960,811279,907347
2021-02-22,652344,731682,768796,807961,903637
2021-02-23,647402,725480,761985,800891,895727
2021-02-24,640227,716415,751450,788732,882301
2021-02-25,632177,706377,739249,774571,866670
2021-02-26,624183,695807,725424,759192,850353
2021-02-27,616301,685797,712761,745430,835436
2021-02-28,612500,680918,706048,738346,827456
2021-03-01,608314,675402,698901,730177,818356
2021-03-02,603141,668409,690333,720342,807933
2021-03-03,596414,659974,680260,709044,795305
2021-03-04,587307,648305,667100,694400,778813
2021-03-05,575960,634368,650636,675556,757526
2021-03-06,563374,619710,633353,656600,736988
2021-03-07,557508,612794,624736,646730,725557
2021-03-08,550550,603750,613935,634207,711501
2021-03-09,543053,593929,603029,621824,696878
2021-03-10,533792,582358,589183,606592,680582
2021-03-11,523929,570066,574952,591367,663747
2021-03-12,510951,554225,556710,570948,640339
2021-03-13,490259,531118,529431,540295,605325
2021-03-14,481005,519456,514682,523663,585963
2021-03-15,466039,499212,491589,498855,557529
2021-03-16,448175,475797,464702,469532,522963
2021-03-17,428372,450002,435862,438102,487886
2021-03-18,406791,422177,402703,400834,440958
2021-03-19,376411,387058,361186,352401,379120
2021-03-20,339801,342020,308672,296345,313649
2021-03-21,324814,324702,286454,272328,285271
2021-03-22,311920,308252,267435,250936,258860
2021-03-23,298606,293356,250446,231917,237300
2021-03-24,284746,278418,234339,214571,216741
