,F,M
2020-11-28,100100,44079
2020-11-29,100100,44079
2020-11-30,100100,44079
2020-12-01,100093,44079
2020-12-02,100093,44079
2020-12-03,100093,44079
2020-12-04,100093,44079
2020-12-05,100093,44079
2020-12-06,100093,44079
2020-12-07,100093,44079
2020-12-08,100079,44072
2020-12-09,100072,44065
2020-12-10,100058,44058
2020-12-11,100044,44051
2020-12-12,100037,44051
2020-12-13,100037,44051
2020-12-14,100023,44044
2020-12-15,99932,43995
2020-12-16,99708,43869
2020-12-17,99421,43722
2020-12-18,99288,43645
2020-12-19,99120,43547
2020-12-20,98931,43442
2020-12-21,98721,43337
2020-12-22,98532,43246
2020-12-23,97832,42966
2020-12-24,97440,42819
2020-12-25,97419,42805
2020-12-26,97391,42805
2020-12-27,97391,42805
2020-12-28,97391,42805
2020-12-29,96369,42357
2020-12-30,90531,39977
2020-12-31,86835,38521
2021-01-01,86212,38304
2021-01-02,85778,38108
2021-01-03,85652,38059
2021-01-04,85575,38017
2021-01-05,84700,37618
2021-01-06,82782,36897
2021-01-07,78414,35182
2021-01-08,72611,32956
2021-01-09,67683,31010
2021-01-10,66185,30408
2021-01-11,62594,28994
2021-01-12,58758,27405
2021-01-13,53998,25438
2021-01-14,48237,23156
2021-01-15,41692,20412
2021-01-16,37380,18620
2021-01-17,35805,17955
2021-01-18,33019,16905
2021-01-19,30359,15743
2021-01-20,27468,14595
2021-01-21,24773,13328
2021-01-22,20685,11606
2021-01-23,18858,10801
2021-01-24,18109,10458
2021-01-25,17612,10185
2021-01-26,17031,9912
2021-01-27,16436,9576
2021-01-28,15757,9191
2021-01-29,14917,8701
2021-01-30,14497,8470
2021-01-31,14378,8393
2021-02-01,14063,8190
2021-02-02,13713,7966
2021-02-03,13272,7749
2021-02-04,12614,7392
2021-02-05,11907,7021
2021-02-06,11606,6846
2021-02-07,11508,6776
2021-02-08,11095,6545
2021-02-09,10619,6279
2021-02-10,10017,5957
2021-02-11,9457,5621
2021-02-12,8827,5306
2021-02-13,8603,5145
2021-02-14,8582,5110
2021-02-15,8134,4900
2021-02-16,7763,4711
2021-02-17,7448,4550
2021-02-18,7140,4361
2021-02-19,6860,4207
2021-02-20,6769,4144
2021-02-21,6755,4137
2021-02-22,6545,4025
2021-02-23,6300,3899
2021-02-24,6097,3794
2021-02-25,5873,3682
2021-02-26,5782,3605
2021-02-27,5747,3584
2021-02-28,5740,3577
2021-03-01,5677,3528
2021-03-02,5579,3472
2021-03-03,5453,3381
2021-03-04,5320,3297
2021-03-05,5152,3199
2021-03-06,5110,3164
2021-03-07,5103,3157
2021-03-08,5040,3101
2021-03-09,4914,3045
2021-03-10,4809,2989
2021-03-11,4725,2926
2021-03-12,4655,2884
2021-03-13,4620,2863
2021-03-14,4620,2856
2021-03-15,4578,2821
2021-03-16,4487,2765
2021-03-17,4403,2709
2021-03-18,4312,2639
2021-03-19,4235,2597
2021-03-20,4186,2569
2021-03-21,4179,2569
2021-03-22,4123,2541
2021-03-23,4032,2492
2021-03-24,3969,2443
2021-03-25,3864,2380
2021-03-26,3724,2289
2021-03-27,3675,2254
2021-03-28,3661,2247
2021-03-29,3584,2198
2021-03-30,3493,2142
2021-03-31,3416,2093
2021-04-01,3325,2044
2021-04-02,3311,2030
2021-04-03,3304,2023
2021-04-04,3304,2023
2021-04-05,3297,2016
2021-04-06,3269,1995
2021-04-07,3206,1967
2021-04-08,3136,1939
2021-04-09,3080,1918
2021-04-10,3059,1904
2021-04-11,3059,1904
2021-04-12,3038,1883
2021-04-13,3017,1876
2021-04-14,2982,1848
2021-04-15,2947,1834
2021-04-16,2926,1820
2021-04-17,2919,1813
2021-04-18,2912,1806
2021-04-19,2905,1806
2021-04-20,2884,1792
2021-04-21,2863,1771
2021-04-22,2856,1764
2021-04-23,2828,1750
2021-04-24,2821,1750
2021-04-25,2821,1750
2021-04-26,2807,1736
2021-04-27,2793,1729
2021-04-28,2779,1722
2021-04-29,2765,1708
2021-04-30,2744,1694
2021-05-01,2744,1694
2021-05-02,2744,1694
2021-05-03,2744,1694
2021-05-04,2730,1687
2021-05-05,2716,1680
2021-05-06,2709,1673
2021-05-07,2695,1659
2021-05-08,2688,1659
2021-05-09,2688,1659
2021-05-10,2688,1659
2021-05-11,2681,1652
2021-05-12,2674,1638
2021-05-13,2667,1631
2021-05-14,2653,1624
2021-05-15,2653,1617
2021-05-16,2646,1617
2021-05-17,2646,1610
2021-05-18,2632,1603
2021-05-19,2618,1589
2021-05-20,2611,1582
2021-05-21,2604,1575
2021-05-22,2597,1575
total,100100,44079
