,False,True
2020-11-28,21,0
2020-11-29,21,0
2020-11-30,28,0
2020-12-01,105,0
2020-12-02,112,0
2020-12-03,119,0
2020-12-04,119,0
2020-12-05,126,0
2020-12-06,126,0
2020-12-07,140,0
2020-12-08,1071,0
2020-12-09,2100,0
2020-12-10,4095,0
2020-12-11,6188,0
2020-12-12,7518,0
2020-12-13,7812,0
2020-12-14,10332,0
2020-12-15,33572,7
2020-12-16,76419,21
2020-12-17,118223,28
2020-12-18,152040,35
2020-12-19,195678,49
2020-12-20,225316,56
2020-12-21,243929,56
2020-12-22,276948,63
2020-12-23,304297,70
2020-12-24,310758,70
2020-12-25,310765,70
2020-12-26,310807,70
2020-12-27,310884,70
2020-12-28,311129,70
2020-12-29,320803,70
2020-12-30,342867,77
2020-12-31,357826,84
2021-01-01,361739,91
2021-01-02,367976,91
2021-01-03,368865,91
2021-01-04,370314,91
2021-01-05,375753,91
2021-01-06,385567,91
2021-01-07,431424,105
2021-01-08,494977,133
2021-01-09,548933,154
2021-01-10,572194,161
2021-01-11,585690,161
2021-01-12,617428,175
2021-01-13,673351,196
2021-01-14,740474,231
2021-01-15,819105,259
2021-01-16,887180,273
2021-01-17,915404,287
2021-01-18,936628,294
2021-01-19,994098,322
2021-01-20,1036532,343
2021-01-21,1079932,378
2021-01-22,1130178,406
2021-01-23,1173704,434
2021-01-24,1186920,434
2021-01-25,1203048,448
2021-01-26,1219127,462
2021-01-27,1235689,476
2021-01-28,1258278,497
2021-01-29,1279355,532
2021-01-30,1295483,539
2021-01-31,1301566,546
2021-02-01,1309735,560
2021-02-02,1317645,574
2021-02-03,1325849,588
2021-02-04,1334067,609
2021-02-05,1341809,616
2021-02-06,1347101,623
2021-02-07,1349593,630
2021-02-08,1354920,637
2021-02-09,1360681,651
2021-02-10,1366883,658
2021-02-11,1372651,672
2021-02-12,1378188,686
2021-02-13,1381527,693
2021-02-14,1382654,693
2021-02-15,1384852,693
2021-02-16,1386980,693
2021-02-17,1389122,700
2021-02-18,1391201,707
2021-02-19,1392797,707
2021-02-20,1393826,714
2021-02-21,1394176,714
2021-02-22,1395240,714
2021-02-23,1396619,714
2021-02-24,1398082,714
2021-02-25,1399594,728
2021-02-26,1400917,728
2021-02-27,1401715,728
2021-02-28,1402009,728
2021-03-01,1402702,728
2021-03-02,1403577,735
2021-03-03,1404536,735
2021-03-04,1405782,735
2021-03-05,1407133,742
2021-03-06,1407945,742
2021-03-07,1408176,742
2021-03-08,1408743,742
2021-03-09,1409457,742
2021-03-10,1410234,742
2021-03-11,1411032,742
2021-03-12,1411753,742
2021-03-13,1412215,742
2021-03-14,1412383,742
2021-03-15,1412866,749
2021-03-16,1413496,749
2021-03-17,1414070,749
2021-03-18,1414756,749
2021-03-19,1415400,756
2021-03-20,1415799,756
2021-03-21,1415932,756
2021-03-22,1416317,756
2021-03-23,1416863,756
2021-03-24,1417381,756
2021-03-25,1418032,763
2021-03-26,1418543,763
2021-03-27,1418949,763
2021-03-28,1419103,763
2021-03-29,1419488,763
2021-03-30,1419943,770
2021-03-31,1420412,770
2021-04-01,1420832,770
2021-04-02,1420951,770
2021-04-03,1421084,770
2021-04-04,1421126,770
2021-04-05,1421175,770
2021-04-06,1421406,770
2021-04-07,1421721,770
2021-04-08,1422071,770
2021-04-09,1422477,770
2021-04-10,1422722,770
2021-04-11,1422813,777
2021-04-12,1423023,777
2021-04-13,1423254,777
2021-04-14,1423443,777
2021-04-15,1423688,777
2021-04-16,1423947,777
2021-04-17,1424094,777
2021-04-18,1424143,777
2021-04-19,1424262,777
2021-04-20,1424423,777
2021-04-21,1424626,777
2021-04-22,1424780,777
2021-04-23,1424948,777
2021-04-24,1425039,777
2021-04-25,1425081,777
2021-04-26,1425200,777
2021-04-27,1425347,777
2021-04-28,1425536,777
2021-04-29,1425697,777
2021-04-30,1425879,777
2021-05-01,1425921,777
2021-05-02,1425942,777
2021-05-03,1425963,777
2021-05-04,1426061,777
2021-05-05,1426173,777
2021-05-06,1426285,777
2021-05-07,1426404,777
2021-05-08,1426467,777
2021-05-09,1426495,777
2021-05-10,1426572,777
2021-05-11,1426719,777
2021-05-12,1426845,777
2021-05-13,1426964,777
2021-05-14,1427090,777
2021-05-15,1427146,777
2021-05-16,1427181,777
2021-05-17,1427258,777
2021-05-18,1427377,777
2021-05-19,1427510,784
2021-05-20,1427636,784
2021-05-21,1427748,784
2021-05-22,1427790,784
2021-05-23,1427790,784
2021-05-24,1427790,784
total,1465065,805
