,1,2,3,4,5
2020-11-28,0,0,0,0,0
2020-11-29,0,0,0,0,0
2020-11-30,0,0,0,0,0
2020-12-01,0,0,0,0,0
2020-12-02,0,0,0,0,0
2020-12-03,0,0,0,7,0
2020-12-04,0,0,7,7,0
2020-12-05,0,0,7,7,0
2020-12-06,0,0,7,7,0
2020-12-07,0,0,7,7,7
2020-12-08,0,0,7,7,7
2020-12-09,0,7,7,7,7
2020-12-10,0,7,7,7,7
2020-12-11,0,7,7,7,7
2020-12-12,0,7,7,7,7
2020-12-13,0,7,7,7,7
2020-12-14,7,7,7,7,7
2020-12-15,7,14,14,7,7
2020-12-16,7,14,14,7,7
2020-12-17,21,21,14,14,7
2020-12-18,21,21,14,14,7
2020-12-19,21,21,14,14,7
2020-12-20,21,21,21,21,7
2020-12-21,28,28,21,21,14
2020-12-22,35,28,21,21,14
2020-12-23,56,42,28,28,14
2020-12-24,63,42,28,28,14
2020-12-25,63,42,28,28,14
2020-12-26,63,42,28,28,14
2020-12-27,70,42,28,28,14
2020-12-28,70,42,28,28,14
2020-12-29,84,49,28,28,14
2020-12-30,91,49,35,35,21
2020-12-31,98,56,42,42,28
2021-01-01,98,56,42,42,28
2021-01-02,98,63,42,42,35
2021-01-03,98,63,42,42,35
2021-01-04,112,70,56,49,42
2021-01-05,140,119,84,63,49
2021-01-06,175,147,112,77,63
2021-01-07,224,182,154,98,77
2021-01-08,280,224,175,112,98
2021-01-09,294,231,182,119,98
2021-01-10,294,238,182,126,105
2021-01-11,343,280,210,154,133
2021-01-12,434,336,273,210,168
2021-01-13,532,413,329,252,203
2021-01-14,672,511,406,315,252
2021-01-15,749,616,476,371,287
2021-01-16,763,637,490,392,301
2021-01-17,777,651,490,392,301
2021-01-18,973,833,623,504,385
2021-01-19,1176,1064,791,658,504
2021-01-20,1463,1295,980,791,651
2021-01-21,1680,1512,1190,966,812
2021-01-22,1939,1722,1358,1113,987
2021-01-23,1988,1764,1407,1148,1008
2021-01-24,1995,1792,1435,1162,1029
2021-01-25,2254,2030,1680,1330,1218
2021-01-26,2604,2380,1981,1554,1414
2021-01-27,2975,2758,2310,1778,1624
2021-01-28,3360,3129,2611,2037,1876
2021-01-29,3724,3486,2919,2289,2114
2021-01-30,3787,3563,2982,2352,2156
2021-01-31,3808,3598,3017,2373,2177
2021-02-01,4186,3990,3353,2653,2429
2021-02-02,4648,4424,3787,3045,2751
2021-02-03,5082,4907,4207,3416,3052
2021-02-04,5558,5404,4683,3822,3409
2021-02-05,5985,5838,5145,4186,3745
2021-02-06,6055,5894,5201,4235,3794
2021-02-07,6083,5929,5229,4270,3822
2021-02-08,6573,6650,5894,4795,4193
2021-02-09,7049,7175,6412,5201,4529
2021-02-10,7441,7581,6734,5523,4823
2021-02-11,7784,7861,6972,5712,5019
2021-02-12,8043,8162,7203,5901,5159
2021-02-13,8064,8197,7217,5922,5180
2021-02-14,8085,8246,7231,5922,5187
2021-02-15,8274,8435,7378,6062,5313
2021-02-16,8407,8596,7497,6167,5425
2021-02-17,8547,8722,7595,6251,5516
2021-02-18,8652,8841,7700,6342,5614
2021-02-19,8750,8911,7770,6426,5691
2021-02-20,8757,8911,7777,6426,5691
2021-02-21,8764,8918,7777,6426,5691
2021-02-22,8848,9016,7861,6482,5761
2021-02-23,8981,9142,7959,6566,5859
2021-02-24,9121,9198,8036,6650,5922
2021-02-25,9170,9261,8092,6699,5978
2021-02-26,9212,9310,8162,6741,6013
2021-02-27,9226,9324,8162,6755,6020
2021-02-28,9233,9331,8169,6776,6027
2021-03-01,9303,9422,8246,6846,6090
2021-03-02,9366,9499,8330,6909,6146
2021-03-03,9457,9604,8414,6965,6202
2021-03-04,9499,9667,8498,7049,6286
2021-03-05,9569,9737,8547,7105,6335
2021-03-06,9583,9744,8547,7112,6342
2021-03-07,9590,9751,8554,7112,6349
2021-03-08,9695,9821,8631,7189,6405
2021-03-09,9765,9912,8708,7287,6496
2021-03-10,9849,10003,8778,7364,6559
2021-03-11,9926,10087,8862,7441,6608
2021-03-12,9996,10150,8911,7483,6650
2021-03-13,10010,10171,8925,7490,6657
2021-03-14,10017,10171,8932,7497,6664
2021-03-15,10094,10248,8995,7553,6706
2021-03-16,10185,10325,9065,7616,6741
2021-03-17,10248,10381,9114,7658,6783
2021-03-18,10325,10472,9191,7735,6846
2021-03-19,10374,10535,9247,7777,6881
2021-03-20,10388,10542,9261,7784,6888
2021-03-21,10388,10549,9261,7791,6895
2021-03-22,10465,10647,9296,7833,6923
2021-03-23,10584,10745,9366,7868,6972
2021-03-24,10640,10808,9429,7924,7014
2021-03-25,10710,10892,9471,7966,7042
2021-03-26,10766,10934,9499,7994,7070
2021-03-27,10773,10941,9506,7994,7070
2021-03-28,10780,10941,9506,8001,7070
2021-03-29,10836,10983,9541,8036,7091
2021-03-30,10885,11011,9576,8050,7112
2021-03-31,10969,11046,9604,8078,7133
2021-04-01,11004,11067,9625,8092,7154
2021-04-02,11004,11074,9632,8092,7154
2021-04-03,11011,11074,9632,8092,7154
2021-04-04,11011,11074,9632,8099,7154
2021-04-05,11011,11081,9632,8099,7154
2021-04-06,11046,11109,9653,8120,7168
2021-04-07,11074,11137,9667,8134,7182
2021-04-08,11102,11165,9688,8169,7210
2021-04-09,11151,11214,9709,8190,7224
2021-04-10,11158,11228,9709,8190,7231
2021-04-11,11158,11228,9709,8190,7231
2021-04-12,11186,11256,9737,8211,7245
2021-04-13,11277,11284,9765,8225,7266
2021-04-14,11312,11319,9786,8246,7280
2021-04-15,11347,11354,9814,8267,7294
2021-04-16,11382,11382,9835,8295,7322
2021-04-17,11389,11382,9835,8295,7322
2021-04-18,11389,11382,9835,8295,7322
2021-04-19,11396,11396,9842,8302,7329
2021-04-20,11417,11410,9856,8309,7343
2021-04-21,11438,11431,9870,8316,7357
2021-04-22,11452,11459,9884,8330,7364
2021-04-23,11501,11480,9912,8351,7406
2021-04-24,11501,11480,9912,8351,7406
2021-04-25,11501,11487,9919,8351,7406
2021-04-26,11529,11501,9933,8358,7413
2021-04-27,11557,11515,9954,8386,7434
2021-04-28,11564,11536,9968,8400,7455
2021-04-29,11578,11550,9982,8407,7462
2021-04-30,11599,11578,10003,8428,7476
2021-05-01,11599,11578,10003,8435,7476
2021-05-02,11599,11578,10003,8435,7476
2021-05-03,11599,11578,10003,8435,7476
2021-05-04,11613,11578,10017,8442,7483
2021-05-05,11641,11599,10024,8456,7504
2021-05-06,11655,11620,10031,8463,7511
2021-05-07,11676,11662,10045,8477,7525
2021-05-08,11683,11662,10052,8477,7532
2021-05-09,11683,11662,10052,8477,7532
2021-05-10,11697,11676,10066,8484,7539
2021-05-11,11746,11753,10087,8512,7553
2021-05-12,11774,11781,10108,8526,7567
2021-05-13,11788,11795,10129,8540,7574
2021-05-14,11823,11809,10150,8561,7581
2021-05-15,11823,11809,10150,8561,7581
2021-05-16,11830,11816,10150,8561,7581
2021-05-17,11844,11837,10157,8568,7588
2021-05-18,11858,11844,10171,8582,7595
2021-05-19,11872,11858,10185,8582,7602
2021-05-20,11886,11865,10192,8596,7623
2021-05-21,11900,11886,10199,8610,7630
2021-05-22,11900,11886,10199,8610,7630
