,False,True
2020-11-28,14,0
2020-11-29,14,0
2020-11-30,21,0
2020-12-01,21,0
2020-12-02,21,0
2020-12-03,21,0
2020-12-04,28,0
2020-12-05,28,0
2020-12-06,28,0
2020-12-07,28,0
2020-12-08,28,0
2020-12-09,35,0
2020-12-10,42,0
2020-12-11,42,0
2020-12-12,42,0
2020-12-13,42,0
2020-12-14,49,0
2020-12-15,56,0
2020-12-16,63,0
2020-12-17,84,0
2020-12-18,91,0
2020-12-19,91,0
2020-12-20,98,0
2020-12-21,119,0
2020-12-22,133,0
2020-12-23,168,0
2020-12-24,182,0
2020-12-25,182,0
2020-12-26,182,0
2020-12-27,196,0
2020-12-28,196,0
2020-12-29,210,0
2020-12-30,238,0
2020-12-31,266,0
2021-01-01,273,0
2021-01-02,287,0
2021-01-03,294,0
2021-01-04,343,7
2021-01-05,455,7
2021-01-06,581,14
2021-01-07,728,14
2021-01-08,868,21
2021-01-09,910,21
2021-01-10,924,21
2021-01-11,1113,28
2021-01-12,1386,35
2021-01-13,1708,42
2021-01-14,2114,56
2021-01-15,2443,63
2021-01-16,2527,63
2021-01-17,2562,63
2021-01-18,3248,77
2021-01-19,4116,91
2021-01-20,5082,112
2021-01-21,6027,140
2021-01-22,6965,161
2021-01-23,7161,168
2021-01-24,7259,168
2021-01-25,8337,182
2021-01-26,9730,217
2021-01-27,11207,252
2021-01-28,12733,287
2021-01-29,14224,322
2021-01-30,14525,322
2021-01-31,14651,329
2021-02-01,16247,371
2021-02-02,18249,413
2021-02-03,20237,441
2021-02-04,22393,490
2021-02-05,24388,525
2021-02-06,24661,532
2021-02-07,24808,532
2021-02-08,27538,574
2021-02-09,29757,623
2021-02-10,31451,658
2021-02-11,32676,686
2021-02-12,33768,707
2021-02-13,33880,707
2021-02-14,33964,714
2021-02-15,34734,735
2021-02-16,35350,749
2021-02-17,35889,763
2021-02-18,36386,770
2021-02-19,36778,777
2021-02-20,36799,777
2021-02-21,36806,777
2021-02-22,37184,791
2021-02-23,37709,798
2021-02-24,38122,812
2021-02-25,38395,812
2021-02-26,38626,819
2021-02-27,38682,819
2021-02-28,38724,819
2021-03-01,39088,826
2021-03-02,39417,833
2021-03-03,39809,847
2021-03-04,40166,847
2021-03-05,40446,861
2021-03-06,40481,861
2021-03-07,40502,861
2021-03-08,40873,875
2021-03-09,41300,882
2021-03-10,41671,889
2021-03-11,42035,896
2021-03-12,42308,903
2021-03-13,42357,903
2021-03-14,42378,903
2021-03-15,42686,910
2021-03-16,43015,917
2021-03-17,43274,924
2021-03-18,43659,924
2021-03-19,43911,924
2021-03-20,43946,924
2021-03-21,43974,924
2021-03-22,44240,931
2021-03-23,44604,945
2021-03-24,44884,945
2021-03-25,45150,952
2021-03-26,45325,952
2021-03-27,45346,952
2021-03-28,45360,952
2021-03-29,45542,952
2021-03-30,45682,959
2021-03-31,45864,966
2021-04-01,45990,966
2021-04-02,45990,966
2021-04-03,45997,966
2021-04-04,46004,966
2021-04-05,46025,966
2021-04-06,46123,973
2021-04-07,46228,973
2021-04-08,46375,973
2021-04-09,46522,973
2021-04-10,46550,973
2021-04-11,46550,973
2021-04-12,46669,980
2021-04-13,46851,980
2021-04-14,46970,980
2021-04-15,47096,987
2021-04-16,47243,987
2021-04-17,47243,987
2021-04-18,47243,987
2021-04-19,47285,987
2021-04-20,47362,987
2021-04-21,47432,994
2021-04-22,47509,994
2021-04-23,47663,1001
2021-04-24,47663,1001
2021-04-25,47670,1001
2021-04-26,47740,1001
2021-04-27,47845,1008
2021-04-28,47915,1008
2021-04-29,47978,1008
2021-04-30,48083,1008
2021-05-01,48090,1008
2021-05-02,48090,1008
2021-05-03,48090,1008
2021-05-04,48132,1008
2021-05-05,48223,1015
2021-05-06,48279,1015
2021-05-07,48384,1015
2021-05-08,48384,1015
2021-05-09,48391,1015
2021-05-10,48447,1015
2021-05-11,48643,1022
2021-05-12,48741,1022
2021-05-13,48818,1022
2021-05-14,48902,1022
2021-05-15,48909,1022
2021-05-16,48916,1022
2021-05-17,48972,1029
2021-05-18,49028,1029
2021-05-19,49077,1029
2021-05-20,49140,1036
2021-05-21,49203,1036
2021-05-22,49203,1036
2021-05-23,49203,1036
2021-05-24,49224,1036
total,2658313,25228
