,11,12
2020-11-28,588021,524965
2020-11-29,588021,524965
2020-11-30,588021,524965
2020-12-01,588007,524951
2020-12-02,588007,524951
2020-12-03,588007,524951
2020-12-04,588007,524951
2020-12-05,588007,524951
2020-12-06,588007,524951
2020-12-07,588007,524944
2020-12-08,587545,524489
2020-12-09,586509,523642
2020-12-10,585277,522676
2020-12-11,584080,521752
2020-12-12,583296,521136
2020-12-13,582645,520597
2020-12-14,581427,519610
2020-12-15,569919,509467
2020-12-16,551348,492296
2020-12-17,534842,476959
2020-12-18,523747,467236
2020-12-19,510510,455651
2020-12-20,499072,445263
2020-12-21,491918,439138
2020-12-22,479206,427140
2020-12-23,470162,418495
2020-12-24,468153,416563
2020-12-25,468146,416556
2020-12-26,468146,416556
2020-12-27,468034,416472
2020-12-28,467761,416262
2020-12-29,463533,412566
2020-12-30,453768,402801
2020-12-31,446768,395941
2021-01-01,445494,394583
2021-01-02,444206,393463
2021-01-03,443380,392763
2021-01-04,442442,391965
2021-01-05,440713,390236
2021-01-06,436499,386750
2021-01-07,417599,370685
2021-01-08,395185,351645
2021-01-09,376215,333571
2021-01-10,367087,325843
2021-01-11,362327,321762
2021-01-12,349230,309680
2021-01-13,328146,291865
2021-01-14,306369,274253
2021-01-15,279370,251608
2021-01-16,248122,224266
2021-01-17,234626,212618
2021-01-18,226947,205779
2021-01-19,202902,187726
2021-01-20,176715,168616
2021-01-21,154973,151389
2021-01-22,126581,129031
2021-01-23,102256,111685
2021-01-24,95515,106463
2021-01-25,89453,99848
2021-01-26,81928,92057
2021-01-27,75915,85680
2021-01-28,67956,78211
2021-01-29,59717,70490
2021-01-30,53242,65828
2021-01-31,50561,64015
2021-02-01,47740,60704
2021-02-02,45101,56938
2021-02-03,42511,53102
2021-02-04,39921,49308
2021-02-05,37373,45731
2021-02-06,35441,43673
2021-02-07,34566,42679
2021-02-08,33054,40369
2021-02-09,31248,37730
2021-02-10,29260,34622
2021-02-11,27363,31892
2021-02-12,25655,29281
2021-02-13,24556,27839
2021-02-14,24157,27286
2021-02-15,23520,26285
2021-02-16,22869,25389
2021-02-17,22197,24437
2021-02-18,21588,23562
2021-02-19,21091,22820
2021-02-20,20776,22449
2021-02-21,20657,22337
2021-02-22,20398,21966
2021-02-23,19915,21343
2021-02-24,19425,20692
2021-02-25,18886,20013
2021-02-26,18368,19390
2021-02-27,18095,19103
2021-02-28,18011,19026
2021-03-01,17822,18753
2021-03-02,17542,18361
2021-03-03,17192,17885
2021-03-04,16765,17388
2021-03-05,16373,16870
2021-03-06,16121,16611
2021-03-07,16072,16548
2021-03-08,15883,16359
2021-03-09,15617,16016
2021-03-10,15344,15715
2021-03-11,15085,15428
2021-03-12,14861,15141
2021-03-13,14651,14980
2021-03-14,14581,14917
2021-03-15,14399,14714
2021-03-16,14189,14490
2021-03-17,14000,14308
2021-03-18,13790,14070
2021-03-19,13566,13881
2021-03-20,13412,13755
2021-03-21,13370,13699
2021-03-22,13230,13573
2021-03-23,13090,13419
2021-03-24,12887,13216
2021-03-25,12719,13006
2021-03-26,12558,12831
2021-03-27,12425,12670
2021-03-28,12362,12607
2021-03-29,12250,12481
2021-03-30,12110,12313
2021-03-31,11963,12166
2021-04-01,11851,12026
2021-04-02,11774,11963
2021-04-03,11704,11907
2021-04-04,11690,11886
2021-04-05,11669,11865
2021-04-06,11620,11809
2021-04-07,11501,11662
2021-04-08,11403,11578
2021-04-09,11291,11473
2021-04-10,11200,11410
2021-04-11,11172,11375
2021-04-12,11109,11312
2021-04-13,11039,11228
2021-04-14,10976,11151
2021-04-15,10920,11060
2021-04-16,10843,11011
2021-04-17,10794,10969
2021-04-18,10759,10948
2021-04-19,10724,10899
2021-04-20,10661,10829
2021-04-21,10605,10766
2021-04-22,10556,10710
2021-04-23,10500,10661
2021-04-24,10465,10640
2021-04-25,10444,10619
2021-04-26,10409,10570
2021-04-27,10360,10514
2021-04-28,10318,10465
2021-04-29,10269,10402
2021-04-30,10227,10360
2021-05-01,10213,10339
2021-05-02,10206,10325
2021-05-03,10192,10318
2021-05-04,10171,10297
2021-05-05,10136,10255
2021-05-06,10094,10199
2021-05-07,10059,10171
2021-05-08,10024,10150
2021-05-09,10017,10136
2021-05-10,9996,10101
2021-05-11,9968,10066
2021-05-12,9912,10024
2021-05-13,9870,9982
2021-05-14,9849,9940
2021-05-15,9821,9912
2021-05-16,9807,9898
2021-05-17,9779,9870
2021-05-18,9737,9842
2021-05-19,9688,9800
2021-05-20,9646,9758
2021-05-21,9611,9723
2021-05-22,9590,9702
2021-05-23,9583,9688
2021-05-24,9555,9653
2021-05-25,9506,9632
2021-05-26,9471,9590
total,588028,524972
