,F,M
2020-11-28,21,7
2020-11-29,21,7
2020-11-30,21,7
2020-12-01,28,14
2020-12-02,28,14
2020-12-03,28,14
2020-12-04,35,14
2020-12-05,35,14
2020-12-06,35,14
2020-12-07,35,14
2020-12-08,49,21
2020-12-09,105,63
2020-12-10,224,119
2020-12-11,357,189
2020-12-12,406,217
2020-12-13,413,224
2020-12-14,553,287
2020-12-15,686,371
2020-12-16,868,462
2020-12-17,1036,546
2020-12-18,1211,630
2020-12-19,1246,644
2020-12-20,1274,658
2020-12-21,1365,714
2020-12-22,1449,756
2020-12-23,1582,840
2020-12-24,1666,889
2020-12-25,1673,889
2020-12-26,1673,889
2020-12-27,1680,889
2020-12-28,1680,896
2020-12-29,1736,924
2020-12-30,1799,952
2020-12-31,1862,987
2021-01-01,1946,1050
2021-01-02,1988,1064
2021-01-03,1995,1071
2021-01-04,2156,1169
2021-01-05,2457,1330
2021-01-06,2702,1463
2021-01-07,3017,1631
2021-01-08,3332,1820
2021-01-09,3458,1862
2021-01-10,3479,1876
2021-01-11,3899,2086
2021-01-12,4361,2324
2021-01-13,4886,2625
2021-01-14,5411,2940
2021-01-15,5880,3241
2021-01-16,5999,3304
2021-01-17,6062,3346
2021-01-18,6846,3808
2021-01-19,7644,4305
2021-01-20,8337,4795
2021-01-21,9079,5292
2021-01-22,9695,5677
2021-01-23,9828,5789
2021-01-24,9884,5838
2021-01-25,10731,6363
2021-01-26,11739,7042
2021-01-27,12635,7623
2021-01-28,13426,8190
2021-01-29,14259,8778
2021-01-30,14434,8911
2021-01-31,14497,8967
2021-02-01,15589,9688
2021-02-02,16723,10535
2021-02-03,17822,11354
2021-02-04,18935,12271
2021-02-05,20167,13237
2021-02-06,20503,13454
2021-02-07,20587,13517
2021-02-08,22183,14672
2021-02-09,24101,16247
2021-02-10,25592,17458
2021-02-11,26929,18543
2021-02-12,27916,19376
2021-02-13,28035,19481
2021-02-14,28077,19509
2021-02-15,28735,20048
2021-02-16,29344,20580
2021-02-17,29897,20951
2021-02-18,30373,21364
2021-02-19,30716,21644
2021-02-20,30758,21665
2021-02-21,30772,21679
2021-02-22,31129,21987
2021-02-23,31521,22330
2021-02-24,31948,22715
2021-02-25,32298,22960
2021-02-26,32578,23205
2021-02-27,32613,23226
2021-02-28,32641,23247
2021-03-01,33047,23597
2021-03-02,33474,23954
2021-03-03,33922,24325
2021-03-04,34377,24682
2021-03-05,34692,24983
2021-03-06,34727,24997
2021-03-07,34734,25018
2021-03-08,35168,25459
2021-03-09,35714,25942
2021-03-10,36155,26313
2021-03-11,36673,26824
2021-03-12,36981,27069
2021-03-13,36995,27090
2021-03-14,37009,27097
2021-03-15,37387,27468
2021-03-16,37751,27790
2021-03-17,38038,28112
2021-03-18,38318,28378
2021-03-19,38570,28595
2021-03-20,38619,28637
2021-03-21,38619,28644
2021-03-22,38892,28861
2021-03-23,39242,29197
2021-03-24,39578,29526
2021-03-25,39816,29743
2021-03-26,39991,29890
2021-03-27,40019,29911
2021-03-28,40019,29911
2021-03-29,40145,30044
2021-03-30,40313,30212
2021-03-31,40481,30352
2021-04-01,40621,30513
2021-04-02,40628,30527
2021-04-03,40635,30534
2021-04-04,40635,30534
2021-04-05,40642,30541
2021-04-06,40719,30632
2021-04-07,40873,30758
2021-04-08,40957,30870
2021-04-09,41048,30954
2021-04-10,41048,30961
2021-04-11,41055,30968
2021-04-12,41125,31024
2021-04-13,41181,31080
2021-04-14,41251,31136
2021-04-15,41335,31199
2021-04-16,41412,31262
2021-04-17,41419,31269
2021-04-18,41419,31269
2021-04-19,41496,31374
2021-04-20,41587,31444
2021-04-21,41685,31528
2021-04-22,41762,31598
2021-04-23,41839,31682
2021-04-24,41846,31689
2021-04-25,41846,31689
2021-04-26,41895,31752
2021-04-27,41965,31815
2021-04-28,42014,31864
2021-04-29,42056,31906
2021-04-30,42112,31948
2021-05-01,42119,31955
2021-05-02,42119,31962
2021-05-03,42133,31969
2021-05-04,42182,31997
2021-05-05,42231,32053
2021-05-06,42294,32123
2021-05-07,42357,32158
2021-05-08,42364,32165
2021-05-09,42364,32165
2021-05-10,42427,32221
2021-05-11,42490,32277
2021-05-12,42581,32354
2021-05-13,42658,32417
2021-05-14,42700,32452
2021-05-15,42707,32452
2021-05-16,42707,32459
2021-05-17,42742,32487
2021-05-18,42798,32578
2021-05-19,42847,32641
total,2353638,2013998
