,False
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,7
2020-12-09,21
2020-12-10,56
2020-12-11,70
2020-12-12,84
2020-12-13,91
2020-12-14,119
2020-12-15,245
2020-12-16,490
2020-12-17,721
2020-12-18,931
2020-12-19,1078
2020-12-20,1225
2020-12-21,1351
2020-12-22,1526
2020-12-23,1988
2020-12-24,2506
2020-12-25,2506
2020-12-26,2506
2020-12-27,2506
2020-12-28,2506
2020-12-29,3388
2020-12-30,7945
2020-12-31,11389
2021-01-01,11900
2021-01-02,12145
2021-01-03,12236
2021-01-04,12397
2021-01-05,12978
2021-01-06,14203
2021-01-07,17948
2021-01-08,23149
2021-01-09,26635
2021-01-10,27552
2021-01-11,30786
2021-01-12,35805
2021-01-13,40467
2021-01-14,45941
2021-01-15,53291
2021-01-16,58114
2021-01-17,59962
2021-01-18,63665
2021-01-19,67228
2021-01-20,70273
2021-01-21,74774
2021-01-22,82635
2021-01-23,84840
2021-01-24,85638
2021-01-25,86317
2021-01-26,87164
2021-01-27,87885
2021-01-28,88669
2021-01-29,89607
2021-01-30,90041
2021-01-31,90195
2021-02-01,90685
2021-02-02,91182
2021-02-03,91882
2021-02-04,92631
2021-02-05,93464
2021-02-06,93856
2021-02-07,94010
2021-02-08,94437
2021-02-09,95046
2021-02-10,95942
2021-02-11,96866
2021-02-12,97853
2021-02-13,98266
2021-02-14,98350
2021-02-15,98840
2021-02-16,99274
2021-02-17,99715
2021-02-18,100205
2021-02-19,100688
2021-02-20,100821
2021-02-21,100842
2021-02-22,100954
2021-02-23,101227
2021-02-24,101528
2021-02-25,101836
2021-02-26,102088
2021-02-27,102179
2021-02-28,102214
2021-03-01,102354
2021-03-02,102543
2021-03-03,102732
2021-03-04,102949
2021-03-05,103208
2021-03-06,103264
2021-03-07,103271
2021-03-08,103390
2021-03-09,103537
2021-03-10,103670
2021-03-11,103789
2021-03-12,103957
2021-03-13,103992
2021-03-14,103999
2021-03-15,104069
2021-03-16,104181
2021-03-17,104293
2021-03-18,104433
2021-03-19,104559
2021-03-20,104601
2021-03-21,104608
2021-03-22,104657
2021-03-23,104755
2021-03-24,104839
2021-03-25,104958
2021-03-26,105098
2021-03-27,105161
2021-03-28,105182
2021-03-29,105259
2021-03-30,105336
2021-03-31,105455
2021-04-01,105539
2021-04-02,105553
2021-04-03,105581
2021-04-04,105588
2021-04-05,105588
2021-04-06,105672
2021-04-07,105735
2021-04-08,105798
2021-04-09,105882
2021-04-10,105931
2021-04-11,105966
2021-04-12,106015
2021-04-13,106071
2021-04-14,106134
2021-04-15,106183
2021-04-16,106225
2021-04-17,106239
2021-04-18,106239
2021-04-19,106274
2021-04-20,106309
2021-04-21,106337
2021-04-22,106358
2021-04-23,106386
2021-04-24,106393
2021-04-25,106393
2021-04-26,106414
2021-04-27,106435
2021-04-28,106463
2021-04-29,106505
2021-04-30,106519
2021-05-01,106526
2021-05-02,106526
2021-05-03,106526
2021-05-04,106533
2021-05-05,106547
2021-05-06,106554
2021-05-07,106575
2021-05-08,106582
2021-05-09,106582
2021-05-10,106596
2021-05-11,106603
2021-05-12,106617
2021-05-13,106638
2021-05-14,106659
2021-05-15,106666
2021-05-16,106666
2021-05-17,106680
2021-05-18,106694
2021-05-19,106701
2021-05-20,106715
2021-05-21,106729
2021-05-22,106729
2021-05-23,106729
2021-05-24,106743
2021-05-25,106750
2021-05-26,106757
total,108451
