,False
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,7
2020-12-11,7
2020-12-12,7
2020-12-13,7
2020-12-14,7
2020-12-15,7
2020-12-16,14
2020-12-17,14
2020-12-18,21
2020-12-19,21
2020-12-20,21
2020-12-21,21
2020-12-22,21
2020-12-23,21
2020-12-24,28
2020-12-25,28
2020-12-26,28
2020-12-27,28
2020-12-28,28
2020-12-29,35
2020-12-30,49
2020-12-31,63
2021-01-01,70
2021-01-02,70
2021-01-03,70
2021-01-04,70
2021-01-05,91
2021-01-06,98
2021-01-07,119
2021-01-08,140
2021-01-09,147
2021-01-10,154
2021-01-11,175
2021-01-12,189
2021-01-13,217
2021-01-14,252
2021-01-15,301
2021-01-16,315
2021-01-17,315
2021-01-18,343
2021-01-19,378
2021-01-20,406
2021-01-21,455
2021-01-22,497
2021-01-23,511
2021-01-24,511
2021-01-25,539
2021-01-26,574
2021-01-27,602
2021-01-28,630
2021-01-29,651
2021-01-30,651
2021-01-31,658
2021-02-01,700
2021-02-02,742
2021-02-03,770
2021-02-04,798
2021-02-05,847
2021-02-06,854
2021-02-07,854
2021-02-08,889
2021-02-09,938
2021-02-10,973
2021-02-11,1008
2021-02-12,1036
2021-02-13,1043
2021-02-14,1043
2021-02-15,1064
2021-02-16,1085
2021-02-17,1106
2021-02-18,1127
2021-02-19,1141
2021-02-20,1141
2021-02-21,1141
2021-02-22,1155
2021-02-23,1162
2021-02-24,1176
2021-02-25,1190
2021-02-26,1204
2021-02-27,1204
2021-02-28,1211
2021-03-01,1218
2021-03-02,1232
2021-03-03,1253
2021-03-04,1267
2021-03-05,1281
2021-03-06,1281
2021-03-07,1281
2021-03-08,1288
2021-03-09,1309
2021-03-10,1323
2021-03-11,1344
2021-03-12,1358
2021-03-13,1358
2021-03-14,1358
2021-03-15,1372
2021-03-16,1386
2021-03-17,1393
2021-03-18,1400
2021-03-19,1414
2021-03-20,1414
2021-03-21,1414
2021-03-22,1421
2021-03-23,1428
2021-03-24,1435
2021-03-25,1449
2021-03-26,1449
2021-03-27,1449
2021-03-28,1456
2021-03-29,1456
2021-03-30,1463
2021-03-31,1477
2021-04-01,1484
2021-04-02,1484
2021-04-03,1484
2021-04-04,1484
2021-04-05,1484
2021-04-06,1491
2021-04-07,1491
2021-04-08,1498
2021-04-09,1498
2021-04-10,1498
2021-04-11,1498
2021-04-12,1505
2021-04-13,1512
2021-04-14,1519
2021-04-15,1519
2021-04-16,1519
2021-04-17,1519
2021-04-18,1519
2021-04-19,1526
2021-04-20,1533
2021-04-21,1533
2021-04-22,1540
2021-04-23,1540
2021-04-24,1540
2021-04-25,1540
2021-04-26,1540
2021-04-27,1547
2021-04-28,1554
2021-04-29,1554
2021-04-30,1554
2021-05-01,1554
2021-05-02,1554
2021-05-03,1554
2021-05-04,1554
2021-05-05,1554
2021-05-06,1554
2021-05-07,1561
2021-05-08,1561
2021-05-09,1561
2021-05-10,1561
2021-05-11,1561
2021-05-12,1561
2021-05-13,1568
2021-05-14,1575
2021-05-15,1575
2021-05-16,1575
2021-05-17,1575
2021-05-18,1575
2021-05-19,1575
2021-05-20,1582
2021-05-21,1582
2021-05-22,1582
2021-05-23,1582
2021-05-24,1589
2021-05-25,1589
total,108451
