,0,1,2,3,4,5
2020-11-28,1519,19712,22071,23583,21791,19061
2020-11-29,1519,19712,22071,23583,21791,19061
2020-11-30,1519,19712,22071,23583,21791,19061
2020-12-01,1519,19712,22071,23583,21791,19061
2020-12-02,1519,19712,22071,23583,21791,19061
2020-12-03,1519,19712,22071,23583,21791,19061
2020-12-04,1519,19712,22071,23583,21791,19061
2020-12-05,1519,19712,22071,23583,21791,19061
2020-12-06,1519,19712,22071,23583,21791,19061
2020-12-07,1519,19712,22071,23583,21791,19061
2020-12-08,1519,19712,22071,23583,21791,19061
2020-12-09,1519,19712,22071,23576,21791,19061
2020-12-10,1519,19705,22064,23576,21777,19054
2020-12-11,1519,19705,22064,23576,21777,19047
2020-12-12,1519,19705,22057,23569,21777,19047
2020-12-13,1519,19698,22057,23569,21777,19047
2020-12-14,1519,19698,22050,23555,21770,19040
2020-12-15,1519,19684,22015,23527,21742,19019
2020-12-16,1519,19670,21966,23471,21686,18977
2020-12-17,1512,19642,21917,23408,21637,18942
2020-12-18,1505,19621,21882,23366,21560,18907
2020-12-19,1505,19593,21854,23345,21518,18893
2020-12-20,1505,19558,21826,23324,21497,18872
2020-12-21,1498,19537,21805,23296,21462,18844
2020-12-22,1498,19509,21763,23261,21427,18823
2020-12-23,1491,19481,21630,23149,21308,18760
2020-12-24,1491,19397,21581,22918,21224,18690
2020-12-25,1491,19397,21581,22918,21224,18683
2020-12-26,1491,19397,21581,22918,21224,18683
2020-12-27,1491,19397,21581,22918,21224,18683
2020-12-28,1491,19397,21581,22918,21224,18683
2020-12-29,1491,19285,21287,22652,21070,18641
2020-12-30,1442,18368,20650,21763,20041,17605
2020-12-31,1365,17486,20118,20958,19432,17073
2021-01-01,1365,17472,20013,20825,19264,16989
2021-01-02,1358,17416,19985,20790,19215,16919
2021-01-03,1358,17388,19985,20783,19173,16905
2021-01-04,1358,17318,19922,20776,19166,16898
2021-01-05,1358,17234,19740,20650,19075,16793
2021-01-06,1288,16996,19614,20363,18823,16548
2021-01-07,1176,16352,18872,19656,18018,15813
2021-01-08,1148,15351,17731,18753,17052,14686
2021-01-09,1022,14630,16954,17983,16541,14112
2021-01-10,1015,14434,16758,17759,16373,14000
2021-01-11,1008,13685,16177,17164,15694,13384
2021-01-12,973,12894,15239,15729,14784,12495
2021-01-13,840,11956,14350,14917,13776,11620
2021-01-14,826,10829,13314,13797,12446,10780
2021-01-15,756,9457,11690,12187,11116,9471
2021-01-16,679,8869,10577,11179,10157,8428
2021-01-17,672,8617,10262,10675,9688,8134
2021-01-18,630,7791,9695,9989,8771,7469
2021-01-19,609,7399,8743,9009,8064,6993
2021-01-20,553,6923,8106,8295,7392,6524
2021-01-21,483,5950,7252,7392,6475,5782
2021-01-22,413,4830,5460,5796,4774,4228
2021-01-23,378,4501,5047,5145,4340,3913
2021-01-24,350,4452,4900,4879,4221,3738
2021-01-25,350,4326,4753,4725,4095,3626
2021-01-26,343,4102,4599,4564,3941,3479
2021-01-27,336,3969,4445,4389,3836,3346
2021-01-28,329,3829,4284,4214,3696,3199
2021-01-29,315,3612,4095,3997,3528,3080
2021-01-30,308,3535,4018,3920,3423,3003
2021-01-31,301,3507,3997,3878,3395,2975
2021-02-01,294,3423,3899,3787,3290,2884
2021-02-02,280,3353,3794,3682,3178,2800
2021-02-03,273,3206,3640,3521,3052,2702
2021-02-04,259,3052,3521,3360,2863,2597
2021-02-05,252,2968,3325,3199,2695,2394
