,F,M
2020-11-28,75376,32375
2020-11-29,75376,32375
2020-11-30,75376,32375
2020-12-01,75376,32375
2020-12-02,75376,32375
2020-12-03,75376,32375
2020-12-04,75376,32375
2020-12-05,75376,32375
2020-12-06,75376,32375
2020-12-07,75376,32375
2020-12-08,75369,32375
2020-12-09,75362,32368
2020-12-10,75341,32354
2020-12-11,75341,32347
2020-12-12,75334,32340
2020-12-13,75327,32340
2020-12-14,75313,32326
2020-12-15,75236,32277
2020-12-16,75096,32186
2020-12-17,74949,32109
2020-12-18,74816,32039
2020-12-19,74718,31990
2020-12-20,74627,31941
2020-12-21,74543,31906
2020-12-22,74424,31857
2020-12-23,74102,31710
2020-12-24,73731,31570
2020-12-25,73731,31570
2020-12-26,73731,31570
2020-12-27,73731,31570
2020-12-28,73724,31570
2020-12-29,73080,31346
2020-12-30,69790,30086
2020-12-31,67375,29057
2021-01-01,66997,28931
2021-01-02,66836,28854
2021-01-03,66766,28826
2021-01-04,66661,28770
2021-01-05,66227,28623
2021-01-06,65338,28294
2021-01-07,62636,27258
2021-01-08,58891,25837
2021-01-09,56406,24843
2021-01-10,55776,24563
2021-01-11,53452,23660
2021-01-12,49798,22309
2021-01-13,46424,21042
2021-01-14,42448,19551
2021-01-15,37289,17395
2021-01-16,33831,16051
2021-01-17,32494,15561
2021-01-18,29848,14497
2021-01-19,27321,13489
2021-01-20,25235,12565
2021-01-21,22099,11235
2021-01-22,16590,8918
2021-01-23,15099,8232
2021-01-24,14553,7994
2021-01-25,14098,7777
2021-01-26,13517,7511
2021-01-27,13034,7294
2021-01-28,12516,7035
2021-01-29,11921,6706
2021-01-30,11662,6552
2021-01-31,11564,6496
2021-02-01,11263,6314
2021-02-02,10962,6125
2021-02-03,10542,5859
2021-02-04,10024,5635
2021-02-05,9457,5376
2021-02-06,9219,5222
2021-02-07,9121,5173
2021-02-08,8862,5005
2021-02-09,8477,4795
2021-02-10,7882,4501
2021-02-11,7301,4165
2021-02-12,6657,3829
2021-02-13,6398,3682
2021-02-14,6342,3661
2021-02-15,6034,3486
2021-02-16,5754,3339
2021-02-17,5467,3178
2021-02-18,5166,2996
2021-02-19,4844,2849
2021-02-20,4760,2800
2021-02-21,4746,2793
2021-02-22,4683,2744
2021-02-23,4508,2653
2021-02-24,4340,2527
2021-02-25,4137,2422
2021-02-26,3962,2345
2021-02-27,3913,2310
2021-02-28,3885,2289
2021-03-01,3794,2247
2021-03-02,3661,2184
2021-03-03,3542,2128
2021-03-04,3409,2037
2021-03-05,3248,1939
2021-03-06,3220,1918
2021-03-07,3213,1911
2021-03-08,3136,1869
2021-03-09,3059,1806
2021-03-10,2975,1757
2021-03-11,2898,1722
2021-03-12,2779,1659
2021-03-13,2765,1645
2021-03-14,2765,1638
2021-03-15,2723,1610
2021-03-16,2646,1575
2021-03-17,2590,1526
2021-03-18,2492,1484
2021-03-19,2436,1421
2021-03-20,2408,1407
2021-03-21,2401,1400
2021-03-22,2373,1379
2021-03-23,2317,1344
2021-03-24,2261,1316
2021-03-25,2184,1274
2021-03-26,2093,1225
2021-03-27,2058,1197
2021-03-28,2044,1190
2021-03-29,1988,1169
2021-03-30,1939,1141
2021-03-31,1869,1092
2021-04-01,1813,1071
2021-04-02,1799,1064
2021-04-03,1785,1050
2021-04-04,1785,1050
2021-04-05,1778,1050
2021-04-06,1722,1029
2021-04-07,1680,1008
2021-04-08,1638,987
2021-04-09,1582,959
2021-04-10,1547,938
2021-04-11,1526,931
2021-04-12,1491,917
2021-04-13,1456,896
2021-04-14,1407,875
2021-04-15,1379,861
2021-04-16,1344,847
2021-04-17,1337,847
2021-04-18,1337,847
2021-04-19,1316,833
2021-04-20,1295,819
2021-04-21,1281,805
2021-04-22,1260,798
2021-04-23,1246,791
2021-04-24,1246,791
2021-04-25,1239,791
2021-04-26,1225,784
2021-04-27,1218,770
2021-04-28,1204,763
2021-04-29,1183,742
2021-04-30,1169,742
2021-05-01,1169,735
2021-05-02,1169,735
2021-05-03,1169,735
2021-05-04,1162,728
2021-05-05,1162,721
2021-05-06,1155,714
2021-05-07,1141,707
2021-05-08,1141,707
2021-05-09,1141,707
2021-05-10,1134,700
2021-05-11,1127,700
2021-05-12,1113,693
2021-05-13,1106,686
2021-05-14,1092,679
2021-05-15,1085,679
2021-05-16,1085,679
2021-05-17,1078,672
2021-05-18,1071,665
2021-05-19,1071,665
total,75376,32375
