,9,10
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,35,7
2020-12-09,70,28
2020-12-10,119,56
2020-12-11,168,77
2020-12-12,210,91
2020-12-13,238,98
2020-12-14,287,133
2020-12-15,378,252
2020-12-16,497,413
2020-12-17,672,875
2020-12-18,826,1316
2020-12-19,1015,1862
2020-12-20,1232,2212
2020-12-21,1470,2646
2020-12-22,1715,3017
2020-12-23,2065,3374
2020-12-24,2198,3563
2020-12-25,2198,3563
2020-12-26,2205,3563
2020-12-27,2219,3577
2020-12-28,2275,3612
2020-12-29,2471,3836
2020-12-30,3017,5243
2020-12-31,3535,6762
2021-01-01,3689,7203
2021-01-02,3808,7833
2021-01-03,3885,7910
2021-01-04,4011,7980
2021-01-05,4228,8204
2021-01-06,4893,10192
2021-01-07,6041,18592
2021-01-08,8148,29113
2021-01-09,11109,36666
2021-01-10,11879,40439
2021-01-11,12719,43099
2021-01-12,14308,48762
2021-01-13,16681,62615
2021-01-14,20440,77455
2021-01-15,24829,95319
2021-01-16,28714,109655
2021-01-17,30667,115325
2021-01-18,33040,121079
2021-01-19,40201,149240
2021-01-20,51597,184149
2021-01-21,65667,223160
2021-01-22,91154,281960
2021-01-23,125370,353738
2021-01-24,137956,378567
2021-01-25,149989,398398
2021-01-26,167104,425936
2021-01-27,186151,452424
2021-01-28,219408,497483
2021-01-29,267925,569107
2021-01-30,332276,635033
2021-01-31,373457,668584
2021-02-01,410382,693574
2021-02-02,461559,714343
2021-02-03,535402,733145
2021-02-04,614768,749700
2021-02-05,690445,763056
2021-02-06,794472,775642
2021-02-07,847245,780962
2021-02-08,890869,786345
2021-02-09,944195,792617
2021-02-10,984676,797692
2021-02-11,1022525,802900
2021-02-12,1053885,807415
2021-02-13,1081514,811097
2021-02-14,1089459,812308
2021-02-15,1095808,813547
2021-02-16,1101009,814863
2021-02-17,1105433,816228
2021-02-18,1108849,817369
2021-02-19,1111355,818286
2021-02-20,1113637,819063
2021-02-21,1114316,819294
2021-02-22,1115387,819686
2021-02-23,1116976,820337
2021-02-24,1119104,821184
2021-02-25,1121407,822199
2021-02-26,1123591,823102
2021-02-27,1125047,823690
2021-02-28,1125635,823886
2021-03-01,1126195,824166
2021-03-02,1126825,824537
2021-03-03,1127728,824936
2021-03-04,1128960,825538
2021-03-05,1130367,826266
2021-03-06,1131473,826742
2021-03-07,1131718,826868
2021-03-08,1132152,827120
2021-03-09,1132656,827414
2021-03-10,1133188,827722
2021-03-11,1133664,828065
2021-03-12,1134399,828443
2021-03-13,1135190,828807
2021-03-14,1135491,828940
2021-03-15,1135939,829122
2021-03-16,1136408,829353
2021-03-17,1136863,829570
2021-03-18,1137367,829843
2021-03-19,1137822,830102
2021-03-20,1138312,830326
2021-03-21,1138501,830431
2021-03-22,1138802,830571
2021-03-23,1139117,830739
2021-03-24,1139481,830942
2021-03-25,1139852,831166
2021-03-26,1140251,831411
2021-03-27,1140685,831726
2021-03-28,1140874,831845
2021-03-29,1141147,831971
2021-03-30,1141448,832139
2021-03-31,1141784,832335
2021-04-01,1142043,832496
2021-04-02,1142176,832678
2021-04-03,1142288,832769
2021-04-04,1142344,832804
2021-04-05,1142379,832818
2021-04-06,1142498,832909
2021-04-07,1142687,833049
2021-04-08,1142897,833196
2021-04-09,1143114,833364
2021-04-10,1143324,833525
2021-04-11,1143408,833602
2021-04-12,1143541,833679
2021-04-13,1143667,833826
2021-04-14,1143814,833959
2021-04-15,1143961,834106
2021-04-16,1144143,834239
2021-04-17,1144283,834351
2021-04-18,1144353,834400
2021-04-19,1144444,834456
2021-04-20,1144556,834526
2021-04-21,1144675,834617
2021-04-22,1144815,834715
2021-04-23,1144983,834806
2021-04-24,1145158,834897
2021-04-25,1145291,834932
2021-04-26,1145403,834981
2021-04-27,1145522,835044
2021-04-28,1145655,835121
2021-04-29,1145816,835198
2021-04-30,1145942,835268
2021-05-01,1146054,835317
2021-05-02,1146096,835324
2021-05-03,1146131,835338
2021-05-04,1146208,835373
2021-05-05,1146285,835422
2021-05-06,1146376,835492
2021-05-07,1146460,835555
2021-05-08,1146530,835590
2021-05-09,1146565,835611
2021-05-10,1146614,835639
2021-05-11,1146684,835681
2021-05-12,1146796,835737
2021-05-13,1146901,835800
2021-05-14,1146985,835849
2021-05-15,1147090,835898
2021-05-16,1147139,835926
2021-05-17,1147188,835947
2021-05-18,1147258,835996
2021-05-19,1147356,836059
total,1203426,867958
