,False,True
2020-11-28,14,0
2020-11-29,14,0
2020-11-30,14,0
2020-12-01,21,0
2020-12-02,21,0
2020-12-03,21,0
2020-12-04,21,0
2020-12-05,21,0
2020-12-06,21,0
2020-12-07,21,0
2020-12-08,224,0
2020-12-09,490,0
2020-12-10,805,0
2020-12-11,1113,0
2020-12-12,1435,0
2020-12-13,1603,0
2020-12-14,1862,7
2020-12-15,2310,7
2020-12-16,2737,7
2020-12-17,3276,14
2020-12-18,3836,14
2020-12-19,4263,14
2020-12-20,4760,21
2020-12-21,5495,21
2020-12-22,6209,21
2020-12-23,7077,28
2020-12-24,7497,28
2020-12-25,7497,28
2020-12-26,7511,28
2020-12-27,7595,28
2020-12-28,7777,28
2020-12-29,8288,35
2020-12-30,9681,35
2020-12-31,10983,42
2021-01-01,11319,49
2021-01-02,11634,49
2021-01-03,11865,49
2021-01-04,12376,56
2021-01-05,13293,63
2021-01-06,14504,77
2021-01-07,16422,91
2021-01-08,18669,105
2021-01-09,20790,119
2021-01-10,21791,126
2021-01-11,23562,133
2021-01-12,25641,140
2021-01-13,27881,147
2021-01-14,30520,161
2021-01-15,34202,182
2021-01-16,37107,203
2021-01-17,38829,217
2021-01-18,40852,224
2021-01-19,44212,231
2021-01-20,48734,252
2021-01-21,54705,273
2021-01-22,63182,294
2021-01-23,71890,322
2021-01-24,76104,329
2021-01-25,80080,343
2021-01-26,86121,371
2021-01-27,93023,392
2021-01-28,105196,420
2021-01-29,119217,462
2021-01-30,136787,497
2021-01-31,146986,525
2021-02-01,158179,553
2021-02-02,172956,581
2021-02-03,194915,637
2021-02-04,221200,700
2021-02-05,248556,763
2021-02-06,291060,847
2021-02-07,309974,875
2021-02-08,329630,924
2021-02-09,354165,980
2021-02-10,379456,1043
2021-02-11,407085,1092
2021-02-12,431354,1155
2021-02-13,452683,1204
2021-02-14,459739,1232
2021-02-15,466480,1260
2021-02-16,476784,1288
2021-02-17,490210,1323
2021-02-18,503146,1393
2021-02-19,514605,1456
2021-02-20,525350,1519
2021-02-21,529837,1554
2021-02-22,536480,1624
2021-02-23,549374,1792
2021-02-24,566279,1981
2021-02-25,586348,2240
2021-02-26,606375,2478
2021-02-27,621418,2695
2021-02-28,627270,2772
2021-03-01,632226,2849
2021-03-02,637420,2940
2021-03-03,644938,3066
2021-03-04,654724,3206
2021-03-05,663915,3339
2021-03-06,673071,3507
2021-03-07,675738,3556
2021-03-08,679105,3626
2021-03-09,682941,3703
2021-03-10,686630,3780
2021-03-11,689780,3836
2021-03-12,694064,3899
2021-03-13,698957,3997
2021-03-14,701036,4025
2021-03-15,704354,4095
2021-03-16,707203,4144
2021-03-17,710129,4193
2021-03-18,712852,4235
2021-03-19,715967,4305
2021-03-20,719180,4368
2021-03-21,720328,4403
2021-03-22,722029,4438
2021-03-23,724066,4487
2021-03-24,726341,4536
2021-03-25,728420,4592
2021-03-26,730737,4662
2021-03-27,733096,4739
2021-03-28,734216,4760
2021-03-29,735567,4795
2021-03-30,736918,4830
2021-03-31,738577,4872
2021-04-01,739795,4914
2021-04-02,740236,4921
2021-04-03,740691,4928
2021-04-04,740887,4935
2021-04-05,741041,4935
2021-04-06,741545,4949
2021-04-07,742357,4970
2021-04-08,742973,4984
2021-04-09,743736,5005
2021-04-10,744366,5019
2021-04-11,744632,5019
2021-04-12,744996,5026
2021-04-13,745353,5040
2021-04-14,745745,5047
2021-04-15,746158,5047
2021-04-16,746557,5054
2021-04-17,746872,5061
2021-04-18,747047,5061
2021-04-19,747292,5068
2021-04-20,747621,5075
2021-04-21,747964,5082
2021-04-22,748342,5103
2021-04-23,748706,5117
2021-04-24,749042,5124
2021-04-25,749203,5124
2021-04-26,749455,5131
2021-04-27,749749,5145
2021-04-28,750106,5166
2021-04-29,750477,5180
2021-04-30,750834,5187
2021-05-01,751072,5201
2021-05-02,751191,5208
2021-05-03,751282,5215
2021-05-04,751478,5222
2021-05-05,751737,5229
2021-05-06,752073,5243
2021-05-07,752367,5264
2021-05-08,752612,5271
2021-05-09,752745,5278
2021-05-10,752962,5285
2021-05-11,753298,5306
2021-05-12,753837,5334
2021-05-13,754390,5376
2021-05-14,754852,5411
2021-05-15,755300,5439
2021-05-16,755531,5453
2021-05-17,755825,5460
2021-05-18,756231,5481
2021-05-19,756735,5516
2021-05-20,757218,5537
2021-05-21,757687,5558
2021-05-22,757988,5572
2021-05-23,758156,5579
2021-05-24,758387,5600
2021-05-25,758702,5614
2021-05-26,759143,5642
total,823571,10157
