,False,True
2020-11-28,7,0
2020-11-29,7,0
2020-11-30,7,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,7,0
2020-12-09,14,0
2020-12-10,14,0
2020-12-11,14,0
2020-12-12,14,0
2020-12-13,14,0
2020-12-14,14,0
2020-12-15,14,0
2020-12-16,14,0
2020-12-17,14,0
2020-12-18,14,0
2020-12-19,14,0
2020-12-20,14,0
2020-12-21,21,0
2020-12-22,21,0
2020-12-23,35,0
2020-12-24,35,0
2020-12-25,35,0
2020-12-26,35,0
2020-12-27,35,0
2020-12-28,35,0
2020-12-29,49,7
2020-12-30,49,7
2020-12-31,49,7
2021-01-01,63,7
2021-01-02,63,14
2021-01-03,70,14
2021-01-04,84,14
2021-01-05,91,14
2021-01-06,98,21
2021-01-07,112,21
2021-01-08,119,21
2021-01-09,119,21
2021-01-10,126,21
2021-01-11,133,28
2021-01-12,140,28
2021-01-13,168,28
2021-01-14,196,35
2021-01-15,245,35
2021-01-16,245,35
2021-01-17,245,35
2021-01-18,266,42
2021-01-19,336,49
2021-01-20,434,56
2021-01-21,525,63
2021-01-22,637,77
2021-01-23,665,77
2021-01-24,672,77
2021-01-25,791,84
2021-01-26,973,91
2021-01-27,1211,105
2021-01-28,1470,119
2021-01-29,1799,133
2021-01-30,1848,133
2021-01-31,1869,133
2021-02-01,2352,147
2021-02-02,2884,168
2021-02-03,3570,189
2021-02-04,4270,217
2021-02-05,5061,238
2021-02-06,5243,245
2021-02-07,5292,245
2021-02-08,6244,273
2021-02-09,7217,315
2021-02-10,8029,343
2021-02-11,8610,371
2021-02-12,9261,406
2021-02-13,9366,413
2021-02-14,9387,413
2021-02-15,9793,434
2021-02-16,10192,448
2021-02-17,10647,469
2021-02-18,11165,490
2021-02-19,11662,511
2021-02-20,11697,511
2021-02-21,11725,511
2021-02-22,12320,539
2021-02-23,12936,567
2021-02-24,13391,602
2021-02-25,13790,623
2021-02-26,14105,637
2021-02-27,14147,637
2021-02-28,14154,637
2021-03-01,14511,665
2021-03-02,14924,693
2021-03-03,15309,707
2021-03-04,15750,728
2021-03-05,16107,749
2021-03-06,16198,749
2021-03-07,16226,756
2021-03-08,16660,770
2021-03-09,17171,791
2021-03-10,17654,812
2021-03-11,18207,847
2021-03-12,18466,854
2021-03-13,18480,854
2021-03-14,18487,861
2021-03-15,18886,875
2021-03-16,19208,882
2021-03-17,19509,896
2021-03-18,19782,896
2021-03-19,20041,910
2021-03-20,20111,910
2021-03-21,20125,910
2021-03-22,20370,924
2021-03-23,20762,938
2021-03-24,21070,945
2021-03-25,21287,952
2021-03-26,21469,959
2021-03-27,21490,959
2021-03-28,21497,959
2021-03-29,21658,966
2021-03-30,21882,973
2021-03-31,22092,980
2021-04-01,22274,987
2021-04-02,22288,987
2021-04-03,22295,987
2021-04-04,22295,987
2021-04-05,22295,987
2021-04-06,22393,994
2021-04-07,22547,994
2021-04-08,22645,1001
2021-04-09,22729,1008
2021-04-10,22743,1008
2021-04-11,22750,1008
2021-04-12,22834,1022
2021-04-13,22890,1022
2021-04-14,22960,1029
2021-04-15,23044,1029
2021-04-16,23093,1029
2021-04-17,23093,1029
2021-04-18,23093,1029
2021-04-19,23156,1029
2021-04-20,23226,1036
2021-04-21,23282,1036
2021-04-22,23394,1043
2021-04-23,23471,1043
2021-04-24,23478,1043
2021-04-25,23478,1043
2021-04-26,23520,1050
2021-04-27,23569,1050
2021-04-28,23646,1057
2021-04-29,23681,1057
2021-04-30,23737,1057
2021-05-01,23737,1057
2021-05-02,23737,1057
2021-05-03,23758,1064
2021-05-04,23800,1064
2021-05-05,23835,1064
2021-05-06,23884,1064
2021-05-07,23912,1071
2021-05-08,23919,1071
2021-05-09,23926,1071
2021-05-10,23982,1071
2021-05-11,24031,1078
2021-05-12,24150,1078
2021-05-13,24248,1085
2021-05-14,24290,1085
2021-05-15,24290,1085
2021-05-16,24297,1085
2021-05-17,24360,1099
2021-05-18,24430,1099
2021-05-19,24458,1099
2021-05-20,24493,1099
2021-05-21,24549,1106
2021-05-22,24556,1106
2021-05-23,24556,1106
2021-05-24,24605,1106
2021-05-25,24647,1113
2021-05-26,24696,1113
total,810908,22820
