,0,1,2,3,4,5
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,42,42,49,49,49
2020-12-09,14,133,126,140,133,140
2020-12-10,14,210,217,231,224,245
2020-12-11,28,301,301,322,315,350
2020-12-12,42,357,371,427,413,448
2020-12-13,49,392,420,504,483,511
2020-12-14,56,462,490,609,553,602
2020-12-15,77,574,623,735,700,742
2020-12-16,98,721,784,910,896,938
2020-12-17,126,896,973,1127,1134,1169
2020-12-18,154,1057,1155,1344,1372,1386
2020-12-19,175,1183,1323,1505,1526,1582
2020-12-20,210,1351,1519,1736,1771,1813
2020-12-21,259,1582,1764,2037,2065,2114
2020-12-22,287,1799,2009,2324,2345,2415
2020-12-23,336,2079,2296,2667,2702,2793
2020-12-24,350,2198,2422,2807,2870,2989
2020-12-25,350,2198,2422,2807,2870,2989
2020-12-26,350,2198,2429,2814,2877,2996
2020-12-27,357,2233,2471,2856,2919,3052
2020-12-28,378,2296,2534,2926,2989,3115
2020-12-29,413,2492,2751,3143,3220,3311
2020-12-30,469,2926,3290,3710,3773,3738
2020-12-31,532,3374,3752,4263,4326,4200
2021-01-01,546,3479,3899,4431,4473,4340
2021-01-02,560,3584,4053,4592,4606,4501
2021-01-03,588,3675,4172,4718,4739,4627
2021-01-04,623,3850,4361,4956,4977,4844
2021-01-05,679,4165,4746,5404,5411,5264
2021-01-06,735,4578,5257,6013,6048,5824
2021-01-07,840,5327,6146,6902,6979,6664
2021-01-08,945,6202,7147,7931,7931,7609
2021-01-09,1050,6860,7945,8820,8799,8435
2021-01-10,1106,7224,8421,9331,9338,8974
2021-01-11,1232,7833,9107,10108,10087,9695
2021-01-12,1365,8666,10059,11053,10983,10591
2021-01-13,1512,9604,11179,12131,12033,11529
2021-01-14,1666,10654,12264,13370,13160,12502
2021-01-15,1820,11774,13587,14840,14455,13706
2021-01-16,1960,12803,14700,16044,15596,14798
2021-01-17,2044,13384,15337,16877,16345,15561
2021-01-18,2135,14182,16177,17794,17269,16359
2021-01-19,2268,15085,17185,18935,18326,17276
2021-01-20,2401,16163,18340,20230,19446,18284
2021-01-21,2534,17381,19551,21546,20713,19341
2021-01-22,2695,18844,21056,23233,22288,20650
2021-01-23,2849,19824,22232,24605,23513,21756
2021-01-24,2926,20433,22925,25382,24220,22379
2021-01-25,3017,21175,23730,26257,25060,23086
2021-01-26,3136,22106,24808,27314,26033,23884
2021-01-27,3248,23009,25767,28364,26971,24605
2021-01-28,3367,23947,26831,29456,27986,25410
