,2,3,4,5,6,7
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,7,14,49,42,56,49
2020-12-09,28,77,126,126,161,161
2020-12-10,56,119,224,203,266,273
2020-12-11,77,175,329,287,357,378
2020-12-12,98,231,434,364,462,455
2020-12-13,119,259,504,420,532,511
2020-12-14,133,308,588,504,637,581
2020-12-15,161,392,735,630,798,721
2020-12-16,217,476,924,805,1008,910
2020-12-17,280,581,1148,1001,1274,1134
2020-12-18,322,686,1358,1190,1519,1372
2020-12-19,357,777,1526,1351,1708,1568
2020-12-20,413,896,1757,1533,1953,1827
2020-12-21,476,1057,2030,1792,2317,2128
2020-12-22,546,1211,2310,2044,2646,2415
2020-12-23,616,1393,2695,2352,3038,2758
2020-12-24,672,1470,2863,2492,3199,2919
2020-12-25,672,1470,2863,2492,3206,2919
2020-12-26,672,1477,2870,2492,3213,2926
2020-12-27,686,1498,2926,2527,3269,2968
2020-12-28,700,1554,3003,2576,3346,3052
2020-12-29,763,1701,3234,2786,3591,3248
2020-12-30,896,1988,3759,3241,4214,3794
2020-12-31,1029,2296,4284,3710,4802,4326
2021-01-01,1071,2394,4424,3843,4928,4473
2021-01-02,1120,2492,4599,3976,5082,4592
2021-01-03,1155,2569,4753,4088,5215,4690
2021-01-04,1218,2688,5019,4305,5425,4900
2021-01-05,1330,2933,5481,4697,5887,5278
2021-01-06,1498,3297,6111,5187,6475,5824
2021-01-07,1771,3815,7042,5957,7483,6748
2021-01-08,2086,4375,8043,6860,8575,7777
2021-01-09,2338,4879,8925,7581,9534,8603
2021-01-10,2506,5215,9464,8036,10115,9037
2021-01-11,2779,5698,10241,8687,10906,9723
2021-01-12,3094,6293,11228,9583,11935,10556
2021-01-13,3472,6972,12376,10535,13076,11536
2021-01-14,3871,7693,13580,11529,14287,12635
2021-01-15,4305,8498,15022,12649,15694,13993
2021-01-16,4697,9219,16240,13671,16947,15120
2021-01-17,4949,9702,17052,14294,17717,15827
2021-01-18,5299,10318,17990,15050,18592,16660
2021-01-19,5698,11046,19096,15876,19663,17689
