,False,True
2020-11-28,1773100,13706
2020-11-29,1773100,13706
2020-11-30,1773100,13706
2020-12-01,1773100,13706
2020-12-02,1773100,13706
2020-12-03,1773100,13706
2020-12-04,1773100,13706
2020-12-05,1773100,13706
2020-12-06,1773100,13706
2020-12-07,1773100,13706
2020-12-08,1772869,13706
2020-12-09,1772407,13706
2020-12-10,1771952,13706
2020-12-11,1771483,13706
2020-12-12,1771042,13706
2020-12-13,1770741,13706
2020-12-14,1770328,13706
2020-12-15,1769649,13706
2020-12-16,1768753,13699
2020-12-17,1767675,13699
2020-12-18,1766632,13699
2020-12-19,1765806,13699
2020-12-20,1764714,13692
2020-12-21,1763300,13692
2020-12-22,1761935,13685
2020-12-23,1760255,13678
2020-12-24,1759499,13678
2020-12-25,1759485,13678
2020-12-26,1759464,13678
2020-12-27,1759240,13678
2020-12-28,1758883,13678
2020-12-29,1757791,13678
2020-12-30,1755229,13671
2020-12-31,1752688,13664
2021-01-01,1751967,13664
2021-01-02,1751239,13664
2021-01-03,1750623,13657
2021-01-04,1749531,13657
2021-01-05,1747494,13650
2021-01-06,1744701,13643
2021-01-07,1740305,13629
2021-01-08,1735419,13615
2021-01-09,1731289,13608
2021-01-10,1728804,13594
2021-01-11,1725150,13580
2021-01-12,1720509,13573
2021-01-13,1715259,13559
2021-01-14,1709659,13531
2021-01-15,1703107,13517
2021-01-16,1697402,13496
2021-01-17,1693776,13482
2021-01-18,1689422,13461
2021-01-19,1684277,13447
2021-01-20,1678516,13419
2021-01-21,1672335,13398
2021-01-22,1664649,13384
2021-01-23,1658671,13349
2021-01-24,1655199,13335
2021-01-25,1651146,13328
2021-01-26,1646211,13307
2021-01-27,1641542,13300
2021-01-28,1636523,13286
2021-01-29,1630860,13272
2021-01-30,1626261,13265
2021-01-31,1623097,13258
2021-02-01,1619912,13251
2021-02-02,1616146,13237
2021-02-03,1611827,13223
2021-02-04,1606472,13216
2021-02-05,1601257,13202
2021-02-06,1595958,13188
2021-02-07,1593109,13181
2021-02-08,1589910,13174
2021-02-09,1585171,13167
2021-02-10,1578451,13153
2021-02-11,1568546,13132
2021-02-12,1554049,13104
2021-02-13,1538873,13076
2021-02-14,1530571,13069
2021-02-15,1520610,13055
2021-02-16,1489467,13013
2021-02-17,1431892,12950
2021-02-18,1376725,12901
2021-02-19,1334270,12852
2021-02-20,1291381,12796
2021-02-21,1277899,12782
2021-02-22,1261008,12747
2021-02-23,1214941,12684
2021-02-24,1153033,12600
2021-02-25,1087856,12495
2021-02-26,1021412,12390
2021-02-27,970774,12306
2021-02-28,954996,12278
2021-03-01,941843,12236
2021-03-02,926030,12201
2021-03-03,896651,12110
2021-03-04,855694,11998
2021-03-05,811118,11900
2021-03-06,763350,11795
2021-03-07,751933,11767
2021-03-08,737548,11732
2021-03-09,721014,11676
2021-03-10,701729,11613
2021-03-11,685601,11557
2021-03-12,657314,11452
2021-03-13,617281,11354
2021-03-14,599907,11305
2021-03-15,576219,11228
2021-03-16,550137,11144
2021-03-17,526918,11067
2021-03-18,502145,10976
2021-03-19,476336,10899
2021-03-20,443611,10801
2021-03-21,430689,10766
2021-03-22,417046,10724
2021-03-23,403753,10661
2021-03-24,391181,10598
2021-03-25,378707,10535
2021-03-26,364952,10472
2021-03-27,347655,10395
2021-03-28,339409,10360
2021-03-29,331555,10325
2021-03-30,324324,10269
2021-03-31,316862,10227
2021-04-01,311409,10199
2021-04-02,308609,10178
2021-04-03,305753,10164
2021-04-04,304087,10150
2021-04-05,303177,10143
2021-04-06,300888,10122
2021-04-07,297633,10101
2021-04-08,295029,10094
2021-04-09,291970,10066
2021-04-10,289317,10052
2021-04-11,288253,10045
2021-04-12,287091,10038
2021-04-13,285719,10031
2021-04-14,284340,10017
2021-04-15,282562,10003
2021-04-16,280861,9989
2021-04-17,279300,9982
2021-04-18,278411,9975
2021-04-19,277452,9968
2021-04-20,276367,9961
2021-04-21,274988,9940
2021-04-22,273567,9926
2021-04-23,272034,9905
2021-04-24,270585,9884
2021-04-25,269801,9877
2021-04-26,268905,9863
2021-04-27,267652,9849
2021-04-28,266273,9821
2021-04-29,264796,9800
2021-04-30,263487,9779
2021-05-01,262346,9751
2021-05-02,261653,9737
2021-05-03,261156,9737
2021-05-04,260232,9723
2021-05-05,259014,9702
2021-05-06,257621,9674
2021-05-07,256242,9639
2021-05-08,254898,9611
2021-05-09,254240,9597
2021-05-10,253218,9583
2021-05-11,251895,9548
2021-05-12,249774,9478
2021-05-13,247415,9394
2021-05-14,245371,9331
2021-05-15,243215,9268
2021-05-16,242214,9240
2021-05-17,241346,9219
2021-05-18,239834,9170
2021-05-19,237538,9079
total,1773107,13706
