,7
2020-11-28,0
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,7
2020-12-22,7
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,7
2020-12-30,7
2020-12-31,7
2021-01-01,7
2021-01-02,14
2021-01-03,14
2021-01-04,21
2021-01-05,21
2021-01-06,21
2021-01-07,21
2021-01-08,28
2021-01-09,28
2021-01-10,28
2021-01-11,28
2021-01-12,28
2021-01-13,35
2021-01-14,35
2021-01-15,35
2021-01-16,35
2021-01-17,35
2021-01-18,42
2021-01-19,42
2021-01-20,42
2021-01-21,49
2021-01-22,49
2021-01-23,49
2021-01-24,49
2021-01-25,56
2021-01-26,63
2021-01-27,70
2021-01-28,77
2021-01-29,84
2021-01-30,91
2021-01-31,91
2021-02-01,98
2021-02-02,112
2021-02-03,119
2021-02-04,126
2021-02-05,140
2021-02-06,140
2021-02-07,140
2021-02-08,175
2021-02-09,210
2021-02-10,266
2021-02-11,315
2021-02-12,385
2021-02-13,413
2021-02-14,413
2021-02-15,518
2021-02-16,665
2021-02-17,784
2021-02-18,966
2021-02-19,1043
2021-02-20,1064
2021-02-21,1064
2021-02-22,1162
2021-02-23,1288
2021-02-24,1407
2021-02-25,1568
2021-02-26,1673
2021-02-27,1687
2021-02-28,1694
2021-03-01,1855
2021-03-02,2037
2021-03-03,2429
2021-03-04,2758
2021-03-05,3017
2021-03-06,3087
2021-03-07,3108
2021-03-08,3451
2021-03-09,3899
2021-03-10,4599
2021-03-11,5201
2021-03-12,5663
2021-03-13,5712
2021-03-14,5740
2021-03-15,6202
2021-03-16,6755
2021-03-17,7175
2021-03-18,7574
2021-03-19,7938
2021-03-20,8001
2021-03-21,8022
2021-03-22,8407
2021-03-23,8918
2021-03-24,9296
2021-03-25,9611
2021-03-26,9870
2021-03-27,9898
2021-03-28,9912
2021-03-29,10129
2021-03-30,10304
2021-03-31,10437
2021-04-01,10556
2021-04-02,10563
2021-04-03,10577
2021-04-04,10584
2021-04-05,10584
2021-04-06,10703
2021-04-07,10934
2021-04-08,11067
2021-04-09,11151
2021-04-10,11158
2021-04-11,11165
2021-04-12,11270
2021-04-13,11382
2021-04-14,11466
2021-04-15,11613
2021-04-16,11697
2021-04-17,11739
2021-04-18,11739
2021-04-19,11872
2021-04-20,11984
2021-04-21,12117
2021-04-22,12215
2021-04-23,12306
2021-04-24,12313
2021-04-25,12313
2021-04-26,12376
2021-04-27,12523
2021-04-28,12607
2021-04-29,12663
2021-04-30,12705
2021-05-01,12712
2021-05-02,12712
2021-05-03,12712
2021-05-04,12761
2021-05-05,12845
2021-05-06,12929
2021-05-07,12985
2021-05-08,12992
2021-05-09,12992
2021-05-10,13041
2021-05-11,13132
2021-05-12,13209
2021-05-13,13314
2021-05-14,13349
2021-05-15,13356
2021-05-16,13356
2021-05-17,13398
2021-05-18,13496
2021-05-19,13552
total,915495
