,1,2,3,4,5,6
2020-11-28,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,7,0,0,0,0,0
2020-12-08,98,0,7,0,0,98
2020-12-09,266,7,28,7,7,238
2020-12-10,427,7,42,7,7,336
2020-12-11,567,14,63,14,14,511
2020-12-12,742,14,91,14,14,651
2020-12-13,868,21,112,21,21,756
2020-12-14,994,21,133,21,21,917
2020-12-15,1267,28,168,35,21,1134
2020-12-16,1631,35,217,42,35,1414
2020-12-17,2065,42,266,49,42,1778
2020-12-18,2492,49,329,63,56,2121
2020-12-19,2856,49,378,70,63,2366
2020-12-20,3339,56,441,84,77,2744
2020-12-21,4018,70,546,98,84,3234
2020-12-22,4613,77,630,105,98,3675
2020-12-23,5264,91,749,126,119,4207
2020-12-24,5607,98,812,133,126,4452
2020-12-25,5607,98,812,133,126,4459
2020-12-26,5621,98,819,133,126,4466
2020-12-27,5712,98,833,140,133,4550
2020-12-28,5866,98,861,147,140,4718
2020-12-29,6286,112,938,154,154,5110
2020-12-30,7392,133,1085,175,175,5971
2020-12-31,8449,154,1211,196,196,6832
2021-01-01,8736,161,1246,210,210,7070
2021-01-02,9079,168,1274,210,217,7343
2021-01-03,9352,175,1302,217,224,7553
2021-01-04,9863,182,1365,231,231,7910
2021-01-05,10878,210,1519,252,252,8680
2021-01-06,12250,238,1659,301,273,9646
2021-01-07,14287,252,1855,350,322,11074
2021-01-08,16506,280,2065,385,371,12607
2021-01-09,18466,308,2240,420,399,14007
2021-01-10,19684,329,2345,448,420,14861
2021-01-11,21399,357,2478,497,448,16205
2021-01-12,23618,385,2667,546,483,17801
2021-01-13,26075,420,2842,623,525,19537
2021-01-14,28826,462,3052,700,574,21392
2021-01-15,32004,511,3255,798,609,23499
2021-01-16,34678,546,3458,854,644,25263
2021-01-17,36477,581,3577,910,658,26537
2021-01-18,38577,616,3724,973,686,28014
2021-01-19,41034,658,3864,1064,721,29561
2021-01-20,43673,693,4067,1155,756,31115
2021-01-21,46452,749,4270,1267,784,32914
2021-01-22,49588,812,4466,1386,819,35014
2021-01-23,52143,840,4606,1470,854,36547
2021-01-24,53711,868,4711,1512,868,37457
2021-01-25,55552,889,4830,1582,889,38591
2021-01-26,57505,924,4942,1666,910,39970
2021-01-27,59479,966,5054,1757,938,41272
2021-01-28,61481,1008,5194,1855,966,42525
2021-01-29,63616,1043,5327,1946,994,43897
2021-01-30,65345,1064,5439,2002,1015,45017
2021-01-31,66654,1085,5537,2058,1029,45850
2021-02-01,67900,1106,5621,2100,1050,46627
