,1,2,3,4,5,6
2020-11-28,697865,11249,56553,24136,17717,490889
2020-11-29,697865,11249,56553,24136,17717,490889
2020-11-30,697865,11249,56553,24136,17717,490889
2020-12-01,697865,11249,56553,24136,17717,490889
2020-12-02,697865,11249,56553,24136,17717,490889
2020-12-03,697865,11249,56553,24136,17717,490889
2020-12-04,697865,11249,56553,24136,17717,490889
2020-12-05,697865,11249,56553,24136,17717,490889
2020-12-06,697865,11249,56553,24136,17717,490889
2020-12-07,697858,11249,56553,24136,17717,490889
2020-12-08,697767,11249,56546,24136,17717,490791
2020-12-09,697599,11242,56525,24129,17710,490651
2020-12-10,697438,11242,56511,24129,17710,490553
2020-12-11,697298,11235,56490,24122,17703,490378
2020-12-12,697123,11235,56462,24122,17703,490238
2020-12-13,696997,11228,56441,24115,17696,490133
2020-12-14,696871,11228,56420,24115,17696,489972
2020-12-15,696598,11221,56385,24101,17696,489755
2020-12-16,696234,11214,56336,24094,17682,489475
2020-12-17,695800,11207,56287,24087,17675,489111
2020-12-18,695373,11200,56224,24073,17661,488768
2020-12-19,695009,11200,56175,24066,17654,488523
2020-12-20,694526,11193,56112,24052,17640,488145
2020-12-21,693847,11179,56007,24038,17633,487655
2020-12-22,693252,11172,55923,24031,17619,487214
2020-12-23,692601,11158,55804,24010,17598,486682
2020-12-24,692258,11151,55741,24003,17591,486437
2020-12-25,692258,11151,55741,24003,17591,486430
2020-12-26,692244,11151,55734,24003,17591,486423
2020-12-27,692153,11151,55720,23996,17584,486339
2020-12-28,691999,11151,55692,23989,17577,486171
2020-12-29,691579,11137,55615,23982,17563,485779
2020-12-30,690473,11116,55468,23961,17542,484918
2020-12-31,689416,11095,55342,23940,17521,484057
2021-01-01,689129,11088,55307,23926,17507,483819
2021-01-02,688786,11081,55279,23926,17500,483546
2021-01-03,688513,11074,55251,23919,17493,483336
2021-01-04,688002,11067,55188,23905,17486,482979
2021-01-05,686987,11039,55034,23884,17465,482209
2021-01-06,685615,11011,54894,23835,17444,481243
2021-01-07,683578,10997,54698,23786,17395,479815
2021-01-08,681359,10969,54488,23751,17346,478282
2021-01-09,679399,10941,54313,23716,17318,476882
2021-01-10,678181,10920,54208,23688,17297,476028
2021-01-11,676466,10892,54075,23639,17269,474684
2021-01-12,674247,10864,53886,23590,17234,473088
2021-01-13,671790,10829,53711,23513,17192,471352
2021-01-14,669039,10787,53501,23436,17143,469497
2021-01-15,665861,10738,53298,23338,17108,467390
